Open_time,Open_time,Open,High,Low,Close,Volume
2026-06-04 11:15:00,1780571700000,0.1878,0.1903,0.1874,0.1899,981651.77
2026-06-04 11:30:00,1780572600000,0.1899,0.1905,0.1882,0.1885,1020942.2
2026-06-04 11:45:00,1780573500000,0.1885,0.1902,0.1885,0.1902,568303.41
2026-06-04 12:00:00,1780574400000,0.1902,0.1904,0.1881,0.1888,1662204.6
2026-06-04 12:15:00,1780575300000,0.1888,0.1908,0.1888,0.19,1521733.05
2026-06-04 12:30:00,1780576200000,0.19,0.1925,0.19,0.1921,1957790.37
2026-06-04 12:45:00,1780577100000,0.1921,0.1927,0.1913,0.1918,1003559.96
2026-06-04 13:00:00,1780578000000,0.1918,0.1922,0.1899,0.1899,756624.41
2026-06-04 13:15:00,1780578900000,0.1899,0.19,0.1871,0.1878,1533724.61
2026-06-04 13:30:00,1780579800000,0.1878,0.1905,0.1874,0.1889,3072772.08
2026-06-04 13:45:00,1780580700000,0.1889,0.1894,0.1874,0.1891,1211399.71
2026-06-04 14:00:00,1780581600000,0.1891,0.1899,0.1879,0.1888,2004129.39
2026-06-04 14:15:00,1780582500000,0.1888,0.1892,0.188,0.1889,1039251.12
2026-06-04 14:30:00,1780583400000,0.1889,0.1897,0.1878,0.1895,1326990.45
2026-06-04 14:45:00,1780584300000,0.1895,0.1901,0.1886,0.1896,1085084.96
2026-06-04 15:00:00,1780585200000,0.1896,0.1921,0.189,0.192,2534924.7
2026-06-04 15:15:00,1780586100000,0.192,0.1922,0.1899,0.1905,1019443.84
2026-06-04 15:30:00,1780587000000,0.1905,0.1913,0.1894,0.1904,1318583.29
2026-06-04 15:45:00,1780587900000,0.1904,0.1904,0.1888,0.1889,848636.36
2026-06-04 16:00:00,1780588800000,0.1889,0.1889,0.1874,0.1874,698087.9
2026-06-04 16:15:00,1780589700000,0.1874,0.1885,0.1863,0.1869,2296983.79
2026-06-04 16:30:00,1780590600000,0.1869,0.1887,0.1859,0.1884,1622352.61
2026-06-04 16:45:00,1780591500000,0.1884,0.1884,0.1863,0.1871,945980.14
2026-06-04 17:00:00,1780592400000,0.1871,0.1886,0.1866,0.1883,809823.76
2026-06-04 17:15:00,1780593300000,0.1883,0.1888,0.1868,0.1885,684573.3
2026-06-04 17:30:00,1780594200000,0.1885,0.189,0.1866,0.187,1534825.38
2026-06-04 17:45:00,1780595100000,0.187,0.1896,0.1865,0.1884,1439504.77
2026-06-04 18:00:00,1780596000000,0.1884,0.1885,0.1856,0.1858,1216209.03
2026-06-04 18:15:00,1780596900000,0.1858,0.1898,0.1858,0.1898,1698644.15
2026-06-04 18:30:00,1780597800000,0.1898,0.1905,0.1889,0.1899,1775998.86
2026-06-04 18:45:00,1780598700000,0.1899,0.1901,0.1879,0.1883,1383979.37
2026-06-04 19:00:00,1780599600000,0.1883,0.189,0.1862,0.1873,2988750.41
2026-06-04 19:15:00,1780600500000,0.1873,0.1895,0.1871,0.1894,1796753.85
2026-06-04 19:30:00,1780601400000,0.1894,0.1894,0.1866,0.1868,913741.86
2026-06-04 19:45:00,1780602300000,0.1868,0.187,0.186,0.1865,1765054.16
2026-06-04 20:00:00,1780603200000,0.1865,0.1866,0.184,0.1848,3246240.61
2026-06-04 20:15:00,1780604100000,0.1848,0.1857,0.1847,0.185,1190422.24
2026-06-04 20:30:00,1780605000000,0.185,0.1864,0.1849,0.1852,1048521.91
2026-06-04 20:45:00,1780605900000,0.1852,0.1854,0.1837,0.1845,1985283.27
2026-06-04 21:00:00,1780606800000,0.1845,0.1845,0.1829,0.1843,2862610.29
2026-06-04 21:15:00,1780607700000,0.1843,0.1843,0.182,0.1824,1759439.96
