Open_time,Open_time,Open,High,Low,Close,Volume
2026-01-14 00:00:00,1768348800000,0.4218,0.4241,0.4209,0.4212,6407610.0
2026-01-14 00:15:00,1768349700000,0.4212,0.4229,0.421,0.422,1858795.0
2026-01-14 00:30:00,1768350600000,0.422,0.4235,0.4197,0.4224,3573136.0
2026-01-14 00:45:00,1768351500000,0.4224,0.423,0.4213,0.4223,3704211.0
2026-01-14 01:00:00,1768352400000,0.4223,0.4243,0.4214,0.4238,3547072.0
2026-01-14 01:15:00,1768353300000,0.4238,0.4238,0.4221,0.4225,1331447.0
2026-01-14 01:30:00,1768354200000,0.4225,0.4234,0.4203,0.421,3581081.0
2026-01-14 01:45:00,1768355100000,0.421,0.422,0.4204,0.421,1530485.0
2026-01-14 02:00:00,1768356000000,0.421,0.4234,0.4198,0.4231,2848123.0
2026-01-14 02:15:00,1768356900000,0.4231,0.4239,0.4223,0.4231,1620303.0
2026-01-14 02:30:00,1768357800000,0.4231,0.4235,0.4219,0.4233,1032253.0
2026-01-14 02:45:00,1768358700000,0.4233,0.4234,0.4209,0.4216,1974312.0
2026-01-14 03:00:00,1768359600000,0.4216,0.4234,0.4213,0.423,1188510.0
2026-01-14 03:15:00,1768360500000,0.423,0.4237,0.422,0.4226,982779.0
2026-01-14 03:30:00,1768361400000,0.4226,0.4247,0.422,0.4247,1938075.0
2026-01-14 03:45:00,1768362300000,0.4247,0.4259,0.424,0.4258,2351044.0
2026-01-14 04:00:00,1768363200000,0.4258,0.4268,0.4225,0.4233,11214975.0
2026-01-14 04:15:00,1768364100000,0.4233,0.4264,0.4231,0.4258,4236115.0
2026-01-14 04:30:00,1768365000000,0.4258,0.4258,0.424,0.4241,1791148.0
2026-01-14 04:45:00,1768365900000,0.4241,0.4248,0.4235,0.4236,946796.0
2026-01-14 05:00:00,1768366800000,0.4236,0.4236,0.422,0.4228,1518592.0
2026-01-14 05:15:00,1768367700000,0.4228,0.4239,0.4213,0.4219,2539095.0
2026-01-14 05:30:00,1768368600000,0.4219,0.4234,0.4211,0.4213,1493547.0
2026-01-14 05:45:00,1768369500000,0.4213,0.4225,0.4212,0.4216,1107582.0
2026-01-14 06:00:00,1768370400000,0.4216,0.422,0.42,0.4215,2184335.0
2026-01-14 06:15:00,1768371300000,0.4215,0.4217,0.4202,0.4206,684830.0
2026-01-14 06:30:00,1768372200000,0.4206,0.4233,0.4177,0.4233,5496512.0
2026-01-14 06:45:00,1768373100000,0.4233,0.4258,0.4233,0.4251,4953822.0
2026-01-14 07:00:00,1768374000000,0.4251,0.427,0.4247,0.426,2565790.0
2026-01-14 07:15:00,1768374900000,0.426,0.4264,0.4232,0.4233,3419946.0
2026-01-14 07:30:00,1768375800000,0.4233,0.4244,0.4224,0.4238,2199204.0
2026-01-14 07:45:00,1768376700000,0.4238,0.4246,0.4233,0.4237,1393043.0
2026-01-14 08:00:00,1768377600000,0.4237,0.4251,0.4232,0.4247,1476987.0
2026-01-14 08:15:00,1768378500000,0.4247,0.4251,0.4234,0.4235,530956.0
2026-01-14 08:30:00,1768379400000,0.4235,0.4235,0.4214,0.4217,2511867.0
2026-01-14 08:45:00,1768380300000,0.4217,0.4221,0.4204,0.4206,1923008.0
2026-01-14 09:00:00,1768381200000,0.4206,0.4219,0.4201,0.4216,1559881.0
2026-01-14 09:15:00,1768382100000,0.4216,0.4217,0.4205,0.4208,2251677.0
2026-01-14 09:30:00,1768383000000,0.4208,0.4218,0.4198,0.4203,1030114.0
2026-01-14 09:45:00,1768383900000,0.4203,0.421,0.4194,0.4201,908965.0
2026-01-14 10:00:00,1768384800000,0.4201,0.4207,0.4196,0.4205,555197.0
2026-01-14 10:15:00,1768385700000,0.4205,0.4207,0.4176,0.4188,3180593.0
2026-01-14 10:30:00,1768386600000,0.4188,0.4195,0.4175,0.4185,954245.0
2026-01-14 10:45:00,1768387500000,0.4185,0.4197,0.4179,0.4181,1218689.0
2026-01-14 11:00:00,1768388400000,0.4181,0.4183,0.4161,0.4168,3771411.0
2026-01-14 11:15:00,1768389300000,0.4168,0.4172,0.4154,0.4167,2732740.0
2026-01-14 11:30:00,1768390200000,0.4167,0.4169,0.4153,0.4159,1912818.0
2026-01-14 11:45:00,1768391100000,0.4159,0.4161,0.4132,0.4138,3380689.0
2026-01-14 12:00:00,1768392000000,0.4138,0.4164,0.4132,0.416,3382628.0
2026-01-14 12:15:00,1768392900000,0.416,0.4162,0.4153,0.4155,853633.0
2026-01-14 12:30:00,1768393800000,0.4155,0.4161,0.4144,0.4153,1354467.0
2026-01-14 12:45:00,1768394700000,0.4153,0.4155,0.4149,0.4151,404903.0
2026-01-14 13:00:00,1768395600000,0.4151,0.4151,0.4134,0.4142,1491593.0
2026-01-14 13:15:00,1768396500000,0.4142,0.4158,0.4141,0.4155,1766843.0
2026-01-14 13:30:00,1768397400000,0.4155,0.4157,0.4137,0.4142,965171.0
2026-01-14 13:45:00,1768398300000,0.4142,0.4143,0.4106,0.4119,12461058.0
2026-01-14 14:00:00,1768399200000,0.4119,0.4166,0.4117,0.4157,7899202.0
2026-01-14 14:15:00,1768400100000,0.4157,0.4179,0.4151,0.4165,6706543.0
2026-01-14 14:30:00,1768401000000,0.4165,0.419,0.4149,0.4177,9631850.0
2026-01-14 14:45:00,1768401900000,0.4177,0.4223,0.4173,0.4194,9542115.0
2026-01-14 15:00:00,1768402800000,0.4194,0.4219,0.4166,0.4218,14694390.0
2026-01-14 15:15:00,1768403700000,0.4218,0.4229,0.4202,0.4207,5435426.0
2026-01-14 15:30:00,1768404600000,0.4207,0.4217,0.4172,0.4181,5387768.0
2026-01-14 15:45:00,1768405500000,0.4181,0.4201,0.4172,0.4199,3711203.0
2026-01-14 16:00:00,1768406400000,0.4199,0.4233,0.4193,0.423,4831204.0
2026-01-14 16:15:00,1768407300000,0.423,0.4236,0.4202,0.4214,5271685.0
2026-01-14 16:30:00,1768408200000,0.4214,0.4238,0.4193,0.4217,6291628.0
2026-01-14 16:45:00,1768409100000,0.4217,0.4227,0.4193,0.4207,2708257.0
2026-01-14 17:00:00,1768410000000,0.4207,0.4223,0.4199,0.4218,2693993.0
2026-01-14 17:15:00,1768410900000,0.4218,0.4224,0.4202,0.421,3369621.0
2026-01-14 17:30:00,1768411800000,0.421,0.421,0.4161,0.4185,6775973.0
2026-01-14 17:45:00,1768412700000,0.4185,0.4195,0.4152,0.416,4658723.0
2026-01-14 18:00:00,1768413600000,0.416,0.4173,0.4146,0.4155,5117917.0
2026-01-14 18:15:00,1768414500000,0.4155,0.4168,0.4131,0.4166,5148867.0
2026-01-14 18:30:00,1768415400000,0.4166,0.4174,0.4104,0.4104,5609312.0
2026-01-14 18:45:00,1768416300000,0.4104,0.4145,0.4094,0.4133,4064006.0
2026-01-14 19:00:00,1768417200000,0.4133,0.4148,0.4123,0.4148,3765158.0
2026-01-14 19:15:00,1768418100000,0.4148,0.4193,0.4144,0.4191,7630261.0
2026-01-14 19:30:00,1768419000000,0.4191,0.4202,0.4161,0.417,4232766.0
2026-01-14 19:45:00,1768419900000,0.417,0.4173,0.4143,0.4148,2101959.0
2026-01-14 20:00:00,1768420800000,0.4148,0.4174,0.414,0.4158,6782103.0
2026-01-14 20:15:00,1768421700000,0.4158,0.4158,0.4116,0.4119,4423858.0
2026-01-14 20:30:00,1768422600000,0.4119,0.4146,0.4119,0.4127,4191099.0
2026-01-14 20:45:00,1768423500000,0.4127,0.4129,0.4113,0.4128,2657670.0
2026-01-14 21:00:00,1768424400000,0.4128,0.4141,0.412,0.413,2327225.0
2026-01-14 21:15:00,1768425300000,0.413,0.415,0.4123,0.4148,1357873.0
2026-01-14 21:30:00,1768426200000,0.4148,0.415,0.413,0.4134,980238.0
2026-01-14 21:45:00,1768427100000,0.4134,0.4139,0.4116,0.4138,2226880.0
