Open_time,Open_time,Open,High,Low,Close,Volume
2026-03-14 00:00:00,1773446400000,0.33,0.33,0.3275,0.3284,91824.0
2026-03-14 00:15:00,1773447300000,0.3284,0.3285,0.3257,0.3274,216716.0
2026-03-14 00:30:00,1773448200000,0.3274,0.3277,0.3259,0.3262,53190.0
2026-03-14 00:45:00,1773449100000,0.3262,0.3267,0.3258,0.3264,27666.0
2026-03-14 01:00:00,1773450000000,0.3264,0.3273,0.3262,0.3268,23609.0
2026-03-14 01:15:00,1773450900000,0.3268,0.3291,0.3268,0.3285,275682.0
2026-03-14 01:30:00,1773451800000,0.3285,0.3292,0.3262,0.3289,134687.0
2026-03-14 01:45:00,1773452700000,0.3289,0.3296,0.3282,0.3282,71722.0
2026-03-14 02:00:00,1773453600000,0.3282,0.3284,0.3277,0.328,10923.0
2026-03-14 02:15:00,1773454500000,0.328,0.3282,0.3279,0.3281,7465.0
2026-03-14 02:30:00,1773455400000,0.3281,0.3281,0.327,0.327,15390.0
2026-03-14 02:45:00,1773456300000,0.327,0.3283,0.3268,0.3277,36635.0
2026-03-14 03:00:00,1773457200000,0.3277,0.3282,0.3269,0.3279,17169.0
2026-03-14 03:15:00,1773458100000,0.3279,0.3286,0.3278,0.3283,12978.0
2026-03-14 03:30:00,1773459000000,0.3283,0.3289,0.3273,0.3281,16003.0
2026-03-14 03:45:00,1773459900000,0.3281,0.3281,0.3278,0.328,5351.0
2026-03-14 04:00:00,1773460800000,0.328,0.3289,0.3271,0.3286,178155.0
2026-03-14 04:15:00,1773461700000,0.3286,0.3296,0.328,0.3289,110419.0
2026-03-14 04:30:00,1773462600000,0.3289,0.3299,0.3284,0.3296,29886.0
2026-03-14 04:45:00,1773463500000,0.3296,0.3297,0.3273,0.3274,69676.0
2026-03-14 05:00:00,1773464400000,0.3274,0.3279,0.3265,0.3277,36726.0
2026-03-14 05:15:00,1773465300000,0.3277,0.3281,0.3275,0.3277,13032.0
2026-03-14 05:30:00,1773466200000,0.3277,0.3278,0.3261,0.3266,39291.0
2026-03-14 05:45:00,1773467100000,0.3266,0.3274,0.3266,0.3272,18135.0
2026-03-14 06:00:00,1773468000000,0.3272,0.3272,0.3259,0.326,30529.0
2026-03-14 06:15:00,1773468900000,0.326,0.326,0.3237,0.3245,206223.0
2026-03-14 06:30:00,1773469800000,0.3245,0.3246,0.3231,0.3235,131863.0
2026-03-14 06:45:00,1773470700000,0.3235,0.3251,0.3233,0.3245,69620.0
2026-03-14 07:00:00,1773471600000,0.3245,0.3248,0.324,0.3247,22648.0
2026-03-14 07:15:00,1773472500000,0.3247,0.3248,0.3237,0.324,19585.0
2026-03-14 07:30:00,1773473400000,0.324,0.3242,0.3226,0.3233,44864.0
2026-03-14 07:45:00,1773474300000,0.3233,0.3233,0.322,0.3225,51908.0
2026-03-14 08:00:00,1773475200000,0.3225,0.3233,0.3224,0.3231,57635.0
2026-03-14 08:15:00,1773476100000,0.3231,0.3234,0.321,0.3221,297827.0
2026-03-14 08:30:00,1773477000000,0.3221,0.3223,0.3212,0.3214,25822.0
2026-03-14 08:45:00,1773477900000,0.3214,0.3219,0.3208,0.3218,26167.0
2026-03-14 09:00:00,1773478800000,0.3218,0.3234,0.3216,0.323,37595.0
2026-03-14 09:15:00,1773479700000,0.323,0.3236,0.3225,0.3226,54461.0
2026-03-14 09:30:00,1773480600000,0.3226,0.3231,0.3224,0.3231,43113.0
2026-03-14 09:45:00,1773481500000,0.3231,0.3231,0.3215,0.3223,88714.0
2026-03-14 10:00:00,1773482400000,0.3223,0.3225,0.3219,0.3224,75117.0
2026-03-14 10:15:00,1773483300000,0.3224,0.3225,0.3213,0.3217,16514.0
2026-03-14 10:30:00,1773484200000,0.3217,0.3218,0.32,0.3211,166389.0
2026-03-14 10:45:00,1773485100000,0.3211,0.3217,0.321,0.3213,33079.0
2026-03-14 11:00:00,1773486000000,0.3213,0.3225,0.3212,0.3223,49444.0
2026-03-14 11:15:00,1773486900000,0.3223,0.3226,0.322,0.3226,24863.0
2026-03-14 11:30:00,1773487800000,0.3226,0.3231,0.3223,0.3227,17544.0
2026-03-14 11:45:00,1773488700000,0.3227,0.324,0.3227,0.324,42133.0
2026-03-14 12:00:00,1773489600000,0.324,0.3251,0.3237,0.3242,133245.0
2026-03-14 12:15:00,1773490500000,0.3242,0.3244,0.3233,0.3233,13306.0
2026-03-14 12:30:00,1773491400000,0.3233,0.3243,0.3233,0.3238,40736.0
2026-03-14 12:45:00,1773492300000,0.3238,0.3256,0.3238,0.3248,166285.0
2026-03-14 13:00:00,1773493200000,0.3248,0.3251,0.3239,0.3244,78476.0
2026-03-14 13:15:00,1773494100000,0.3244,0.3267,0.3244,0.3259,178767.0
2026-03-14 13:30:00,1773495000000,0.3259,0.3272,0.3259,0.3269,108589.0
2026-03-14 13:45:00,1773495900000,0.3269,0.327,0.3263,0.3263,33079.0
2026-03-14 14:00:00,1773496800000,0.3263,0.3268,0.3257,0.3259,34873.0
2026-03-14 14:15:00,1773497700000,0.3259,0.3269,0.3256,0.3268,37731.0
2026-03-14 14:30:00,1773498600000,0.3268,0.3272,0.3253,0.3253,53995.0
2026-03-14 14:45:00,1773499500000,0.3253,0.3263,0.3252,0.3257,17711.0
2026-03-14 15:00:00,1773500400000,0.3257,0.326,0.325,0.3254,21161.0
2026-03-14 15:15:00,1773501300000,0.3254,0.3258,0.3248,0.3248,12293.0
2026-03-14 15:30:00,1773502200000,0.3248,0.325,0.3241,0.3248,41915.0
2026-03-14 15:45:00,1773503100000,0.3248,0.3254,0.3245,0.3246,7741.0
2026-03-14 16:00:00,1773504000000,0.3246,0.3247,0.3236,0.3239,114190.0
2026-03-14 16:15:00,1773504900000,0.3239,0.3246,0.3239,0.3244,5625.0
2026-03-14 16:30:00,1773505800000,0.3244,0.3261,0.3244,0.3257,22977.0
2026-03-14 16:45:00,1773506700000,0.3257,0.3266,0.3257,0.3262,21727.0
2026-03-14 17:00:00,1773507600000,0.3262,0.3262,0.3246,0.3248,21193.0
2026-03-14 17:15:00,1773508500000,0.3248,0.3255,0.3247,0.3255,19747.0
2026-03-14 17:30:00,1773509400000,0.3255,0.3255,0.3247,0.3248,3253.0
2026-03-14 17:45:00,1773510300000,0.3248,0.3248,0.3244,0.3245,3601.0
2026-03-14 18:00:00,1773511200000,0.3245,0.3246,0.3242,0.3244,5791.0
2026-03-14 18:15:00,1773512100000,0.3244,0.3244,0.324,0.3242,2710.0
2026-03-14 18:30:00,1773513000000,0.3242,0.3242,0.3234,0.3237,23230.0
2026-03-14 18:45:00,1773513900000,0.3237,0.3239,0.3233,0.3237,24433.0
2026-03-14 19:00:00,1773514800000,0.3237,0.3237,0.3225,0.3232,31995.0
2026-03-14 19:15:00,1773515700000,0.3232,0.3232,0.3223,0.3224,16574.0
2026-03-14 19:30:00,1773516600000,0.3224,0.3225,0.3217,0.3225,133696.0
2026-03-14 19:45:00,1773517500000,0.3225,0.3225,0.3218,0.3221,19085.0
2026-03-14 20:00:00,1773518400000,0.3221,0.3224,0.322,0.3222,17201.0
2026-03-14 20:15:00,1773519300000,0.3222,0.3223,0.322,0.3222,13389.0
2026-03-14 20:30:00,1773520200000,0.3222,0.3227,0.322,0.3227,6013.0
2026-03-14 20:45:00,1773521100000,0.3227,0.323,0.3225,0.3227,38059.0
2026-03-14 21:00:00,1773522000000,0.3227,0.3231,0.3222,0.3225,36731.0
2026-03-14 21:15:00,1773522900000,0.3225,0.3228,0.3222,0.3224,13525.0
2026-03-14 21:30:00,1773523800000,0.3224,0.3235,0.3224,0.3234,26422.0
2026-03-14 21:45:00,1773524700000,0.3234,0.3244,0.3233,0.3242,13757.0
2026-03-14 22:00:00,1773525600000,0.3242,0.3254,0.3238,0.3238,114662.0
2026-03-14 22:15:00,1773526500000,0.3238,0.3243,0.3235,0.3242,25478.0
2026-03-14 22:30:00,1773527400000,0.3242,0.3249,0.3241,0.3245,14086.0
2026-03-14 22:45:00,1773528300000,0.3245,0.3248,0.3242,0.3248,5093.0
2026-03-14 23:00:00,1773529200000,0.3248,0.3334,0.3248,0.33,1081568.0
2026-03-14 23:15:00,1773530100000,0.33,0.3315,0.329,0.3311,116139.0
2026-03-14 23:30:00,1773531000000,0.3311,0.3329,0.3305,0.3327,101916.0
2026-03-14 23:45:00,1773531900000,0.3327,0.3342,0.3319,0.3327,121737.0
2026-03-15 00:00:00,1773532800000,0.3327,0.3339,0.3319,0.332,281395.0
2026-03-15 00:15:00,1773533700000,0.332,0.3337,0.3312,0.3331,219067.0
