Open_time,Open_time,Open,High,Low,Close,Volume
2026-01-14 00:00:00,1768348800000,1.9729,1.988,1.9646,1.9681,141840.89
2026-01-14 00:15:00,1768349700000,1.9681,1.974,1.962,1.962,147734.51
2026-01-14 00:30:00,1768350600000,1.962,1.964,1.9514,1.9608,82928.79
2026-01-14 00:45:00,1768351500000,1.9608,1.9674,1.954,1.967,75121.07
2026-01-14 01:00:00,1768352400000,1.967,1.9764,1.9661,1.9678,135688.77
2026-01-14 01:15:00,1768353300000,1.9678,1.9678,1.9587,1.9612,50387.25
2026-01-14 01:30:00,1768354200000,1.9612,1.9634,1.9519,1.9544,57706.41
2026-01-14 01:45:00,1768355100000,1.9544,1.9624,1.9523,1.9536,69728.35
2026-01-14 02:00:00,1768356000000,1.9536,1.9588,1.948,1.9556,71159.74
2026-01-14 02:15:00,1768356900000,1.9556,1.9587,1.9518,1.954,33169.41
2026-01-14 02:30:00,1768357800000,1.954,1.9608,1.9517,1.9608,45696.96
2026-01-14 02:45:00,1768358700000,1.9608,1.9695,1.9518,1.9581,98950.15
2026-01-14 03:00:00,1768359600000,1.9581,1.9616,1.9556,1.9602,40034.33
2026-01-14 03:15:00,1768360500000,1.9602,1.9646,1.9557,1.9585,32792.64
2026-01-14 03:30:00,1768361400000,1.9585,1.9639,1.9554,1.963,55248.04
2026-01-14 03:45:00,1768362300000,1.963,1.9648,1.96,1.964,59296.43
2026-01-14 04:00:00,1768363200000,1.964,1.9676,1.944,1.9456,106420.24
2026-01-14 04:15:00,1768364100000,1.9456,1.9496,1.9415,1.9465,66515.64
2026-01-14 04:30:00,1768365000000,1.9465,1.9495,1.9397,1.9435,96962.3
2026-01-14 04:45:00,1768365900000,1.9435,1.9477,1.9432,1.9452,44466.55
2026-01-14 05:00:00,1768366800000,1.9452,1.9452,1.9384,1.941,27566.35
2026-01-14 05:15:00,1768367700000,1.941,1.9445,1.9354,1.9386,42275.52
2026-01-14 05:30:00,1768368600000,1.9386,1.943,1.9355,1.9394,31140.99
2026-01-14 05:45:00,1768369500000,1.9394,1.9455,1.9391,1.9424,59635.14
2026-01-14 06:00:00,1768370400000,1.9424,1.9441,1.9342,1.9427,59393.98
2026-01-14 06:15:00,1768371300000,1.9427,1.9429,1.9369,1.9384,44890.48
2026-01-14 06:30:00,1768372200000,1.9384,1.9385,1.9255,1.9379,94433.27
2026-01-14 06:45:00,1768373100000,1.9379,1.9527,1.9379,1.9521,40285.94
2026-01-14 07:00:00,1768374000000,1.9521,1.9594,1.9499,1.9563,61594.32
2026-01-14 07:15:00,1768374900000,1.9563,1.9563,1.9366,1.9378,76368.8
2026-01-14 07:30:00,1768375800000,1.9378,1.9417,1.9338,1.9348,117797.37
2026-01-14 07:45:00,1768376700000,1.9348,1.943,1.9325,1.9386,125442.83
2026-01-14 08:00:00,1768377600000,1.9386,1.9471,1.9354,1.9451,119969.75
2026-01-14 08:15:00,1768378500000,1.9451,1.9485,1.9445,1.9473,45493.55
2026-01-14 08:30:00,1768379400000,1.9473,1.9498,1.9441,1.9461,30336.55
2026-01-14 08:45:00,1768380300000,1.9461,1.9511,1.9442,1.9467,45649.7
2026-01-14 09:00:00,1768381200000,1.9467,1.9576,1.9464,1.9558,40515.08
2026-01-14 09:15:00,1768382100000,1.9558,1.9564,1.9466,1.9478,34352.96
2026-01-14 09:30:00,1768383000000,1.9478,1.9512,1.944,1.9449,26405.94
2026-01-14 09:45:00,1768383900000,1.9449,1.9565,1.9449,1.9553,32535.22
2026-01-14 10:00:00,1768384800000,1.9553,1.9583,1.9522,1.9574,33329.88
2026-01-14 10:15:00,1768385700000,1.9574,1.9579,1.9372,1.9406,140563.39
2026-01-14 10:30:00,1768386600000,1.9406,1.9425,1.9351,1.942,88077.69
2026-01-14 10:45:00,1768387500000,1.942,1.9441,1.9395,1.9405,60896.71
2026-01-14 11:00:00,1768388400000,1.9405,1.9426,1.9363,1.9387,107151.18
2026-01-14 11:15:00,1768389300000,1.9387,1.9396,1.93,1.9386,299820.48
2026-01-14 11:30:00,1768390200000,1.9386,1.9428,1.935,1.9372,39092.22
2026-01-14 11:45:00,1768391100000,1.9372,1.9376,1.9264,1.9299,32976.92
2026-01-14 12:00:00,1768392000000,1.9299,1.9411,1.9295,1.9403,35218.76
2026-01-14 12:15:00,1768392900000,1.9403,1.9406,1.9353,1.9353,11690.5
2026-01-14 12:30:00,1768393800000,1.9353,1.939,1.9279,1.9333,60875.54
2026-01-14 12:45:00,1768394700000,1.9333,1.9336,1.9279,1.9284,23727.3
2026-01-14 13:00:00,1768395600000,1.9284,1.9286,1.917,1.9221,177338.36
2026-01-14 13:15:00,1768396500000,1.9221,1.9292,1.9212,1.9255,35602.06
2026-01-14 13:30:00,1768397400000,1.9255,1.9255,1.9155,1.9155,38476.65
2026-01-14 13:45:00,1768398300000,1.9155,1.9155,1.9038,1.9074,147649.71
2026-01-14 14:00:00,1768399200000,1.9074,1.9263,1.9055,1.9235,115529.59
2026-01-14 14:15:00,1768400100000,1.9235,1.93,1.9215,1.9255,82775.0
2026-01-14 14:30:00,1768401000000,1.9255,1.937,1.9218,1.9306,137566.44
2026-01-14 14:45:00,1768401900000,1.9306,1.9455,1.929,1.9358,171518.63
2026-01-14 15:00:00,1768402800000,1.9358,1.9482,1.9231,1.9462,238895.15
2026-01-14 15:15:00,1768403700000,1.9462,1.9565,1.9428,1.9465,167741.38
2026-01-14 15:30:00,1768404600000,1.9465,1.9503,1.934,1.9391,122096.68
2026-01-14 15:45:00,1768405500000,1.9391,1.9478,1.9382,1.9478,45139.01
2026-01-14 16:00:00,1768406400000,1.9478,1.9693,1.9457,1.9676,300430.78
2026-01-14 16:15:00,1768407300000,1.9676,1.969,1.9545,1.9593,119132.23
2026-01-14 16:30:00,1768408200000,1.9593,1.9699,1.9423,1.9541,304098.52
2026-01-14 16:45:00,1768409100000,1.9541,1.9605,1.9462,1.9502,143101.19
2026-01-14 17:00:00,1768410000000,1.9502,1.9543,1.945,1.9488,80258.56
2026-01-14 17:15:00,1768410900000,1.9488,1.9543,1.9412,1.9424,116151.45
2026-01-14 17:30:00,1768411800000,1.9424,1.9424,1.9244,1.9362,231719.22
2026-01-14 17:45:00,1768412700000,1.9362,1.9399,1.9255,1.9351,80258.47
2026-01-14 18:00:00,1768413600000,1.9351,1.938,1.9281,1.9309,55653.79
2026-01-14 18:15:00,1768414500000,1.9309,1.9309,1.9137,1.9272,210725.2
2026-01-14 18:30:00,1768415400000,1.9272,1.93,1.8929,1.904,368280.18
2026-01-14 18:45:00,1768416300000,1.904,1.9212,1.899,1.9152,130621.36
2026-01-14 19:00:00,1768417200000,1.9152,1.9249,1.9129,1.9236,101922.4
2026-01-14 19:15:00,1768418100000,1.9236,1.9487,1.9232,1.9477,174127.97
2026-01-14 19:30:00,1768419000000,1.9477,1.9514,1.9373,1.9397,80041.21
2026-01-14 19:45:00,1768419900000,1.9397,1.9448,1.9375,1.9402,43158.93
2026-01-14 20:00:00,1768420800000,1.9402,1.9489,1.9379,1.9406,87647.7
2026-01-14 20:15:00,1768421700000,1.9406,1.9434,1.9287,1.9302,73805.25
2026-01-14 20:30:00,1768422600000,1.9302,1.9397,1.9302,1.9313,42843.49
2026-01-14 20:45:00,1768423500000,1.9313,1.9361,1.9271,1.9358,41336.3
2026-01-14 21:00:00,1768424400000,1.9358,1.9416,1.9338,1.9352,35491.11
2026-01-14 21:15:00,1768425300000,1.9352,1.946,1.9326,1.9439,41544.14
2026-01-14 21:30:00,1768426200000,1.9439,1.9451,1.9338,1.9354,43595.08
2026-01-14 21:45:00,1768427100000,1.9354,1.9372,1.9281,1.9372,79585.74
2026-01-14 22:00:00,1768428000000,1.9372,1.9417,1.9344,1.9391,90344.93
2026-01-14 22:15:00,1768428900000,1.9391,1.9401,1.9313,1.9318,25057.24
2026-01-14 22:30:00,1768429800000,1.9318,1.9349,1.9191,1.9212,24825.19
2026-01-14 22:45:00,1768430700000,1.9212,1.9296,1.9212,1.9258,60162.73
2026-01-14 23:00:00,1768431600000,1.9258,1.9355,1.9244,1.9353,29690.73
2026-01-14 23:15:00,1768432500000,1.9353,1.9437,1.9309,1.9316,63195.22
2026-01-14 23:30:00,1768433400000,1.9316,1.933,1.9275,1.9327,24304.13
2026-01-14 23:45:00,1768434300000,1.9327,1.9369,1.9319,1.9329,15278.43
2026-01-15 00:00:00,1768435200000,1.9329,1.9374,1.9279,1.9363,70647.2
2026-01-15 00:15:00,1768436100000,1.9363,1.9365,1.9306,1.9339,54596.12
2026-01-15 00:30:00,1768437000000,1.9339,1.9399,1.928,1.9369,58827.27
2026-01-15 00:45:00,1768437900000,1.9369,1.937,1.9274,1.9339,53666.42
2026-01-15 01:00:00,1768438800000,1.9339,1.9482,1.9339,1.9388,50554.21
2026-01-15 01:15:00,1768439700000,1.9388,1.9408,1.9319,1.9358,49665.35
2026-01-15 01:30:00,1768440600000,1.9358,1.9402,1.9282,1.9374,42601.32
2026-01-15 01:45:00,1768441500000,1.9374,1.9375,1.9265,1.928,25823.75
2026-01-15 02:00:00,1768442400000,1.928,1.9298,1.9213,1.9231,27329.03
2026-01-15 02:15:00,1768443300000,1.9231,1.9316,1.9216,1.9256,27363.45
2026-01-15 02:30:00,1768444200000,1.9256,1.9277,1.9139,1.9201,49939.64
2026-01-15 02:45:00,1768445100000,1.9201,1.9202,1.9082,1.9119,59794.98
2026-01-15 03:00:00,1768446000000,1.9119,1.9179,1.9095,1.9119,69113.36
2026-01-15 03:15:00,1768446900000,1.9119,1.9156,1.8771,1.8822,582936.58
2026-01-15 03:30:00,1768447800000,1.8822,1.8895,1.8774,1.8832,178309.02
2026-01-15 03:45:00,1768448700000,1.8832,1.8881,1.8799,1.884,54775.29
2026-01-15 04:00:00,1768449600000,1.884,1.8965,1.8808,1.8959,57788.68
2026-01-15 04:15:00,1768450500000,1.8959,1.9012,1.8901,1.8966,60873.74
2026-01-15 04:30:00,1768451400000,1.8966,1.9019,1.8949,1.8977,31665.46
2026-01-15 04:45:00,1768452300000,1.8977,1.899,1.8947,1.8986,33940.35
2026-01-15 05:00:00,1768453200000,1.8986,1.907,1.8974,1.8975,54290.16
2026-01-15 05:15:00,1768454100000,1.8975,1.902,1.8922,1.8943,101281.7
2026-01-15 05:30:00,1768455000000,1.8943,1.9006,1.8943,1.9003,35023.83
2026-01-15 05:45:00,1768455900000,1.9003,1.9026,1.8958,1.8977,49101.1
2026-01-15 06:00:00,1768456800000,1.8977,1.9034,1.8962,1.8993,36467.26
2026-01-15 06:15:00,1768457700000,1.8993,1.9061,1.8987,1.9025,87608.4
2026-01-15 06:30:00,1768458600000,1.9025,1.9036,1.8958,1.8959,35484.85
2026-01-15 06:45:00,1768459500000,1.8959,1.8995,1.8933,1.8937,53481.47
2026-01-15 07:00:00,1768460400000,1.8937,1.8992,1.8935,1.8966,47215.98
2026-01-15 07:15:00,1768461300000,1.8966,1.9167,1.8966,1.9143,64076.61
2026-01-15 07:30:00,1768462200000,1.9143,1.9243,1.9116,1.9231,104563.88
2026-01-15 07:45:00,1768463100000,1.9231,1.9279,1.9143,1.9154,132667.24
2026-01-15 08:00:00,1768464000000,1.9154,1.9158,1.9103,1.9125,65461.93
2026-01-15 08:15:00,1768464900000,1.9125,1.9163,1.9039,1.904,43062.49
2026-01-15 08:30:00,1768465800000,1.904,1.9188,1.9021,1.9165,164226.59
2026-01-15 08:45:00,1768466700000,1.9165,1.9188,1.9149,1.9168,22152.21
2026-01-15 09:00:00,1768467600000,1.9168,1.9179,1.9125,1.9129,62228.75
2026-01-15 09:15:00,1768468500000,1.9129,1.9198,1.9104,1.9176,51742.03
2026-01-15 09:30:00,1768469400000,1.9176,1.923,1.9123,1.923,89748.38
2026-01-15 09:45:00,1768470300000,1.923,1.9231,1.9167,1.9172,33509.13
2026-01-15 10:00:00,1768471200000,1.9172,1.9207,1.912,1.9146,52635.1
2026-01-15 10:15:00,1768472100000,1.9146,1.9211,1.9068,1.9084,99233.31
2026-01-15 10:30:00,1768473000000,1.9084,1.9109,1.9071,1.9096,34492.66
2026-01-15 10:45:00,1768473900000,1.9096,1.9166,1.9096,1.9157,37160.73
2026-01-15 11:00:00,1768474800000,1.9157,1.9219,1.9146,1.9217,26664.77
2026-01-15 11:15:00,1768475700000,1.9217,1.9221,1.9174,1.9192,24790.02
2026-01-15 11:30:00,1768476600000,1.9192,1.9227,1.9046,1.9085,138421.69
2026-01-15 11:45:00,1768477500000,1.9085,1.9092,1.9056,1.9088,54763.61
2026-01-15 12:00:00,1768478400000,1.9088,1.9142,1.9062,1.9123,36875.71
2026-01-15 12:15:00,1768479300000,1.9123,1.9138,1.9072,1.9108,35864.44
2026-01-15 12:30:00,1768480200000,1.9108,1.9174,1.9092,1.9102,66945.11
2026-01-15 12:45:00,1768481100000,1.9102,1.9155,1.9093,1.9142,15123.17
2026-01-15 13:00:00,1768482000000,1.9142,1.915,1.9103,1.9121,37808.12
2026-01-15 13:15:00,1768482900000,1.9121,1.924,1.9119,1.9229,174118.17
2026-01-15 13:30:00,1768483800000,1.9229,1.9238,1.9111,1.9214,69979.47
2026-01-15 13:45:00,1768484700000,1.9214,1.9284,1.9179,1.919,131239.58
2026-01-15 14:00:00,1768485600000,1.919,1.928,1.9163,1.9247,120505.33
2026-01-15 14:15:00,1768486500000,1.9247,1.9253,1.9065,1.9075,114402.84
