Open_time,Open_time,Open,High,Low,Close,Volume
2026-06-04 11:15:00,1780571700000,7.562,7.654,7.543,7.636,25946.665
2026-06-04 11:30:00,1780572600000,7.636,7.669,7.563,7.584,17391.921
2026-06-04 11:45:00,1780573500000,7.584,7.666,7.584,7.663,14117.803
2026-06-04 12:00:00,1780574400000,7.663,7.691,7.612,7.634,18929.612
2026-06-04 12:15:00,1780575300000,7.634,7.746,7.631,7.733,19450.526
2026-06-04 12:30:00,1780576200000,7.733,7.81,7.733,7.782,12989.1
2026-06-04 12:45:00,1780577100000,7.782,7.828,7.771,7.805,9199.241
2026-06-04 13:00:00,1780578000000,7.805,7.82,7.768,7.768,6466.147
2026-06-04 13:15:00,1780578900000,7.768,7.783,7.679,7.707,17052.32
2026-06-04 13:30:00,1780579800000,7.707,7.828,7.698,7.768,40508.752
2026-06-04 13:45:00,1780580700000,7.768,7.799,7.717,7.786,26228.935
2026-06-04 14:00:00,1780581600000,7.786,7.811,7.743,7.795,41034.819
2026-06-04 14:15:00,1780582500000,7.795,7.805,7.757,7.781,26823.425
2026-06-04 14:30:00,1780583400000,7.781,7.791,7.729,7.749,22344.465
2026-06-04 14:45:00,1780584300000,7.749,7.777,7.735,7.77,8908.958
2026-06-04 15:00:00,1780585200000,7.77,7.86,7.765,7.85,22240.934
2026-06-04 15:15:00,1780586100000,7.85,7.851,7.775,7.797,14010.546
2026-06-04 15:30:00,1780587000000,7.797,7.808,7.772,7.777,14469.216
2026-06-04 15:45:00,1780587900000,7.777,7.788,7.746,7.763,12452.818
2026-06-04 16:00:00,1780588800000,7.763,7.769,7.731,7.735,12631.851
2026-06-04 16:15:00,1780589700000,7.735,7.774,7.726,7.731,13879.739
2026-06-04 16:30:00,1780590600000,7.731,7.784,7.707,7.773,28919.648
2026-06-04 16:45:00,1780591500000,7.773,7.799,7.738,7.76,26961.96
2026-06-04 17:00:00,1780592400000,7.76,7.803,7.743,7.782,13147.361
2026-06-04 17:15:00,1780593300000,7.782,7.782,7.726,7.747,15337.674
2026-06-04 17:30:00,1780594200000,7.747,7.759,7.686,7.697,14494.191
2026-06-04 17:45:00,1780595100000,7.697,7.785,7.67,7.753,44080.414
2026-06-04 18:00:00,1780596000000,7.753,7.764,7.689,7.693,9146.852
2026-06-04 18:15:00,1780596900000,7.693,7.82,7.693,7.82,14583.688
2026-06-04 18:30:00,1780597800000,7.82,7.843,7.792,7.809,13718.212
2026-06-04 18:45:00,1780598700000,7.809,7.836,7.797,7.811,6668.934
2026-06-04 19:00:00,1780599600000,7.811,7.818,7.771,7.799,9025.281
2026-06-04 19:15:00,1780600500000,7.799,7.852,7.788,7.838,13474.984
2026-06-04 19:30:00,1780601400000,7.838,7.838,7.786,7.788,6755.38
2026-06-04 19:45:00,1780602300000,7.788,7.789,7.763,7.778,5990.276
2026-06-04 20:00:00,1780603200000,7.778,7.779,7.713,7.746,8915.589
2026-06-04 20:15:00,1780604100000,7.746,7.758,7.718,7.73,6373.89
2026-06-04 20:30:00,1780605000000,7.73,7.757,7.73,7.735,2835.553
2026-06-04 20:45:00,1780605900000,7.735,7.749,7.704,7.74,12682.859
2026-06-04 21:00:00,1780606800000,7.74,7.765,7.716,7.732,10996.259
2026-06-04 21:15:00,1780607700000,7.732,7.737,7.655,7.675,15289.125
2026-06-04 21:30:00,1780608600000,7.675,7.678,7.568,7.631,32573.921
2026-06-04 21:45:00,1780609500000,7.631,7.644,7.594,7.595,28726.942
2026-06-04 22:00:00,1780610400000,7.595,7.647,7.584,7.607,38193.291
2026-06-04 22:15:00,1780611300000,7.607,7.639,7.602,7.627,19840.086
2026-06-04 22:30:00,1780612200000,7.627,7.627,7.573,7.606,33505.933
2026-06-04 22:45:00,1780613100000,7.606,7.68,7.591,7.672,20522.66
2026-06-04 23:00:00,1780614000000,7.672,7.712,7.658,7.686,15691.974
2026-06-04 23:15:00,1780614900000,7.686,7.688,7.615,7.63,20555.523
2026-06-04 23:30:00,1780615800000,7.63,7.682,7.628,7.677,12527.877
2026-06-04 23:45:00,1780616700000,7.677,7.709,7.662,7.708,10318.312
2026-06-05 00:00:00,1780617600000,7.708,7.71,7.667,7.669,14009.124
2026-06-05 00:15:00,1780618500000,7.669,7.725,7.651,7.722,20510.315
2026-06-05 00:30:00,1780619400000,7.722,7.724,7.679,7.697,9131.96
2026-06-05 00:45:00,1780620300000,7.697,7.721,7.631,7.637,12487.218
