Open_time,Open_time,Open,High,Low,Close,Volume
2026-03-14 00:00:00,1773446400000,1.1544,1.1596,1.1491,1.151,125803.9
2026-03-14 00:15:00,1773447300000,1.151,1.1537,1.1484,1.1537,59264.8
2026-03-14 00:30:00,1773448200000,1.1537,1.164,1.1513,1.1558,114420.2
2026-03-14 00:45:00,1773449100000,1.1558,1.1579,1.148,1.1491,78744.9
2026-03-14 01:00:00,1773450000000,1.1491,1.1543,1.1455,1.1482,58433.4
2026-03-14 01:15:00,1773450900000,1.1482,1.1558,1.1482,1.1541,36240.5
2026-03-14 01:30:00,1773451800000,1.1541,1.1609,1.1509,1.1586,113281.2
2026-03-14 01:45:00,1773452700000,1.1586,1.1661,1.1572,1.1661,167845.8
2026-03-14 02:00:00,1773453600000,1.1661,1.174,1.164,1.1712,160440.3
2026-03-14 02:15:00,1773454500000,1.1712,1.1788,1.1689,1.1721,167215.1
2026-03-14 02:30:00,1773455400000,1.1721,1.1792,1.1711,1.1757,115416.6
2026-03-14 02:45:00,1773456300000,1.1757,1.1883,1.1754,1.1837,217376.6
2026-03-14 03:00:00,1773457200000,1.1837,1.2087,1.1822,1.2058,446356.3
2026-03-14 03:15:00,1773458100000,1.2058,1.2452,1.1955,1.2099,2767975.4
2026-03-14 03:30:00,1773459000000,1.2099,1.2238,1.202,1.2209,783728.6
2026-03-14 03:45:00,1773459900000,1.2209,1.2271,1.2015,1.2048,531033.5
2026-03-14 04:00:00,1773460800000,1.2048,1.2124,1.2005,1.2054,291965.9
2026-03-14 04:15:00,1773461700000,1.2054,1.2168,1.1977,1.2106,184610.5
2026-03-14 04:30:00,1773462600000,1.2106,1.2327,1.2083,1.2268,173470.3
2026-03-14 04:45:00,1773463500000,1.2268,1.2277,1.2117,1.2144,138038.3
2026-03-14 05:00:00,1773464400000,1.2144,1.2161,1.1989,1.2016,189431.0
2026-03-14 05:15:00,1773465300000,1.2016,1.2086,1.2011,1.2059,87597.6
2026-03-14 05:30:00,1773466200000,1.2059,1.2083,1.2006,1.2062,80928.0
2026-03-14 05:45:00,1773467100000,1.2062,1.2219,1.2028,1.2178,180068.9
2026-03-14 06:00:00,1773468000000,1.2178,1.2217,1.2127,1.2144,129080.7
2026-03-14 06:15:00,1773468900000,1.2144,1.2154,1.1914,1.1956,284423.9
2026-03-14 06:30:00,1773469800000,1.1956,1.1959,1.1822,1.1847,289123.8
2026-03-14 06:45:00,1773470700000,1.1847,1.1954,1.1845,1.1942,101986.3
2026-03-14 07:00:00,1773471600000,1.1942,1.2075,1.1932,1.2072,222818.7
2026-03-14 07:15:00,1773472500000,1.2072,1.208,1.1936,1.1948,95038.3
2026-03-14 07:30:00,1773473400000,1.1948,1.1971,1.1912,1.1942,73569.1
2026-03-14 07:45:00,1773474300000,1.1942,1.1943,1.1869,1.1913,88698.5
2026-03-14 08:00:00,1773475200000,1.1913,1.2745,1.1879,1.2577,1622797.9
2026-03-14 08:15:00,1773476100000,1.2577,1.2716,1.2172,1.2629,2487935.6
2026-03-14 08:30:00,1773477000000,1.2629,1.2697,1.2423,1.2518,1660817.0
2026-03-14 08:45:00,1773477900000,1.2518,1.254,1.2149,1.2232,1360455.0
2026-03-14 09:00:00,1773478800000,1.2232,1.2349,1.2186,1.2294,598430.5
2026-03-14 09:15:00,1773479700000,1.2294,1.253,1.228,1.2444,913289.6
2026-03-14 09:30:00,1773480600000,1.2444,1.2602,1.24,1.2545,818034.4
2026-03-14 09:45:00,1773481500000,1.2545,1.2694,1.2423,1.2463,1301727.1
2026-03-14 10:00:00,1773482400000,1.2463,1.2624,1.2425,1.2513,482668.3
2026-03-14 10:15:00,1773483300000,1.2513,1.2526,1.2259,1.2382,944954.6
2026-03-14 10:30:00,1773484200000,1.2382,1.2519,1.235,1.2474,400872.5
2026-03-14 10:45:00,1773485100000,1.2474,1.2487,1.2324,1.2368,370794.3
2026-03-14 11:00:00,1773486000000,1.2368,1.2438,1.2298,1.2408,325858.4
2026-03-14 11:15:00,1773486900000,1.2408,1.2499,1.2373,1.2455,252482.0
2026-03-14 11:30:00,1773487800000,1.2455,1.2462,1.2329,1.2439,369203.9
2026-03-14 11:45:00,1773488700000,1.2439,1.2507,1.2421,1.2488,248070.0
2026-03-14 12:00:00,1773489600000,1.2488,1.2606,1.242,1.2555,504859.4
2026-03-14 12:15:00,1773490500000,1.2555,1.2694,1.2488,1.2586,695985.8
2026-03-14 12:30:00,1773491400000,1.2586,1.2638,1.2407,1.2446,441775.0
2026-03-14 12:45:00,1773492300000,1.2446,1.2508,1.2414,1.2452,184564.7
2026-03-14 13:00:00,1773493200000,1.2452,1.2513,1.2373,1.2381,171271.4
2026-03-14 13:15:00,1773494100000,1.2381,1.2434,1.2345,1.2422,254153.9
2026-03-14 13:30:00,1773495000000,1.2422,1.2427,1.2325,1.2372,177933.5
2026-03-14 13:45:00,1773495900000,1.2372,1.2435,1.2336,1.2428,150153.3
2026-03-14 14:00:00,1773496800000,1.2428,1.2517,1.2402,1.2425,417812.3
2026-03-14 14:15:00,1773497700000,1.2425,1.2482,1.2357,1.2478,212364.2
2026-03-14 14:30:00,1773498600000,1.2478,1.2504,1.2327,1.236,235128.3
2026-03-14 14:45:00,1773499500000,1.236,1.2417,1.2175,1.2198,555148.8
2026-03-14 15:00:00,1773500400000,1.2198,1.2209,1.2058,1.2094,634593.0
2026-03-14 15:15:00,1773501300000,1.2094,1.2221,1.2093,1.2106,1239752.9
2026-03-14 15:30:00,1773502200000,1.2106,1.2171,1.2089,1.2114,522213.2
2026-03-14 15:45:00,1773503100000,1.2114,1.2183,1.2098,1.2167,408297.3
2026-03-14 16:00:00,1773504000000,1.2167,1.2217,1.2102,1.2171,599669.0
2026-03-14 16:15:00,1773504900000,1.2171,1.2254,1.2169,1.2215,257820.2
2026-03-14 16:30:00,1773505800000,1.2215,1.2234,1.216,1.2228,163980.5
2026-03-14 16:45:00,1773506700000,1.2228,1.2233,1.2145,1.2184,95986.1
2026-03-14 17:00:00,1773507600000,1.2184,1.2248,1.2171,1.2181,121828.9
2026-03-14 17:15:00,1773508500000,1.2181,1.2228,1.2176,1.2214,83295.4
2026-03-14 17:30:00,1773509400000,1.2214,1.2275,1.2209,1.2272,100028.6
2026-03-14 17:45:00,1773510300000,1.2272,1.2274,1.2222,1.2228,100141.5
2026-03-14 18:00:00,1773511200000,1.2228,1.224,1.2186,1.2236,92601.3
2026-03-14 18:15:00,1773512100000,1.2236,1.2285,1.2212,1.2215,181665.4
2026-03-14 18:30:00,1773513000000,1.2215,1.225,1.2206,1.2228,87272.6
2026-03-14 18:45:00,1773513900000,1.2228,1.2294,1.2222,1.2286,53876.0
2026-03-14 19:00:00,1773514800000,1.2286,1.2396,1.2286,1.2372,292243.9
2026-03-14 19:15:00,1773515700000,1.2372,1.247,1.2349,1.2382,352712.5
2026-03-14 19:30:00,1773516600000,1.2382,1.2452,1.2339,1.2381,184650.7
2026-03-14 19:45:00,1773517500000,1.2381,1.2415,1.2363,1.2365,151437.6
2026-03-14 20:00:00,1773518400000,1.2365,1.2365,1.2227,1.2257,209254.8
2026-03-14 20:15:00,1773519300000,1.2257,1.2275,1.2196,1.2216,177904.0
2026-03-14 20:30:00,1773520200000,1.2216,1.2281,1.2182,1.2272,184033.0
2026-03-14 20:45:00,1773521100000,1.2272,1.2326,1.2263,1.2284,81575.9
2026-03-14 21:00:00,1773522000000,1.2284,1.2284,1.215,1.2157,292071.7
2026-03-14 21:15:00,1773522900000,1.2157,1.2171,1.2121,1.2164,105441.8
2026-03-14 21:30:00,1773523800000,1.2164,1.2201,1.2127,1.2192,98862.1
2026-03-14 21:45:00,1773524700000,1.2192,1.2289,1.2183,1.2272,249016.5
2026-03-14 22:00:00,1773525600000,1.2272,1.2285,1.2234,1.2234,45352.9
2026-03-14 22:15:00,1773526500000,1.2234,1.2294,1.2228,1.2286,164534.0
2026-03-14 22:30:00,1773527400000,1.2286,1.2365,1.2285,1.2361,99002.4
2026-03-14 22:45:00,1773528300000,1.2361,1.2367,1.2307,1.2353,60862.4
2026-03-14 23:00:00,1773529200000,1.2353,1.236,1.2246,1.2282,134205.8
2026-03-14 23:15:00,1773530100000,1.2282,1.2285,1.2231,1.2271,48724.8
2026-03-14 23:30:00,1773531000000,1.2271,1.2392,1.2258,1.2382,189402.6
2026-03-14 23:45:00,1773531900000,1.2382,1.2402,1.2334,1.2371,150115.7
2026-03-15 00:00:00,1773532800000,1.2371,1.2648,1.2348,1.2613,2059446.3
2026-03-15 00:15:00,1773533700000,1.2613,1.2686,1.2453,1.2653,904263.7
2026-03-15 00:30:00,1773534600000,1.2653,1.2711,1.2468,1.2473,770974.2
2026-03-15 00:45:00,1773535500000,1.2473,1.2583,1.2411,1.2549,465371.9
2026-03-15 01:00:00,1773536400000,1.2549,1.2627,1.2484,1.2533,284838.4
2026-03-15 01:15:00,1773537300000,1.2533,1.2551,1.2339,1.2405,478328.1
2026-03-15 01:30:00,1773538200000,1.2405,1.241,1.2172,1.2258,989885.5
2026-03-15 01:45:00,1773539100000,1.2258,1.2309,1.2201,1.2298,197397.9
2026-03-15 02:00:00,1773540000000,1.2298,1.2402,1.2298,1.2387,201778.7
2026-03-15 02:15:00,1773540900000,1.2387,1.2396,1.2304,1.2319,164236.0
2026-03-15 02:30:00,1773541800000,1.2319,1.2337,1.2276,1.2336,123962.0
2026-03-15 02:45:00,1773542700000,1.2336,1.238,1.232,1.2355,126187.1
2026-03-15 03:00:00,1773543600000,1.2355,1.2375,1.2271,1.2276,180645.6
2026-03-15 03:15:00,1773544500000,1.2276,1.2292,1.2219,1.2223,198585.3
2026-03-15 03:30:00,1773545400000,1.2223,1.2237,1.2172,1.2201,209681.6
2026-03-15 03:45:00,1773546300000,1.2201,1.2216,1.214,1.2168,163749.2
2026-03-15 04:00:00,1773547200000,1.2168,1.2202,1.2065,1.2195,444253.4
2026-03-15 04:15:00,1773548100000,1.2195,1.2207,1.2145,1.2148,151001.2
2026-03-15 04:30:00,1773549000000,1.2148,1.2196,1.2098,1.2181,130225.7
2026-03-15 04:45:00,1773549900000,1.2181,1.2199,1.2172,1.2194,32779.6
2026-03-15 05:00:00,1773550800000,1.2194,1.222,1.2187,1.22,82280.6
2026-03-15 05:15:00,1773551700000,1.22,1.2253,1.218,1.219,106725.6
2026-03-15 05:30:00,1773552600000,1.219,1.221,1.2165,1.2194,72654.0
2026-03-15 05:45:00,1773553500000,1.2194,1.2229,1.216,1.222,244073.8
2026-03-15 06:00:00,1773554400000,1.222,1.2263,1.2217,1.2238,86160.5
2026-03-15 06:15:00,1773555300000,1.2238,1.2241,1.2189,1.2191,105999.5
2026-03-15 06:30:00,1773556200000,1.2191,1.2198,1.2164,1.2174,62326.0
2026-03-15 06:45:00,1773557100000,1.2174,1.2197,1.2163,1.2196,31542.2
2026-03-15 07:00:00,1773558000000,1.2196,1.2277,1.2181,1.2267,97987.6
2026-03-15 07:15:00,1773558900000,1.2267,1.2328,1.2258,1.2306,131063.8
2026-03-15 07:30:00,1773559800000,1.2306,1.2322,1.2254,1.2299,172523.6
2026-03-15 07:45:00,1773560700000,1.2299,1.2337,1.2282,1.2316,164080.6
2026-03-15 08:00:00,1773561600000,1.2316,1.2358,1.2275,1.2343,367082.1
2026-03-15 08:15:00,1773562500000,1.2343,1.2346,1.2289,1.231,126155.2
2026-03-15 08:30:00,1773563400000,1.231,1.2418,1.2308,1.2414,146795.0
2026-03-15 08:45:00,1773564300000,1.2414,1.2475,1.2389,1.2448,201518.5
2026-03-15 09:00:00,1773565200000,1.2448,1.253,1.2368,1.2383,290339.4
2026-03-15 09:15:00,1773566100000,1.2383,1.2424,1.2333,1.237,187846.3
2026-03-15 09:30:00,1773567000000,1.237,1.2373,1.228,1.2294,113125.6
2026-03-15 09:45:00,1773567900000,1.2294,1.2366,1.2292,1.2321,81842.0
2026-03-15 10:00:00,1773568800000,1.2321,1.2352,1.2301,1.2326,103360.6
2026-03-15 10:15:00,1773569700000,1.2326,1.2387,1.2315,1.2347,55599.4
2026-03-15 10:30:00,1773570600000,1.2347,1.2376,1.2311,1.2359,111299.1
2026-03-15 10:45:00,1773571500000,1.2359,1.2393,1.2322,1.2345,112383.2
2026-03-15 11:00:00,1773572400000,1.2345,1.2372,1.2312,1.2368,86928.2
2026-03-15 11:15:00,1773573300000,1.2368,1.2379,1.2288,1.2291,99073.6
2026-03-15 11:30:00,1773574200000,1.2291,1.2321,1.2288,1.2317,64526.9
2026-03-15 11:45:00,1773575100000,1.2317,1.2341,1.228,1.232,157052.8
2026-03-15 12:00:00,1773576000000,1.232,1.2405,1.2275,1.2317,147391.1
2026-03-15 12:15:00,1773576900000,1.2317,1.2339,1.226,1.2291,115066.1
