Open_time,Open_time,Open,High,Low,Close,Volume
2026-06-04 11:15:00,1780571700000,0.2269,0.2292,0.2262,0.2269,50350.6
2026-06-04 11:30:00,1780572600000,0.2269,0.2288,0.2266,0.2273,40997.0
2026-06-04 11:45:00,1780573500000,0.2273,0.2277,0.225,0.2261,130045.4
2026-06-04 12:00:00,1780574400000,0.2261,0.2271,0.2207,0.2216,139182.8
2026-06-04 12:15:00,1780575300000,0.2216,0.2229,0.219,0.2192,334105.3
2026-06-04 12:30:00,1780576200000,0.2192,0.2255,0.2192,0.2235,98655.2
2026-06-04 12:45:00,1780577100000,0.2235,0.2246,0.2211,0.2225,115587.0
2026-06-04 13:00:00,1780578000000,0.2225,0.2236,0.2209,0.2213,118711.5
2026-06-04 13:15:00,1780578900000,0.2213,0.2226,0.2201,0.2208,117197.7
2026-06-04 13:30:00,1780579800000,0.2208,0.2243,0.2206,0.2229,144083.1
2026-06-04 13:45:00,1780580700000,0.2229,0.2245,0.2215,0.2242,105934.3
2026-06-04 14:00:00,1780581600000,0.2242,0.226,0.2205,0.2221,161302.8
2026-06-04 14:15:00,1780582500000,0.2221,0.2225,0.2195,0.2197,140002.6
2026-06-04 14:30:00,1780583400000,0.2197,0.2211,0.2164,0.2192,193695.8
2026-06-04 14:45:00,1780584300000,0.2192,0.2226,0.2173,0.2215,125094.9
2026-06-04 15:00:00,1780585200000,0.2215,0.2225,0.2199,0.221,58710.0
2026-06-04 15:15:00,1780586100000,0.221,0.221,0.2172,0.2183,135699.1
2026-06-04 15:30:00,1780587000000,0.2183,0.2204,0.2175,0.2195,41782.9
2026-06-04 15:45:00,1780587900000,0.2195,0.22,0.217,0.2193,68512.6
2026-06-04 16:00:00,1780588800000,0.2193,0.2201,0.2117,0.2152,225819.0
2026-06-04 16:15:00,1780589700000,0.2152,0.2161,0.2133,0.2155,124157.0
2026-06-04 16:30:00,1780590600000,0.2155,0.2164,0.2131,0.2155,46503.1
2026-06-04 16:45:00,1780591500000,0.2155,0.2163,0.2147,0.2152,49637.6
2026-06-04 17:00:00,1780592400000,0.2152,0.2181,0.214,0.2177,169294.0
2026-06-04 17:15:00,1780593300000,0.2177,0.2198,0.2161,0.2198,25409.8
