Open_time,Open_time,Open,High,Low,Close,Volume
2026-04-30 16:00:00,1777564800000,0.6144,0.6372,0.5885,0.6183,623399.8
2026-04-30 16:15:00,1777565700000,0.6183,0.6422,0.6126,0.6263,377569.2
2026-04-30 16:30:00,1777566600000,0.6263,0.6433,0.6196,0.6305,406414.0
2026-04-30 16:45:00,1777567500000,0.6305,0.6309,0.612,0.6205,262910.8
2026-04-30 17:00:00,1777568400000,0.6205,0.6376,0.6054,0.6134,469633.7
2026-04-30 17:15:00,1777569300000,0.6134,0.6248,0.5266,0.552,1711090.6
2026-04-30 17:30:00,1777570200000,0.552,0.5773,0.528,0.5575,767662.5
2026-04-30 17:45:00,1777571100000,0.5575,0.568,0.5478,0.5572,502239.6
2026-04-30 18:00:00,1777572000000,0.5572,0.5958,0.5559,0.5853,474915.5
2026-04-30 18:15:00,1777572900000,0.5853,0.6116,0.5824,0.6067,389039.4
2026-04-30 18:30:00,1777573800000,0.6067,0.6214,0.601,0.6087,421663.0
2026-04-30 18:45:00,1777574700000,0.6087,0.6145,0.597,0.6071,224817.3
2026-04-30 19:00:00,1777575600000,0.6071,0.6106,0.5921,0.597,336447.8
2026-04-30 19:15:00,1777576500000,0.597,0.6016,0.5934,0.5972,118444.7
2026-04-30 19:30:00,1777577400000,0.5972,0.6058,0.5884,0.5938,272833.9
2026-04-30 19:45:00,1777578300000,0.5938,0.5981,0.582,0.5864,149824.3
2026-04-30 20:00:00,1777579200000,0.5864,0.5948,0.585,0.591,71568.4
2026-04-30 20:15:00,1777580100000,0.591,0.5968,0.5877,0.5921,129739.8
2026-04-30 20:30:00,1777581000000,0.5921,0.5956,0.5886,0.5913,48521.0
2026-04-30 20:45:00,1777581900000,0.5913,0.6052,0.5902,0.6052,106117.8
2026-04-30 21:00:00,1777582800000,0.6052,0.6054,0.5917,0.6025,103734.2
2026-04-30 21:15:00,1777583700000,0.6025,0.6162,0.5991,0.6112,123212.3
2026-04-30 21:30:00,1777584600000,0.6112,0.6138,0.6064,0.611,34195.1
