Open_time,Open_time,Open,High,Low,Close,Volume
2026-01-31 16:00:00,1769875200000,2.787,2.794,2.76,2.777,214148.9
2026-01-31 16:15:00,1769876100000,2.777,2.834,2.76,2.791,517542.2
2026-01-31 16:30:00,1769877000000,2.791,2.796,2.779,2.78,111752.0
2026-01-31 16:45:00,1769877900000,2.78,2.786,2.752,2.76,305953.9
2026-01-31 17:00:00,1769878800000,2.76,2.778,2.594,2.669,3037986.8
2026-01-31 17:15:00,1769879700000,2.669,2.699,2.649,2.667,563694.7
2026-01-31 17:30:00,1769880600000,2.667,2.68,2.629,2.648,267201.5
2026-01-31 17:45:00,1769881500000,2.648,2.66,2.626,2.63,160119.9
2026-01-31 18:00:00,1769882400000,2.63,2.648,2.627,2.647,168933.3
2026-01-31 18:15:00,1769883300000,2.647,2.665,2.628,2.661,185461.7
2026-01-31 18:30:00,1769884200000,2.661,2.664,2.466,2.605,2138847.4
2026-01-31 18:45:00,1769885100000,2.605,2.651,2.592,2.604,1242666.8
2026-01-31 19:00:00,1769886000000,2.604,2.625,2.538,2.603,1669008.9
2026-01-31 19:15:00,1769886900000,2.603,2.617,2.596,2.604,261583.3
2026-01-31 19:30:00,1769887800000,2.604,2.613,2.575,2.584,137685.1
2026-01-31 19:45:00,1769888700000,2.584,2.62,2.579,2.608,423812.7
2026-01-31 20:00:00,1769889600000,2.608,2.616,2.594,2.599,109953.4
2026-01-31 20:15:00,1769890500000,2.599,2.639,2.595,2.599,144873.6
2026-01-31 20:30:00,1769891400000,2.599,2.612,2.583,2.611,99468.8
2026-01-31 20:45:00,1769892300000,2.611,2.62,2.601,2.617,61566.7
2026-01-31 21:00:00,1769893200000,2.617,2.642,2.608,2.611,98583.0
2026-01-31 21:15:00,1769894100000,2.611,2.648,2.597,2.646,388622.2
2026-01-31 21:30:00,1769895000000,2.646,2.68,2.641,2.67,238413.1
2026-01-31 21:45:00,1769895900000,2.67,2.68,2.66,2.668,102567.4
2026-01-31 22:00:00,1769896800000,2.668,2.683,2.665,2.668,91584.8
2026-01-31 22:15:00,1769897700000,2.668,2.678,2.654,2.672,59941.0
2026-01-31 22:30:00,1769898600000,2.672,2.678,2.651,2.656,51025.9
2026-01-31 22:45:00,1769899500000,2.656,2.671,2.651,2.671,29047.7
2026-01-31 23:00:00,1769900400000,2.671,2.686,2.669,2.68,68934.9
2026-01-31 23:15:00,1769901300000,2.68,2.742,2.676,2.734,215802.0
2026-01-31 23:30:00,1769902200000,2.734,2.746,2.721,2.721,133571.6
2026-01-31 23:45:00,1769903100000,2.721,2.733,2.71,2.73,64830.3
2026-02-01 00:00:00,1769904000000,2.73,2.748,2.725,2.736,142815.8
2026-02-01 00:15:00,1769904900000,2.736,2.742,2.726,2.726,127373.2
2026-02-01 00:30:00,1769905800000,2.726,2.729,2.711,2.722,98581.1
2026-02-01 00:45:00,1769906700000,2.722,2.734,2.72,2.73,103777.1
2026-02-01 01:00:00,1769907600000,2.73,2.733,2.716,2.727,154031.6
2026-02-01 01:15:00,1769908500000,2.727,2.733,2.701,2.732,277588.8
2026-02-01 01:30:00,1769909400000,2.732,2.738,2.728,2.731,58232.9
2026-02-01 01:45:00,1769910300000,2.731,2.751,2.731,2.749,62400.8
