Open_time,Open_time,Open,High,Low,Close,Volume
2026-06-04 11:15:00,1780571700000,5.938,5.962,5.878,5.903,40426.0
2026-06-04 11:30:00,1780572600000,5.903,5.928,5.815,5.835,21099.62
2026-06-04 11:45:00,1780573500000,5.835,5.906,5.833,5.871,9928.99
2026-06-04 12:00:00,1780574400000,5.871,5.883,5.803,5.834,13923.62
2026-06-04 12:15:00,1780575300000,5.834,5.92,5.834,5.891,5723.45
2026-06-04 12:30:00,1780576200000,5.891,5.96,5.885,5.896,4941.73
2026-06-04 12:45:00,1780577100000,5.896,5.96,5.889,5.92,7835.7
2026-06-04 13:00:00,1780578000000,5.92,5.945,5.832,5.832,8220.31
2026-06-04 13:15:00,1780578900000,5.832,5.846,5.735,5.755,14071.7
2026-06-04 13:30:00,1780579800000,5.755,5.855,5.742,5.811,5083.47
2026-06-04 13:45:00,1780580700000,5.811,5.843,5.774,5.795,6692.79
2026-06-04 14:00:00,1780581600000,5.795,5.826,5.713,5.773,8698.05
2026-06-04 14:15:00,1780582500000,5.773,5.773,5.71,5.732,3240.23
2026-06-04 14:30:00,1780583400000,5.732,5.741,5.644,5.656,18197.39
2026-06-04 14:45:00,1780584300000,5.656,5.694,5.638,5.685,4986.11
2026-06-04 15:00:00,1780585200000,5.685,5.804,5.667,5.786,16700.13
2026-06-04 15:15:00,1780586100000,5.786,5.786,5.705,5.749,5486.78
2026-06-04 15:30:00,1780587000000,5.749,5.752,5.709,5.727,3407.5
2026-06-04 15:45:00,1780587900000,5.727,5.737,5.69,5.725,2202.53
2026-06-04 16:00:00,1780588800000,5.725,5.751,5.696,5.743,1799.47
2026-06-04 16:15:00,1780589700000,5.743,5.786,5.743,5.751,3763.02
2026-06-04 16:30:00,1780590600000,5.751,5.837,5.729,5.828,5683.23
2026-06-04 16:45:00,1780591500000,5.828,5.862,5.783,5.8,9544.94
2026-06-04 17:00:00,1780592400000,5.8,5.814,5.77,5.78,5712.54
2026-06-04 17:15:00,1780593300000,5.78,5.78,5.656,5.656,7843.47
2026-06-04 17:30:00,1780594200000,5.656,5.671,5.566,5.59,9105.77
2026-06-04 17:45:00,1780595100000,5.59,5.65,5.564,5.616,6008.28
2026-06-04 18:00:00,1780596000000,5.616,5.624,5.523,5.534,7513.88
2026-06-04 18:15:00,1780596900000,5.534,5.607,5.529,5.607,11135.88
2026-06-04 18:30:00,1780597800000,5.607,5.646,5.57,5.595,2979.61
2026-06-04 18:45:00,1780598700000,5.595,5.61,5.567,5.576,1500.98
2026-06-04 19:00:00,1780599600000,5.576,5.604,5.533,5.567,3944.76
2026-06-04 19:15:00,1780600500000,5.567,5.615,5.546,5.599,3749.48
2026-06-04 19:30:00,1780601400000,5.599,5.599,5.52,5.522,2103.82
2026-06-04 19:45:00,1780602300000,5.522,5.563,5.51,5.522,3911.84
2026-06-04 20:00:00,1780603200000,5.522,5.529,5.472,5.505,4766.22
2026-06-04 20:15:00,1780604100000,5.505,5.507,5.446,5.454,3393.01
2026-06-04 20:30:00,1780605000000,5.454,5.488,5.444,5.447,6736.14
2026-06-04 20:45:00,1780605900000,5.447,5.477,5.428,5.445,4871.53
2026-06-04 21:00:00,1780606800000,5.445,5.502,5.419,5.479,11294.48
2026-06-04 21:15:00,1780607700000,5.479,5.486,5.382,5.386,3333.4
2026-06-04 21:30:00,1780608600000,5.386,5.446,5.357,5.439,12875.39
