Open_time,Open_time,Open,High,Low,Close,Volume
2026-04-30 16:00:00,1777564800000,3.465,3.468,3.456,3.463,4496.2
2026-04-30 16:15:00,1777565700000,3.463,3.465,3.45,3.453,3285.8
2026-04-30 16:30:00,1777566600000,3.453,3.456,3.443,3.448,15946.1
2026-04-30 16:45:00,1777567500000,3.448,3.453,3.436,3.44,5308.4
2026-04-30 17:00:00,1777568400000,3.44,3.448,3.437,3.444,6691.6
2026-04-30 17:15:00,1777569300000,3.444,3.444,3.431,3.44,7680.3
2026-04-30 17:30:00,1777570200000,3.44,3.452,3.437,3.437,6431.3
2026-04-30 17:45:00,1777571100000,3.437,3.442,3.437,3.439,2750.7
2026-04-30 18:00:00,1777572000000,3.439,3.448,3.427,3.435,11426.7
2026-04-30 18:15:00,1777572900000,3.435,3.443,3.433,3.434,6201.3
2026-04-30 18:30:00,1777573800000,3.434,3.439,3.429,3.437,8340.3
2026-04-30 18:45:00,1777574700000,3.437,3.439,3.431,3.431,4341.6
2026-04-30 19:00:00,1777575600000,3.431,3.443,3.427,3.439,8537.7
2026-04-30 19:15:00,1777576500000,3.439,3.44,3.432,3.433,2140.4
2026-04-30 19:30:00,1777577400000,3.433,3.439,3.431,3.436,1173.3
2026-04-30 19:45:00,1777578300000,3.436,3.436,3.426,3.427,4444.8
2026-04-30 20:00:00,1777579200000,3.427,3.43,3.422,3.427,3954.7
2026-04-30 20:15:00,1777580100000,3.427,3.433,3.423,3.429,3806.7
2026-04-30 20:30:00,1777581000000,3.429,3.431,3.425,3.425,18086.0
2026-04-30 20:45:00,1777581900000,3.425,3.425,3.414,3.416,17683.0
2026-04-30 21:00:00,1777582800000,3.416,3.423,3.416,3.422,10253.4
2026-04-30 21:15:00,1777583700000,3.422,3.424,3.411,3.413,7840.1
2026-04-30 21:30:00,1777584600000,3.413,3.419,3.411,3.412,5531.7
2026-04-30 21:45:00,1777585500000,3.412,3.414,3.404,3.405,5357.6
2026-04-30 22:00:00,1777586400000,3.405,3.416,3.403,3.414,25118.0
2026-04-30 22:15:00,1777587300000,3.414,3.42,3.414,3.417,4117.9
2026-04-30 22:30:00,1777588200000,3.417,3.421,3.406,3.416,10120.8
2026-04-30 22:45:00,1777589100000,3.416,3.417,3.404,3.406,8790.1
2026-04-30 23:00:00,1777590000000,3.406,3.413,3.403,3.411,14320.1
2026-04-30 23:15:00,1777590900000,3.411,3.413,3.409,3.411,723.4
2026-04-30 23:30:00,1777591800000,3.411,3.422,3.411,3.413,6137.9
2026-04-30 23:45:00,1777592700000,3.413,3.427,3.413,3.417,7918.9
2026-05-01 00:00:00,1777593600000,3.417,3.434,3.417,3.433,7399.4
2026-05-01 00:15:00,1777594500000,3.433,3.44,3.431,3.434,8414.7
2026-05-01 00:30:00,1777595400000,3.434,3.441,3.43,3.441,9190.1
2026-05-01 00:45:00,1777596300000,3.441,3.447,3.433,3.436,4716.7
2026-05-01 01:00:00,1777597200000,3.436,3.453,3.436,3.439,10609.5
2026-05-01 01:15:00,1777598100000,3.439,3.442,3.434,3.435,1802.3
2026-05-01 01:30:00,1777599000000,3.435,3.441,3.43,3.44,2737.2
2026-05-01 01:45:00,1777599900000,3.44,3.451,3.437,3.448,8594.5
2026-05-01 02:00:00,1777600800000,3.448,3.449,3.439,3.439,24442.4
2026-05-01 02:15:00,1777601700000,3.439,3.445,3.434,3.434,5255.3
2026-05-01 02:30:00,1777602600000,3.434,3.439,3.426,3.438,3702.5
2026-05-01 02:45:00,1777603500000,3.438,3.442,3.436,3.442,5420.9
2026-05-01 03:00:00,1777604400000,3.442,3.455,3.435,3.449,4613.9
2026-05-01 03:15:00,1777605300000,3.449,3.49,3.449,3.472,20186.1
2026-05-01 03:30:00,1777606200000,3.472,3.48,3.472,3.475,6341.5
2026-05-01 03:45:00,1777607100000,3.475,3.476,3.462,3.466,7840.9
2026-05-01 04:00:00,1777608000000,3.466,3.483,3.464,3.479,3698.8
2026-05-01 04:15:00,1777608900000,3.479,3.486,3.461,3.464,7130.2
2026-05-01 04:30:00,1777609800000,3.464,3.473,3.462,3.473,5108.5
2026-05-01 04:45:00,1777610700000,3.473,3.478,3.459,3.46,5019.3
2026-05-01 05:00:00,1777611600000,3.46,3.474,3.455,3.472,6405.7
2026-05-01 05:15:00,1777612500000,3.472,3.473,3.457,3.457,3960.4
2026-05-01 05:30:00,1777613400000,3.457,3.46,3.451,3.46,3568.6
2026-05-01 05:45:00,1777614300000,3.46,3.46,3.454,3.455,1706.9
2026-05-01 06:00:00,1777615200000,3.455,3.455,3.447,3.452,27418.6
2026-05-01 06:15:00,1777616100000,3.452,3.461,3.45,3.452,21558.9
2026-05-01 06:30:00,1777617000000,3.452,3.452,3.44,3.446,2265.0
2026-05-01 06:45:00,1777617900000,3.446,3.448,3.431,3.437,13405.8
2026-05-01 07:00:00,1777618800000,3.437,3.442,3.425,3.431,8397.4
2026-05-01 07:15:00,1777619700000,3.431,3.45,3.43,3.45,71488.0
2026-05-01 07:30:00,1777620600000,3.45,3.509,3.445,3.485,224237.5
2026-05-01 07:45:00,1777621500000,3.485,3.548,3.481,3.528,263804.0
2026-05-01 08:00:00,1777622400000,3.528,3.552,3.521,3.55,61399.7
2026-05-01 08:15:00,1777623300000,3.55,3.574,3.548,3.56,76625.7
2026-05-01 08:30:00,1777624200000,3.56,3.561,3.529,3.542,175422.5
2026-05-01 08:45:00,1777625100000,3.542,3.575,3.539,3.573,43074.3
2026-05-01 09:00:00,1777626000000,3.573,3.584,3.555,3.567,50145.9
2026-05-01 09:15:00,1777626900000,3.567,3.579,3.552,3.556,40247.2
2026-05-01 09:30:00,1777627800000,3.556,3.575,3.555,3.565,20271.6
2026-05-01 09:45:00,1777628700000,3.565,3.567,3.552,3.56,16139.8
2026-05-01 10:00:00,1777629600000,3.56,3.574,3.549,3.571,30170.0
2026-05-01 10:15:00,1777630500000,3.571,3.591,3.569,3.584,58082.1
2026-05-01 10:30:00,1777631400000,3.584,3.595,3.569,3.579,37829.9
2026-05-01 10:45:00,1777632300000,3.579,3.585,3.567,3.584,10598.3
2026-05-01 11:00:00,1777633200000,3.584,3.605,3.584,3.599,26745.1
2026-05-01 11:15:00,1777634100000,3.599,3.608,3.583,3.585,32655.2
2026-05-01 11:30:00,1777635000000,3.585,3.585,3.558,3.56,37669.4
2026-05-01 11:45:00,1777635900000,3.56,3.567,3.551,3.563,16099.9
2026-05-01 12:00:00,1777636800000,3.563,3.578,3.563,3.573,39881.3
2026-05-01 12:15:00,1777637700000,3.573,3.596,3.572,3.587,34543.4
2026-05-01 12:30:00,1777638600000,3.587,3.614,3.578,3.6,73420.1
2026-05-01 12:45:00,1777639500000,3.6,3.624,3.596,3.615,23089.5
2026-05-01 13:00:00,1777640400000,3.615,3.646,3.613,3.643,49601.4
2026-05-01 13:15:00,1777641300000,3.643,3.661,3.642,3.66,40127.8
2026-05-01 13:30:00,1777642200000,3.66,3.697,3.651,3.658,112229.2
2026-05-01 13:45:00,1777643100000,3.658,3.676,3.644,3.675,49329.1
2026-05-01 14:00:00,1777644000000,3.675,3.692,3.648,3.649,71941.6
2026-05-01 14:15:00,1777644900000,3.649,3.663,3.636,3.641,45598.8
2026-05-01 14:30:00,1777645800000,3.641,3.641,3.61,3.612,51527.6
2026-05-01 14:45:00,1777646700000,3.612,3.629,3.607,3.62,17941.8
2026-05-01 15:00:00,1777647600000,3.62,3.632,3.607,3.612,23606.4
2026-05-01 15:15:00,1777648500000,3.612,3.624,3.611,3.624,10054.5
2026-05-01 15:30:00,1777649400000,3.624,3.635,3.615,3.624,27096.4
2026-05-01 15:45:00,1777650300000,3.624,3.635,3.6,3.634,47206.9
2026-05-01 16:00:00,1777651200000,3.634,3.646,3.615,3.617,35101.2
2026-05-01 16:15:00,1777652100000,3.617,3.619,3.588,3.592,55027.9
2026-05-01 16:30:00,1777653000000,3.592,3.595,3.58,3.59,39497.7
2026-05-01 16:45:00,1777653900000,3.59,3.6,3.586,3.59,14067.2
2026-05-01 17:00:00,1777654800000,3.59,3.594,3.581,3.592,26417.0
2026-05-01 17:15:00,1777655700000,3.592,3.598,3.582,3.586,22392.6
2026-05-01 17:30:00,1777656600000,3.586,3.592,3.582,3.586,8150.4
2026-05-01 17:45:00,1777657500000,3.586,3.601,3.586,3.595,13421.8
2026-05-01 18:00:00,1777658400000,3.595,3.604,3.586,3.591,24967.6
2026-05-01 18:15:00,1777659300000,3.591,3.6,3.584,3.593,14454.0
2026-05-01 18:30:00,1777660200000,3.593,3.601,3.586,3.601,11311.2
2026-05-01 18:45:00,1777661100000,3.601,3.612,3.597,3.606,41332.4
2026-05-01 19:00:00,1777662000000,3.606,3.643,3.603,3.641,75080.9
2026-05-01 19:15:00,1777662900000,3.641,3.645,3.622,3.64,47653.0
2026-05-01 19:30:00,1777663800000,3.64,3.644,3.628,3.631,19667.7
2026-05-01 19:45:00,1777664700000,3.631,3.642,3.631,3.638,18531.7
2026-05-01 20:00:00,1777665600000,3.638,3.662,3.63,3.657,59173.0
2026-05-01 20:15:00,1777666500000,3.657,3.664,3.639,3.651,36889.2
2026-05-01 20:30:00,1777667400000,3.651,3.66,3.643,3.653,20870.4
2026-05-01 20:45:00,1777668300000,3.653,3.656,3.627,3.64,40053.0
2026-05-01 21:00:00,1777669200000,3.64,3.643,3.624,3.636,24607.3
2026-05-01 21:15:00,1777670100000,3.636,3.65,3.629,3.649,9452.1
2026-05-01 21:30:00,1777671000000,3.649,3.67,3.647,3.666,21048.6
2026-05-01 21:45:00,1777671900000,3.666,3.682,3.665,3.672,11851.0
2026-05-01 22:00:00,1777672800000,3.672,3.697,3.671,3.693,15913.0
2026-05-01 22:15:00,1777673700000,3.693,3.7,3.685,3.693,25235.8
2026-05-01 22:30:00,1777674600000,3.693,3.693,3.669,3.671,9655.8
2026-05-01 22:45:00,1777675500000,3.671,3.671,3.638,3.647,14296.9
2026-05-01 23:00:00,1777676400000,3.647,3.649,3.638,3.647,15276.4
2026-05-01 23:15:00,1777677300000,3.647,3.65,3.631,3.631,15901.4
2026-05-01 23:30:00,1777678200000,3.631,3.644,3.625,3.636,16798.7
2026-05-01 23:45:00,1777679100000,3.636,3.646,3.633,3.643,5166.2
2026-05-02 00:00:00,1777680000000,3.643,3.661,3.636,3.645,25625.5
2026-05-02 00:15:00,1777680900000,3.645,3.655,3.637,3.64,14193.4
2026-05-02 00:30:00,1777681800000,3.64,3.65,3.634,3.644,20032.9
2026-05-02 00:45:00,1777682700000,3.644,3.658,3.643,3.646,5972.9
2026-05-02 01:00:00,1777683600000,3.646,3.661,3.644,3.66,14104.9
2026-05-02 01:15:00,1777684500000,3.66,3.66,3.647,3.657,12901.4
2026-05-02 01:30:00,1777685400000,3.657,3.672,3.656,3.672,10479.5
2026-05-02 01:45:00,1777686300000,3.672,3.69,3.666,3.685,14860.4
2026-05-02 02:00:00,1777687200000,3.685,3.694,3.673,3.677,24893.8
2026-05-02 02:15:00,1777688100000,3.677,3.686,3.674,3.684,17051.0
2026-05-02 02:30:00,1777689000000,3.684,3.706,3.678,3.701,20448.0
2026-05-02 02:45:00,1777689900000,3.701,3.724,3.701,3.707,47586.8
2026-05-02 03:00:00,1777690800000,3.707,3.712,3.682,3.69,35202.6
2026-05-02 03:15:00,1777691700000,3.69,3.706,3.688,3.705,12207.8
2026-05-02 03:30:00,1777692600000,3.705,3.724,3.698,3.705,29443.3
2026-05-02 03:45:00,1777693500000,3.705,3.721,3.699,3.718,11873.9
2026-05-02 04:00:00,1777694400000,3.718,3.724,3.702,3.719,25345.8
2026-05-02 04:15:00,1777695300000,3.719,3.74,3.715,3.737,47342.7
2026-05-02 04:30:00,1777696200000,3.737,3.758,3.725,3.754,90683.3
2026-05-02 04:45:00,1777697100000,3.754,3.765,3.734,3.739,37580.4
2026-05-02 05:00:00,1777698000000,3.739,3.772,3.738,3.753,43817.2
