Open_time,Open_time,Open,High,Low,Close,Volume
2026-04-30 16:00:00,1777564800000,9.135,9.146,9.117,9.143,1330.22
2026-04-30 16:15:00,1777565700000,9.143,9.144,9.116,9.126,316.074
2026-04-30 16:30:00,1777566600000,9.126,9.128,9.119,9.123,629.338
2026-04-30 16:45:00,1777567500000,9.123,9.127,9.097,9.108,632.063
2026-04-30 17:00:00,1777568400000,9.108,9.119,9.098,9.108,1799.093
2026-04-30 17:15:00,1777569300000,9.108,9.108,9.091,9.104,815.133
2026-04-30 17:30:00,1777570200000,9.104,9.122,9.101,9.101,683.358
2026-04-30 17:45:00,1777571100000,9.101,9.121,9.101,9.115,431.576
2026-04-30 18:00:00,1777572000000,9.115,9.132,9.109,9.114,1484.911
2026-04-30 18:15:00,1777572900000,9.114,9.136,9.114,9.12,4446.485
2026-04-30 18:30:00,1777573800000,9.12,9.142,9.118,9.14,728.535
2026-04-30 18:45:00,1777574700000,9.14,9.144,9.129,9.129,2231.221
2026-04-30 19:00:00,1777575600000,9.129,9.152,9.121,9.149,2129.263
2026-04-30 19:15:00,1777576500000,9.149,9.153,9.14,9.147,975.829
2026-04-30 19:30:00,1777577400000,9.147,9.152,9.143,9.147,1304.027
2026-04-30 19:45:00,1777578300000,9.147,9.147,9.133,9.135,1967.581
2026-04-30 20:00:00,1777579200000,9.135,9.141,9.128,9.141,2895.124
2026-04-30 20:15:00,1777580100000,9.141,9.148,9.134,9.136,1394.438
2026-04-30 20:30:00,1777581000000,9.136,9.141,9.132,9.14,626.057
2026-04-30 20:45:00,1777581900000,9.14,9.14,9.132,9.133,164.022
2026-04-30 21:00:00,1777582800000,9.133,9.136,9.122,9.13,3745.963
2026-04-30 21:15:00,1777583700000,9.13,9.13,9.107,9.108,520.723
2026-04-30 21:30:00,1777584600000,9.108,9.119,9.108,9.115,477.433
2026-04-30 21:45:00,1777585500000,9.115,9.115,9.099,9.102,1360.396
2026-04-30 22:00:00,1777586400000,9.102,9.106,9.092,9.095,1179.964
2026-04-30 22:15:00,1777587300000,9.095,9.117,9.095,9.114,167.554
2026-04-30 22:30:00,1777588200000,9.114,9.115,9.094,9.103,1198.453
2026-04-30 22:45:00,1777589100000,9.103,9.103,9.087,9.091,1725.249
2026-04-30 23:00:00,1777590000000,9.091,9.095,9.089,9.095,951.653
2026-04-30 23:15:00,1777590900000,9.095,9.103,9.095,9.103,134.221
2026-04-30 23:30:00,1777591800000,9.103,9.118,9.103,9.111,2251.949
2026-04-30 23:45:00,1777592700000,9.111,9.117,9.104,9.106,561.021
2026-05-01 00:00:00,1777593600000,9.106,9.13,9.106,9.123,1287.936
2026-05-01 00:15:00,1777594500000,9.123,9.133,9.115,9.116,310.268
2026-05-01 00:30:00,1777595400000,9.116,9.121,9.112,9.114,326.941
2026-05-01 00:45:00,1777596300000,9.114,9.127,9.105,9.105,293.265
2026-05-01 01:00:00,1777597200000,9.105,9.135,9.105,9.129,329.925
2026-05-01 01:15:00,1777598100000,9.129,9.13,9.118,9.118,107.046
2026-05-01 01:30:00,1777599000000,9.118,9.13,9.114,9.126,180.131
2026-05-01 01:45:00,1777599900000,9.126,9.143,9.126,9.136,1013.895
2026-05-01 02:00:00,1777600800000,9.136,9.143,9.124,9.136,1440.397
2026-05-01 02:15:00,1777601700000,9.136,9.136,9.116,9.12,278.092
2026-05-01 02:30:00,1777602600000,9.12,9.125,9.108,9.121,404.055
2026-05-01 02:45:00,1777603500000,9.121,9.131,9.112,9.116,467.53
2026-05-01 03:00:00,1777604400000,9.116,9.134,9.113,9.133,380.463
2026-05-01 03:15:00,1777605300000,9.133,9.21,9.133,9.175,6104.467
2026-05-01 03:30:00,1777606200000,9.175,9.186,9.168,9.178,1826.268
2026-05-01 03:45:00,1777607100000,9.178,9.178,9.161,9.168,332.202
2026-05-01 04:00:00,1777608000000,9.168,9.182,9.166,9.177,1164.522
2026-05-01 04:15:00,1777608900000,9.177,9.183,9.149,9.155,2275.213
2026-05-01 04:30:00,1777609800000,9.155,9.168,9.151,9.168,381.697
2026-05-01 04:45:00,1777610700000,9.168,9.17,9.157,9.157,435.127
2026-05-01 05:00:00,1777611600000,9.157,9.181,9.149,9.175,2458.819
2026-05-01 05:15:00,1777612500000,9.175,9.177,9.158,9.158,1342.53
2026-05-01 05:30:00,1777613400000,9.158,9.167,9.157,9.165,750.845
2026-05-01 05:45:00,1777614300000,9.165,9.174,9.158,9.164,940.913
2026-05-01 06:00:00,1777615200000,9.164,9.172,9.16,9.168,1336.759
2026-05-01 06:15:00,1777616100000,9.168,9.177,9.166,9.172,1687.483
2026-05-01 06:30:00,1777617000000,9.172,9.174,9.149,9.162,1858.675
2026-05-01 06:45:00,1777617900000,9.162,9.162,9.133,9.148,1632.454
2026-05-01 07:00:00,1777618800000,9.148,9.153,9.135,9.151,1780.261
2026-05-01 07:15:00,1777619700000,9.151,9.151,9.132,9.134,1952.391
2026-05-01 07:30:00,1777620600000,9.134,9.145,9.131,9.138,2787.925
