Open_time,Open_time,Open,High,Low,Close,Volume
2026-01-14 00:00:00,1768348800000,14.052,14.117,14.052,14.078,62151.6
2026-01-14 00:15:00,1768349700000,14.078,14.099,14.057,14.069,45631.8
2026-01-14 00:30:00,1768350600000,14.069,14.079,14.017,14.067,56073.0
2026-01-14 00:45:00,1768351500000,14.067,14.112,14.05,14.084,50253.5
2026-01-14 01:00:00,1768352400000,14.084,14.162,14.074,14.152,76875.3
2026-01-14 01:15:00,1768353300000,14.152,14.167,14.125,14.131,27287.7
2026-01-14 01:30:00,1768354200000,14.131,14.16,14.096,14.114,32385.0
2026-01-14 01:45:00,1768355100000,14.114,14.144,14.099,14.132,21986.4
2026-01-14 02:00:00,1768356000000,14.132,14.186,14.104,14.168,55797.5
2026-01-14 02:15:00,1768356900000,14.168,14.188,14.105,14.121,46506.9
2026-01-14 02:30:00,1768357800000,14.121,14.122,14.087,14.094,28369.1
2026-01-14 02:45:00,1768358700000,14.094,14.094,14.036,14.047,39030.4
2026-01-14 03:00:00,1768359600000,14.047,14.077,14.027,14.05,46019.1
2026-01-14 03:15:00,1768360500000,14.05,14.068,14.027,14.038,23576.2
2026-01-14 03:30:00,1768361400000,14.038,14.092,14.035,14.082,18671.7
2026-01-14 03:45:00,1768362300000,14.082,14.129,14.069,14.125,25926.3
2026-01-14 04:00:00,1768363200000,14.125,14.158,14.066,14.073,83373.5
2026-01-14 04:15:00,1768364100000,14.073,14.116,14.068,14.094,36753.6
2026-01-14 04:30:00,1768365000000,14.094,14.094,14.044,14.049,61360.4
2026-01-14 04:45:00,1768365900000,14.049,14.063,14.033,14.037,19759.4
2026-01-14 05:00:00,1768366800000,14.037,14.044,14.016,14.044,26720.7
2026-01-14 05:15:00,1768367700000,14.044,14.065,13.989,14.01,37942.7
2026-01-14 05:30:00,1768368600000,14.01,14.039,13.991,14.006,27634.2
2026-01-14 05:45:00,1768369500000,14.006,14.057,14.004,14.029,98714.5
2026-01-14 06:00:00,1768370400000,14.029,14.035,13.976,14.023,34366.1
2026-01-14 06:15:00,1768371300000,14.023,14.03,13.962,13.965,28699.6
2026-01-14 06:30:00,1768372200000,13.965,14.012,13.935,14.012,39610.9
2026-01-14 06:45:00,1768373100000,14.012,14.07,14.012,14.069,25957.4
2026-01-14 07:00:00,1768374000000,14.069,14.113,14.063,14.078,44441.7
2026-01-14 07:15:00,1768374900000,14.078,14.09,14.04,14.045,16232.2
2026-01-14 07:30:00,1768375800000,14.045,14.058,14.027,14.043,46960.6
2026-01-14 07:45:00,1768376700000,14.043,14.069,14.039,14.052,33397.9
2026-01-14 08:00:00,1768377600000,14.052,14.099,14.045,14.094,29766.0
2026-01-14 08:15:00,1768378500000,14.094,14.11,14.083,14.102,10162.2
2026-01-14 08:30:00,1768379400000,14.102,14.114,14.061,14.069,17953.1
2026-01-14 08:45:00,1768380300000,14.069,14.075,14.052,14.054,17377.9
2026-01-14 09:00:00,1768381200000,14.054,14.099,14.052,14.092,15279.1
2026-01-14 09:15:00,1768382100000,14.092,14.106,14.083,14.083,38010.2
2026-01-14 09:30:00,1768383000000,14.083,14.119,14.083,14.098,18307.7
2026-01-14 09:45:00,1768383900000,14.098,14.113,14.081,14.098,15962.7
2026-01-14 10:00:00,1768384800000,14.098,14.102,14.079,14.1,25438.4
2026-01-14 10:15:00,1768385700000,14.1,14.102,13.991,14.028,68010.3
2026-01-14 10:30:00,1768386600000,14.028,14.052,13.992,14.025,38302.8
2026-01-14 10:45:00,1768387500000,14.025,14.043,14.01,14.01,22789.0
2026-01-14 11:00:00,1768388400000,14.01,14.019,13.942,13.953,60146.6
2026-01-14 11:15:00,1768389300000,13.953,13.962,13.912,13.955,63353.0
2026-01-14 11:30:00,1768390200000,13.955,13.982,13.903,13.921,107611.5
2026-01-14 11:45:00,1768391100000,13.921,13.927,13.839,13.869,90551.2
2026-01-14 12:00:00,1768392000000,13.869,13.939,13.856,13.938,41234.9
2026-01-14 12:15:00,1768392900000,13.938,13.942,13.919,13.931,23533.5
2026-01-14 12:30:00,1768393800000,13.931,13.937,13.904,13.915,22806.5
2026-01-14 12:45:00,1768394700000,13.915,13.933,13.911,13.927,17296.8
2026-01-14 13:00:00,1768395600000,13.927,13.927,13.89,13.906,13122.0
2026-01-14 13:15:00,1768396500000,13.906,13.956,13.904,13.941,29707.2
2026-01-14 13:30:00,1768397400000,13.941,13.944,13.905,13.911,20672.2
2026-01-14 13:45:00,1768398300000,13.911,13.911,13.862,13.892,18160.4
2026-01-14 14:00:00,1768399200000,13.892,14.014,13.89,13.985,46100.7
2026-01-14 14:15:00,1768400100000,13.985,14.049,13.978,14.03,61113.4
2026-01-14 14:30:00,1768401000000,14.03,14.093,13.999,14.062,80078.5
2026-01-14 14:45:00,1768401900000,14.062,14.204,14.052,14.144,174147.3
2026-01-14 15:00:00,1768402800000,14.144,14.268,14.062,14.255,256118.3
