Open_time,Open_time,Open,High,Low,Close,Volume
2026-04-30 16:00:00,1777564800000,0.9004,0.9025,0.8971,0.8994,22615.15
2026-04-30 16:15:00,1777565700000,0.8994,0.9007,0.8966,0.8968,14807.19
2026-04-30 16:30:00,1777566600000,0.8968,0.899,0.8963,0.8963,4524.94
2026-04-30 16:45:00,1777567500000,0.8963,0.8983,0.8948,0.8983,15624.58
2026-04-30 17:00:00,1777568400000,0.8983,0.8988,0.8949,0.8961,9902.2
2026-04-30 17:15:00,1777569300000,0.8961,0.8989,0.8942,0.8985,20553.28
2026-04-30 17:30:00,1777570200000,0.8985,0.8994,0.8951,0.896,13463.87
2026-04-30 17:45:00,1777571100000,0.896,0.8975,0.8946,0.8946,8141.86
2026-04-30 18:00:00,1777572000000,0.8946,0.8961,0.8919,0.8926,6319.0
2026-04-30 18:15:00,1777572900000,0.8926,0.899,0.88,0.8877,70543.46
2026-04-30 18:30:00,1777573800000,0.8877,0.8877,0.8699,0.8797,142515.33
2026-04-30 18:45:00,1777574700000,0.8797,0.8819,0.878,0.8819,11275.42
2026-04-30 19:00:00,1777575600000,0.8819,0.8893,0.8819,0.8883,22173.9
2026-04-30 19:15:00,1777576500000,0.8883,0.8883,0.8867,0.8867,6165.98
2026-04-30 19:30:00,1777577400000,0.8867,0.8883,0.8867,0.8876,5445.95
2026-04-30 19:45:00,1777578300000,0.8876,0.8892,0.8865,0.8891,6364.4
2026-04-30 20:00:00,1777579200000,0.8891,0.8919,0.8876,0.8916,2118.21
2026-04-30 20:15:00,1777580100000,0.8916,0.8925,0.8887,0.891,2815.75
2026-04-30 20:30:00,1777581000000,0.891,0.8947,0.8896,0.8922,14829.57
2026-04-30 20:45:00,1777581900000,0.8922,0.8929,0.8913,0.892,5214.55
2026-04-30 21:00:00,1777582800000,0.892,0.8939,0.8912,0.8935,5906.48
2026-04-30 21:15:00,1777583700000,0.8935,0.8935,0.8893,0.8893,4434.44
2026-04-30 21:30:00,1777584600000,0.8893,0.8918,0.8875,0.8894,5128.21
