Open_time,Open_time,Open,High,Low,Close,Volume
2026-04-30 16:00:00,1777564800000,55.58,55.59,55.49,55.57,1948.0
2026-04-30 16:15:00,1777565700000,55.57,55.59,55.39,55.46,1884.0
2026-04-30 16:30:00,1777566600000,55.46,55.57,55.43,55.51,1488.3
2026-04-30 16:45:00,1777567500000,55.51,55.65,55.51,55.55,2193.6
2026-04-30 17:00:00,1777568400000,55.55,55.55,55.41,55.45,989.8
2026-04-30 17:15:00,1777569300000,55.45,55.45,55.36,55.43,1775.4
2026-04-30 17:30:00,1777570200000,55.43,55.49,55.41,55.44,1269.5
2026-04-30 17:45:00,1777571100000,55.44,55.49,55.44,55.46,624.6
2026-04-30 18:00:00,1777572000000,55.46,55.56,55.45,55.47,1004.1
2026-04-30 18:15:00,1777572900000,55.47,55.59,55.46,55.48,2279.1
2026-04-30 18:30:00,1777573800000,55.48,55.56,55.44,55.52,1052.3
2026-04-30 18:45:00,1777574700000,55.52,55.55,55.46,55.46,946.6
2026-04-30 19:00:00,1777575600000,55.46,55.58,55.42,55.54,1588.0
2026-04-30 19:15:00,1777576500000,55.54,55.55,55.47,55.47,1343.4
2026-04-30 19:30:00,1777577400000,55.47,55.48,55.41,55.43,1480.1
2026-04-30 19:45:00,1777578300000,55.43,55.43,55.26,55.26,3296.3
2026-04-30 20:00:00,1777579200000,55.26,55.29,55.16,55.29,8215.4
2026-04-30 20:15:00,1777580100000,55.29,55.32,55.25,55.26,1266.5
2026-04-30 20:30:00,1777581000000,55.26,55.35,55.24,55.33,3723.4
2026-04-30 20:45:00,1777581900000,55.33,55.34,55.24,55.25,1544.4
2026-04-30 21:00:00,1777582800000,55.25,55.29,55.16,55.26,4724.6
2026-04-30 21:15:00,1777583700000,55.26,55.27,55.18,55.18,2029.9
2026-04-30 21:30:00,1777584600000,55.18,55.22,55.15,55.16,1182.5
2026-04-30 21:45:00,1777585500000,55.16,55.17,55.02,55.05,3552.5
2026-04-30 22:00:00,1777586400000,55.05,55.13,55.05,55.11,1368.4
2026-04-30 22:15:00,1777587300000,55.11,55.18,55.11,55.17,782.0
2026-04-30 22:30:00,1777588200000,55.17,55.19,55.14,55.17,666.6
2026-04-30 22:45:00,1777589100000,55.17,55.17,55.03,55.05,2280.9
2026-04-30 23:00:00,1777590000000,55.05,55.07,55.02,55.07,830.9
2026-04-30 23:15:00,1777590900000,55.07,55.1,55.06,55.09,1426.0
2026-04-30 23:30:00,1777591800000,55.09,55.17,55.09,55.13,620.3
2026-04-30 23:45:00,1777592700000,55.13,55.2,55.09,55.14,957.3
2026-05-01 00:00:00,1777593600000,55.14,55.22,55.12,55.18,2581.9
2026-05-01 00:15:00,1777594500000,55.18,55.25,55.18,55.18,1992.7
2026-05-01 00:30:00,1777595400000,55.18,55.21,55.16,55.21,2680.6
2026-05-01 00:45:00,1777596300000,55.21,55.25,55.13,55.17,1493.4
2026-05-01 01:00:00,1777597200000,55.17,55.32,55.17,55.27,1223.7
2026-05-01 01:15:00,1777598100000,55.27,55.3,55.23,55.24,1397.1
2026-05-01 01:30:00,1777599000000,55.24,55.26,55.17,55.22,1652.7
2026-05-01 01:45:00,1777599900000,55.22,55.3,55.21,55.28,1822.8
2026-05-01 02:00:00,1777600800000,55.28,55.29,55.23,55.23,787.7
2026-05-01 02:15:00,1777601700000,55.23,55.24,55.16,55.18,1366.0
2026-05-01 02:30:00,1777602600000,55.18,55.22,55.17,55.21,984.6
2026-05-01 02:45:00,1777603500000,55.21,55.27,55.21,55.27,634.2
2026-05-01 03:00:00,1777604400000,55.27,55.27,55.12,55.22,3521.1
2026-05-01 03:15:00,1777605300000,55.22,55.63,55.22,55.52,6060.2
2026-05-01 03:30:00,1777606200000,55.52,55.58,55.41,55.48,2382.0
2026-05-01 03:45:00,1777607100000,55.48,55.49,55.38,55.38,658.3
2026-05-01 04:00:00,1777608000000,55.38,55.46,55.36,55.44,733.8
2026-05-01 04:15:00,1777608900000,55.44,55.47,55.26,55.29,1090.2
2026-05-01 04:30:00,1777609800000,55.29,55.36,55.27,55.35,996.7
2026-05-01 04:45:00,1777610700000,55.35,55.4,55.17,55.21,4307.7
2026-05-01 05:00:00,1777611600000,55.21,55.41,55.18,55.4,2411.4
2026-05-01 05:15:00,1777612500000,55.4,55.41,55.29,55.29,2024.9
2026-05-01 05:30:00,1777613400000,55.29,55.33,55.26,55.3,562.9
2026-05-01 05:45:00,1777614300000,55.3,55.33,55.27,55.27,731.1
2026-05-01 06:00:00,1777615200000,55.27,55.36,55.24,55.36,1551.9
2026-05-01 06:15:00,1777616100000,55.36,55.42,55.36,55.38,864.2
2026-05-01 06:30:00,1777617000000,55.38,55.4,55.19,55.29,5544.7
2026-05-01 06:45:00,1777617900000,55.29,55.29,55.13,55.21,6208.9
2026-05-01 07:00:00,1777618800000,55.21,55.25,55.17,55.19,2929.9
2026-05-01 07:15:00,1777619700000,55.19,55.25,55.15,55.16,1174.7
2026-05-01 07:30:00,1777620600000,55.16,55.24,55.15,55.2,988.5
2026-05-01 07:45:00,1777621500000,55.2,55.34,55.2,55.27,5506.9
2026-05-01 08:00:00,1777622400000,55.27,55.27,55.19,55.24,1340.9
2026-05-01 08:15:00,1777623300000,55.24,55.34,55.22,55.27,2105.1
2026-05-01 08:30:00,1777624200000,55.27,55.3,55.19,55.2,989.5
2026-05-01 08:45:00,1777625100000,55.2,55.27,55.18,55.25,890.2
2026-05-01 09:00:00,1777626000000,55.25,55.25,55.16,55.18,526.0
2026-05-01 09:15:00,1777626900000,55.18,55.19,55.02,55.05,4931.1
2026-05-01 09:30:00,1777627800000,55.05,55.07,55.0,55.05,5884.3
2026-05-01 09:45:00,1777628700000,55.05,55.05,54.93,55.01,1248.9
2026-05-01 10:00:00,1777629600000,55.01,55.05,54.84,54.95,5080.7
2026-05-01 10:15:00,1777630500000,54.95,55.14,54.95,55.09,1931.0
2026-05-01 10:30:00,1777631400000,55.09,55.14,55.05,55.09,668.2
2026-05-01 10:45:00,1777632300000,55.09,55.16,55.09,55.15,1010.0
2026-05-01 11:00:00,1777633200000,55.15,55.18,55.11,55.13,1810.3
2026-05-01 11:15:00,1777634100000,55.13,55.21,55.08,55.08,1204.3
2026-05-01 11:30:00,1777635000000,55.08,55.1,55.05,55.1,891.0
2026-05-01 11:45:00,1777635900000,55.1,55.16,55.08,55.12,1337.2
2026-05-01 12:00:00,1777636800000,55.12,55.23,55.08,55.18,2796.7
2026-05-01 12:15:00,1777637700000,55.18,55.37,55.16,55.33,3517.2
2026-05-01 12:30:00,1777638600000,55.33,55.45,55.27,55.28,3853.6
2026-05-01 12:45:00,1777639500000,55.28,55.32,55.24,55.24,1625.3
2026-05-01 13:00:00,1777640400000,55.24,55.45,55.24,55.41,3205.2
2026-05-01 13:15:00,1777641300000,55.41,55.47,55.29,55.33,1465.5
2026-05-01 13:30:00,1777642200000,55.33,55.43,55.27,55.34,2203.2
2026-05-01 13:45:00,1777643100000,55.34,55.56,55.29,55.51,5429.3
2026-05-01 14:00:00,1777644000000,55.51,55.63,55.48,55.54,6392.9
2026-05-01 14:15:00,1777644900000,55.54,55.62,55.44,55.49,3261.3
2026-05-01 14:30:00,1777645800000,55.49,55.5,55.34,55.47,7531.8
2026-05-01 14:45:00,1777646700000,55.47,55.68,55.44,55.6,5788.9
2026-05-01 15:00:00,1777647600000,55.6,55.63,55.46,55.63,2515.3
2026-05-01 15:15:00,1777648500000,55.63,55.68,55.57,55.63,3775.6
2026-05-01 15:30:00,1777649400000,55.63,55.79,55.61,55.74,3369.3
2026-05-01 15:45:00,1777650300000,55.74,55.75,55.47,55.63,10835.9
2026-05-01 16:00:00,1777651200000,55.63,55.72,55.52,55.53,4763.4
2026-05-01 16:15:00,1777652100000,55.53,55.58,55.4,55.5,7981.6
2026-05-01 16:30:00,1777653000000,55.5,55.59,55.48,55.58,768.6
2026-05-01 16:45:00,1777653900000,55.58,55.74,55.53,55.64,4236.0
2026-05-01 17:00:00,1777654800000,55.64,55.71,55.57,55.71,1354.0
2026-05-01 17:15:00,1777655700000,55.71,55.74,55.62,55.65,1958.5
2026-05-01 17:30:00,1777656600000,55.65,55.75,55.62,55.68,999.6
2026-05-01 17:45:00,1777657500000,55.68,55.81,55.67,55.76,1891.8
2026-05-01 18:00:00,1777658400000,55.76,55.84,55.73,55.8,4130.0
2026-05-01 18:15:00,1777659300000,55.8,55.85,55.73,55.85,6095.9
2026-05-01 18:30:00,1777660200000,55.85,55.95,55.81,55.89,12203.4
2026-05-01 18:45:00,1777661100000,55.89,55.95,55.83,55.86,3227.5
2026-05-01 19:00:00,1777662000000,55.86,55.95,55.86,55.94,943.5
2026-05-01 19:15:00,1777662900000,55.94,55.99,55.83,55.99,2954.6
2026-05-01 19:30:00,1777663800000,55.99,55.99,55.6,55.63,21083.7
2026-05-01 19:45:00,1777664700000,55.63,55.73,55.63,55.72,2656.1
2026-05-01 20:00:00,1777665600000,55.72,55.77,55.68,55.75,772.1
2026-05-01 20:15:00,1777666500000,55.75,55.76,55.66,55.75,1844.5
2026-05-01 20:30:00,1777667400000,55.75,55.75,55.59,55.62,2079.7
2026-05-01 20:45:00,1777668300000,55.62,55.65,55.47,55.56,4890.9
2026-05-01 21:00:00,1777669200000,55.56,55.68,55.52,55.6,8953.7
2026-05-01 21:15:00,1777670100000,55.6,55.61,55.46,55.52,3540.8
2026-05-01 21:30:00,1777671000000,55.52,55.61,55.51,55.53,2581.2
2026-05-01 21:45:00,1777671900000,55.53,55.55,55.45,55.53,1857.4
2026-05-01 22:00:00,1777672800000,55.53,55.62,55.53,55.58,2129.4
2026-05-01 22:15:00,1777673700000,55.58,55.63,55.57,55.59,269.9
2026-05-01 22:30:00,1777674600000,55.59,55.6,55.48,55.5,2678.7
2026-05-01 22:45:00,1777675500000,55.5,55.51,55.4,55.43,6979.0
2026-05-01 23:00:00,1777676400000,55.43,55.43,55.32,55.35,2101.3
2026-05-01 23:15:00,1777677300000,55.35,55.37,55.26,55.27,2815.3
2026-05-01 23:30:00,1777678200000,55.27,55.37,55.26,55.35,1511.7
2026-05-01 23:45:00,1777679100000,55.35,55.39,55.34,55.37,970.0
2026-05-02 00:00:00,1777680000000,55.37,55.43,55.34,55.34,2318.7
2026-05-02 00:15:00,1777680900000,55.34,55.43,55.33,55.39,1118.6
2026-05-02 00:30:00,1777681800000,55.39,55.47,55.39,55.47,2656.2
2026-05-02 00:45:00,1777682700000,55.47,55.52,55.45,55.5,684.8
2026-05-02 01:00:00,1777683600000,55.5,55.52,55.44,55.51,251.5
2026-05-02 01:15:00,1777684500000,55.51,55.52,55.47,55.52,368.1
2026-05-02 01:30:00,1777685400000,55.52,55.59,55.48,55.54,1199.8
2026-05-02 01:45:00,1777686300000,55.54,55.54,55.49,55.53,317.7
2026-05-02 02:00:00,1777687200000,55.53,55.55,55.46,55.49,2290.4
2026-05-02 02:15:00,1777688100000,55.49,55.54,55.49,55.52,365.6
2026-05-02 02:30:00,1777689000000,55.52,55.62,55.51,55.54,648.0
2026-05-02 02:45:00,1777689900000,55.54,55.65,55.53,55.53,2320.3
2026-05-02 03:00:00,1777690800000,55.53,55.56,55.48,55.49,2236.7
2026-05-02 03:15:00,1777691700000,55.49,55.62,55.49,55.61,1113.9
2026-05-02 03:30:00,1777692600000,55.61,55.67,55.57,55.61,1355.5
2026-05-02 03:45:00,1777693500000,55.61,55.65,55.57,55.6,968.9
2026-05-02 04:00:00,1777694400000,55.6,55.6,55.46,55.52,3211.6
2026-05-02 04:15:00,1777695300000,55.52,55.54,55.5,55.51,631.2
2026-05-02 04:30:00,1777696200000,55.51,55.53,55.45,55.47,668.6
2026-05-02 04:45:00,1777697100000,55.47,55.47,55.27,55.32,5458.9
