Open_time,Open_time,Open,High,Low,Close,Volume
2026-06-04 11:15:00,1780571700000,2.368,2.379,2.35,2.359,140078.87
2026-06-04 11:30:00,1780572600000,2.359,2.387,2.346,2.359,288271.92
2026-06-04 11:45:00,1780573500000,2.359,2.449,2.359,2.448,252772.41
2026-06-04 12:00:00,1780574400000,2.448,2.462,2.396,2.399,238561.77
2026-06-04 12:15:00,1780575300000,2.399,2.491,2.391,2.456,162731.7
2026-06-04 12:30:00,1780576200000,2.456,2.481,2.427,2.431,136746.59
2026-06-04 12:45:00,1780577100000,2.431,2.442,2.405,2.428,86889.64
2026-06-04 13:00:00,1780578000000,2.428,2.428,2.376,2.377,74233.01
2026-06-04 13:15:00,1780578900000,2.377,2.383,2.344,2.375,153709.31
2026-06-04 13:30:00,1780579800000,2.375,2.414,2.369,2.377,165897.89
2026-06-04 13:45:00,1780580700000,2.377,2.378,2.347,2.371,64522.45
2026-06-04 14:00:00,1780581600000,2.371,2.403,2.371,2.403,56987.82
2026-06-04 14:15:00,1780582500000,2.403,2.405,2.364,2.388,87536.62
2026-06-04 14:30:00,1780583400000,2.388,2.399,2.36,2.361,66148.66
2026-06-04 14:45:00,1780584300000,2.361,2.373,2.351,2.37,86128.61
2026-06-04 15:00:00,1780585200000,2.37,2.445,2.358,2.431,111742.57
2026-06-04 15:15:00,1780586100000,2.431,2.436,2.39,2.404,82894.37
2026-06-04 15:30:00,1780587000000,2.404,2.409,2.379,2.382,42719.64
2026-06-04 15:45:00,1780587900000,2.382,2.405,2.361,2.393,64965.15
2026-06-04 16:00:00,1780588800000,2.393,2.434,2.384,2.43,120288.32
2026-06-04 16:15:00,1780589700000,2.43,2.449,2.411,2.424,72621.87
2026-06-04 16:30:00,1780590600000,2.424,2.483,2.41,2.481,106472.82
2026-06-04 16:45:00,1780591500000,2.481,2.486,2.43,2.432,56638.64
2026-06-04 17:00:00,1780592400000,2.432,2.464,2.422,2.451,37480.82
2026-06-04 17:15:00,1780593300000,2.451,2.451,2.414,2.429,52586.26
2026-06-04 17:30:00,1780594200000,2.429,2.439,2.392,2.4,42607.01
2026-06-04 17:45:00,1780595100000,2.4,2.411,2.377,2.393,79231.66
2026-06-04 18:00:00,1780596000000,2.393,2.407,2.361,2.366,94074.72
2026-06-04 18:15:00,1780596900000,2.366,2.401,2.366,2.401,44251.56
2026-06-04 18:30:00,1780597800000,2.401,2.411,2.381,2.393,30931.92
2026-06-04 18:45:00,1780598700000,2.393,2.402,2.376,2.382,30456.74
2026-06-04 19:00:00,1780599600000,2.382,2.389,2.339,2.354,56035.69
2026-06-04 19:15:00,1780600500000,2.354,2.378,2.351,2.367,45481.15
2026-06-04 19:30:00,1780601400000,2.367,2.369,2.336,2.342,49532.51
2026-06-04 19:45:00,1780602300000,2.342,2.353,2.328,2.348,25692.38
2026-06-04 20:00:00,1780603200000,2.348,2.35,2.311,2.331,59539.89
2026-06-04 20:15:00,1780604100000,2.331,2.349,2.322,2.328,20976.89
2026-06-04 20:30:00,1780605000000,2.328,2.335,2.313,2.318,31765.29
2026-06-04 20:45:00,1780605900000,2.318,2.324,2.293,2.301,42969.72
2026-06-04 21:00:00,1780606800000,2.301,2.313,2.266,2.284,90577.6
2026-06-04 21:15:00,1780607700000,2.284,2.287,2.258,2.263,82115.83
2026-06-04 21:30:00,1780608600000,2.263,2.271,2.21,2.264,284849.4
2026-06-04 21:45:00,1780609500000,2.264,2.267,2.239,2.239,206818.28
2026-06-04 22:00:00,1780610400000,2.239,2.273,2.225,2.233,262700.0
2026-06-04 22:15:00,1780611300000,2.233,2.249,2.229,2.241,193265.35
2026-06-04 22:30:00,1780612200000,2.241,2.244,2.184,2.206,405030.12
2026-06-04 22:45:00,1780613100000,2.206,2.231,2.19,2.222,316818.95
2026-06-04 23:00:00,1780614000000,2.222,2.244,2.217,2.224,151839.77
2026-06-04 23:15:00,1780614900000,2.224,2.227,2.176,2.201,157941.39
2026-06-04 23:30:00,1780615800000,2.201,2.209,2.192,2.2,73084.87
2026-06-04 23:45:00,1780616700000,2.2,2.228,2.193,2.202,100256.4
2026-06-05 00:00:00,1780617600000,2.202,2.233,2.198,2.22,146555.96
2026-06-05 00:15:00,1780618500000,2.22,2.273,2.213,2.272,168415.83
2026-06-05 00:30:00,1780619400000,2.272,2.284,2.247,2.247,98111.44
2026-06-05 00:45:00,1780620300000,2.247,2.272,2.24,2.24,79892.03
2026-06-05 01:00:00,1780621200000,2.24,2.254,2.218,2.248,93725.94
2026-06-05 01:15:00,1780622100000,2.248,2.288,2.245,2.277,161923.01
2026-06-05 01:30:00,1780623000000,2.277,2.304,2.259,2.27,103368.2
2026-06-05 01:45:00,1780623900000,2.27,2.272,2.249,2.251,50456.69
2026-06-05 02:00:00,1780624800000,2.251,2.251,2.204,2.205,82461.69
2026-06-05 02:15:00,1780625700000,2.205,2.216,2.191,2.191,87576.77
2026-06-05 02:30:00,1780626600000,2.191,2.219,2.135,2.149,1153101.2
2026-06-05 02:45:00,1780627500000,2.149,2.162,2.118,2.125,358447.14
2026-06-05 03:00:00,1780628400000,2.125,2.13,2.09,2.102,167645.9
2026-06-05 03:15:00,1780629300000,2.102,2.164,2.102,2.159,188780.99
2026-06-05 03:30:00,1780630200000,2.159,2.163,2.123,2.133,90466.86
2026-06-05 03:45:00,1780631100000,2.133,2.148,2.125,2.128,84656.7
2026-06-05 04:00:00,1780632000000,2.128,2.179,2.113,2.155,122921.48
2026-06-05 04:15:00,1780632900000,2.155,2.205,2.146,2.193,109486.23
2026-06-05 04:30:00,1780633800000,2.193,2.193,2.168,2.172,89863.01
2026-06-05 04:45:00,1780634700000,2.172,2.205,2.148,2.199,108964.56
2026-06-05 05:00:00,1780635600000,2.199,2.206,2.175,2.179,58131.76
2026-06-05 05:15:00,1780636500000,2.179,2.204,2.17,2.194,59549.42
2026-06-05 05:30:00,1780637400000,2.194,2.236,2.193,2.202,178697.37
2026-06-05 05:45:00,1780638300000,2.202,2.216,2.16,2.179,258333.1
2026-06-05 06:00:00,1780639200000,2.179,2.193,2.144,2.156,128999.43
2026-06-05 06:15:00,1780640100000,2.156,2.166,2.062,2.119,520965.68
2026-06-05 06:30:00,1780641000000,2.119,2.131,2.089,2.121,157329.13
2026-06-05 06:45:00,1780641900000,2.121,2.13,2.072,2.086,164625.23
2026-06-05 07:00:00,1780642800000,2.086,2.09,1.992,1.993,432312.2
2026-06-05 07:15:00,1780643700000,1.993,2.059,1.989,2.052,278622.59
2026-06-05 07:30:00,1780644600000,2.052,2.085,2.039,2.078,202413.3
2026-06-05 07:45:00,1780645500000,2.078,2.103,2.073,2.102,113836.14
2026-06-05 08:00:00,1780646400000,2.102,2.117,2.016,2.018,153808.63
2026-06-05 08:15:00,1780647300000,2.018,2.082,2.016,2.069,133325.92
2026-06-05 08:30:00,1780648200000,2.069,2.077,2.031,2.033,92835.15
2026-06-05 08:45:00,1780649100000,2.033,2.08,2.032,2.08,55391.11
2026-06-05 09:00:00,1780650000000,2.08,2.098,2.064,2.094,91705.06
2026-06-05 09:15:00,1780650900000,2.094,2.105,2.051,2.081,56894.47
2026-06-05 09:30:00,1780651800000,2.081,2.081,2.043,2.051,79863.38
2026-06-05 09:45:00,1780652700000,2.051,2.087,2.039,2.085,65195.25
2026-06-05 10:00:00,1780653600000,2.085,2.09,2.06,2.073,97561.22
2026-06-05 10:15:00,1780654500000,2.073,2.073,2.031,2.032,68309.72
2026-06-05 10:30:00,1780655400000,2.032,2.045,2.02,2.042,79183.9
2026-06-05 10:45:00,1780656300000,2.042,2.05,2.025,2.038,43210.13
2026-06-05 11:00:00,1780657200000,2.038,2.044,2.017,2.033,45521.3
2026-06-05 11:15:00,1780658100000,2.033,2.065,2.025,2.035,59233.51
2026-06-05 11:30:00,1780659000000,2.035,2.043,1.998,1.999,89619.17
2026-06-05 11:45:00,1780659900000,1.999,2.029,1.999,2.019,110357.8
2026-06-05 12:00:00,1780660800000,2.019,2.04,2.002,2.024,93877.65
2026-06-05 12:15:00,1780661700000,2.024,2.055,2.016,2.02,75420.53
2026-06-05 12:30:00,1780662600000,2.02,2.031,2.0,2.02,91952.79
2026-06-05 12:45:00,1780663500000,2.02,2.042,2.012,2.04,61638.69
2026-06-05 13:00:00,1780664400000,2.04,2.078,2.037,2.074,85841.82
2026-06-05 13:15:00,1780665300000,2.074,2.083,2.05,2.058,92681.82
2026-06-05 13:30:00,1780666200000,2.058,2.069,2.045,2.051,57863.77
2026-06-05 13:45:00,1780667100000,2.051,2.058,2.001,2.002,108407.62
2026-06-05 14:00:00,1780668000000,2.002,2.064,1.994,2.046,168526.27
2026-06-05 14:15:00,1780668900000,2.046,2.065,2.024,2.034,67667.49
2026-06-05 14:30:00,1780669800000,2.034,2.042,1.994,2.004,78930.81
2026-06-05 14:45:00,1780670700000,2.004,2.018,1.979,1.988,81287.2
2026-06-05 15:00:00,1780671600000,1.988,1.991,1.937,1.944,178067.63
2026-06-05 15:15:00,1780672500000,1.944,1.964,1.922,1.928,132558.21
2026-06-05 15:30:00,1780673400000,1.928,1.948,1.909,1.932,154681.72
2026-06-05 15:45:00,1780674300000,1.932,1.935,1.908,1.92,132339.53
2026-06-05 16:00:00,1780675200000,1.92,1.923,1.841,1.89,399101.31
2026-06-05 16:15:00,1780676100000,1.89,1.949,1.885,1.934,282610.48
2026-06-05 16:30:00,1780677000000,1.934,1.957,1.902,1.915,149159.08
2026-06-05 16:45:00,1780677900000,1.915,1.989,1.915,1.98,167427.21
2026-06-05 17:00:00,1780678800000,1.98,1.99,1.942,1.95,99240.99
2026-06-05 17:15:00,1780679700000,1.95,1.952,1.926,1.939,53417.53
2026-06-05 17:30:00,1780680600000,1.939,2.002,1.93,1.994,75215.67
2026-06-05 17:45:00,1780681500000,1.994,2.005,1.979,1.98,86766.71
2026-06-05 18:00:00,1780682400000,1.98,1.984,1.956,1.96,61562.05
2026-06-05 18:15:00,1780683300000,1.96,1.969,1.937,1.938,81263.05
2026-06-05 18:30:00,1780684200000,1.938,1.954,1.923,1.939,104453.29
2026-06-05 18:45:00,1780685100000,1.939,1.941,1.892,1.894,179305.94
2026-06-05 19:00:00,1780686000000,1.894,1.9,1.871,1.883,96340.61
2026-06-05 19:15:00,1780686900000,1.883,1.911,1.855,1.909,127225.57
2026-06-05 19:30:00,1780687800000,1.909,1.932,1.887,1.926,97894.52
2026-06-05 19:45:00,1780688700000,1.926,1.985,1.924,1.975,138330.03
2026-06-05 20:00:00,1780689600000,1.975,2.004,1.938,2.003,121893.5
2026-06-05 20:15:00,1780690500000,2.003,2.017,1.992,2.006,103636.16
2026-06-05 20:30:00,1780691400000,2.006,2.025,1.997,2.015,64895.0
2026-06-05 20:45:00,1780692300000,2.015,2.034,2.004,2.019,68876.44
2026-06-05 21:00:00,1780693200000,2.019,2.021,1.993,2.02,65903.16
2026-06-05 21:15:00,1780694100000,2.02,2.026,1.997,2.007,47636.64
