Open_time,Open_time,Open,High,Low,Close,Volume
2026-06-04 11:15:00,1780571700000,0.3513,0.356,0.3503,0.3538,451129.33
2026-06-04 11:30:00,1780572600000,0.3538,0.3566,0.3526,0.356,484904.07
2026-06-04 11:45:00,1780573500000,0.356,0.3629,0.3559,0.3628,268817.89
2026-06-04 12:00:00,1780574400000,0.3628,0.367,0.3617,0.366,651267.26
2026-06-04 12:15:00,1780575300000,0.366,0.3734,0.3653,0.3729,719260.75
2026-06-04 12:30:00,1780576200000,0.3729,0.3778,0.3693,0.3762,514569.67
2026-06-04 12:45:00,1780577100000,0.3762,0.379,0.3738,0.3776,710948.43
2026-06-04 13:00:00,1780578000000,0.3776,0.3783,0.3703,0.3706,557767.39
2026-06-04 13:15:00,1780578900000,0.3706,0.3721,0.3662,0.3701,776015.76
2026-06-04 13:30:00,1780579800000,0.3701,0.3776,0.3693,0.3749,1234432.83
2026-06-04 13:45:00,1780580700000,0.3749,0.3792,0.3739,0.3782,734534.65
2026-06-04 14:00:00,1780581600000,0.3782,0.3808,0.3743,0.3791,1245521.36
2026-06-04 14:15:00,1780582500000,0.3791,0.381,0.3763,0.3808,555289.71
2026-06-04 14:30:00,1780583400000,0.3808,0.3824,0.3773,0.3773,511216.44
2026-06-04 14:45:00,1780584300000,0.3773,0.3831,0.3759,0.382,538837.19
2026-06-04 15:00:00,1780585200000,0.382,0.3916,0.3819,0.3887,1110082.92
2026-06-04 15:15:00,1780586100000,0.3887,0.3901,0.3817,0.3832,585283.04
2026-06-04 15:30:00,1780587000000,0.3832,0.3855,0.3816,0.3823,385183.14
2026-06-04 15:45:00,1780587900000,0.3823,0.3839,0.3786,0.3826,403060.74
2026-06-04 16:00:00,1780588800000,0.3826,0.3857,0.3809,0.3857,273910.17
2026-06-04 16:15:00,1780589700000,0.3857,0.3923,0.3851,0.3862,570544.64
2026-06-04 16:30:00,1780590600000,0.3862,0.394,0.385,0.3937,620374.15
2026-06-04 16:45:00,1780591500000,0.3937,0.3951,0.3886,0.39,405210.25
2026-06-04 17:00:00,1780592400000,0.39,0.3946,0.3882,0.3935,351813.29
2026-06-04 17:15:00,1780593300000,0.3935,0.3938,0.3877,0.3906,288115.01
2026-06-04 17:30:00,1780594200000,0.3906,0.3922,0.382,0.3839,479665.33
2026-06-04 17:45:00,1780595100000,0.3839,0.3894,0.3812,0.3875,682601.72
2026-06-04 18:00:00,1780596000000,0.3875,0.3876,0.3765,0.378,604081.96
2026-06-04 18:15:00,1780596900000,0.378,0.3835,0.3758,0.3835,576477.01
2026-06-04 18:30:00,1780597800000,0.3835,0.3851,0.3804,0.3812,388058.72
2026-06-04 18:45:00,1780598700000,0.3812,0.3833,0.3802,0.3809,223670.58
2026-06-04 19:00:00,1780599600000,0.3809,0.3815,0.3768,0.3804,229657.14
2026-06-04 19:15:00,1780600500000,0.3804,0.3838,0.3788,0.3832,155859.48
2026-06-04 19:30:00,1780601400000,0.3832,0.3847,0.382,0.3836,103537.19
2026-06-04 19:45:00,1780602300000,0.3836,0.3844,0.3803,0.3823,215462.77
2026-06-04 20:00:00,1780603200000,0.3823,0.3823,0.3778,0.3811,227755.6
2026-06-04 20:15:00,1780604100000,0.3811,0.3825,0.3776,0.3798,228212.14
2026-06-04 20:30:00,1780605000000,0.3798,0.3809,0.3784,0.3784,271511.53
2026-06-04 20:45:00,1780605900000,0.3784,0.3796,0.3745,0.3779,364157.32
2026-06-04 21:00:00,1780606800000,0.3779,0.3796,0.3757,0.3775,223877.88
2026-06-04 21:15:00,1780607700000,0.3775,0.3776,0.3688,0.3695,338533.17
2026-06-04 21:30:00,1780608600000,0.3695,0.3704,0.3633,0.3695,520793.5
2026-06-04 21:45:00,1780609500000,0.3695,0.3695,0.3643,0.3643,1358048.31
2026-06-04 22:00:00,1780610400000,0.3643,0.3694,0.3639,0.3681,731506.39
2026-06-04 22:15:00,1780611300000,0.3681,0.3717,0.3676,0.3691,465366.04
2026-06-04 22:30:00,1780612200000,0.3691,0.37,0.3659,0.3695,476420.51
2026-06-04 22:45:00,1780613100000,0.3695,0.3731,0.3674,0.3724,226982.07
2026-06-04 23:00:00,1780614000000,0.3724,0.3755,0.3712,0.3734,452670.91
2026-06-04 23:15:00,1780614900000,0.3734,0.3734,0.3669,0.3703,246768.56
2026-06-04 23:30:00,1780615800000,0.3703,0.3732,0.3694,0.3722,185178.04
2026-06-04 23:45:00,1780616700000,0.3722,0.3728,0.3692,0.3706,189269.45
2026-06-05 00:00:00,1780617600000,0.3706,0.3727,0.367,0.3675,340291.55
2026-06-05 00:15:00,1780618500000,0.3675,0.3719,0.3652,0.3719,362668.48
2026-06-05 00:30:00,1780619400000,0.3719,0.3731,0.3697,0.3712,571628.19
2026-06-05 00:45:00,1780620300000,0.3712,0.3732,0.3678,0.3683,290161.12
2026-06-05 01:00:00,1780621200000,0.3683,0.3683,0.3623,0.3662,432677.86
2026-06-05 01:15:00,1780622100000,0.3662,0.3712,0.3654,0.3712,357262.28
2026-06-05 01:30:00,1780623000000,0.3712,0.3743,0.3698,0.3726,390343.93
2026-06-05 01:45:00,1780623900000,0.3726,0.3749,0.3715,0.3738,302711.78
2026-06-05 02:00:00,1780624800000,0.3738,0.3755,0.3706,0.3714,308899.04
2026-06-05 02:15:00,1780625700000,0.3714,0.3723,0.367,0.3676,363010.0
2026-06-05 02:30:00,1780626600000,0.3676,0.3725,0.367,0.369,406834.71
2026-06-05 02:45:00,1780627500000,0.369,0.3696,0.3592,0.3608,373331.15
2026-06-05 03:00:00,1780628400000,0.3608,0.3626,0.3567,0.3578,587465.21
2026-06-05 03:15:00,1780629300000,0.3578,0.3632,0.3578,0.3617,346987.87
2026-06-05 03:30:00,1780630200000,0.3617,0.3636,0.357,0.359,230853.61
2026-06-05 03:45:00,1780631100000,0.359,0.361,0.3576,0.3579,131061.88
2026-06-05 04:00:00,1780632000000,0.3579,0.3655,0.3559,0.3631,1422879.51
2026-06-05 04:15:00,1780632900000,0.3631,0.3675,0.3601,0.3659,517576.66
2026-06-05 04:30:00,1780633800000,0.3659,0.3661,0.3619,0.3625,305753.32
2026-06-05 04:45:00,1780634700000,0.3625,0.3689,0.3601,0.3685,543217.54
2026-06-05 05:00:00,1780635600000,0.3685,0.3697,0.3659,0.3663,256418.29
2026-06-05 05:15:00,1780636500000,0.3663,0.3699,0.365,0.3691,464442.75
2026-06-05 05:30:00,1780637400000,0.3691,0.3705,0.3613,0.3615,721870.77
2026-06-05 05:45:00,1780638300000,0.3615,0.362,0.3567,0.3578,701457.34
2026-06-05 06:00:00,1780639200000,0.3578,0.3603,0.3524,0.3544,879280.26
2026-06-05 06:15:00,1780640100000,0.3544,0.3565,0.3428,0.3545,2072782.8
2026-06-05 06:30:00,1780641000000,0.3545,0.3609,0.3521,0.3603,1130197.1
2026-06-05 06:45:00,1780641900000,0.3603,0.361,0.3551,0.3563,425937.04
2026-06-05 07:00:00,1780642800000,0.3563,0.3568,0.3476,0.3478,769614.69
2026-06-05 07:15:00,1780643700000,0.3478,0.36,0.3478,0.3578,675552.37
2026-06-05 07:30:00,1780644600000,0.3578,0.3656,0.3543,0.3647,720587.19
2026-06-05 07:45:00,1780645500000,0.3647,0.3653,0.3608,0.3645,685969.22
2026-06-05 08:00:00,1780646400000,0.3645,0.3648,0.3563,0.3583,675488.5
2026-06-05 08:15:00,1780647300000,0.3583,0.3607,0.3559,0.3578,534504.47
2026-06-05 08:30:00,1780648200000,0.3578,0.3585,0.3531,0.3543,279870.33
2026-06-05 08:45:00,1780649100000,0.3543,0.3564,0.3535,0.3551,307938.77
2026-06-05 09:00:00,1780650000000,0.3551,0.3595,0.3549,0.3591,452787.62
2026-06-05 09:15:00,1780650900000,0.3591,0.3602,0.3536,0.3573,376184.45
2026-06-05 09:30:00,1780651800000,0.3573,0.3573,0.3536,0.3551,310825.42
2026-06-05 09:45:00,1780652700000,0.3551,0.3573,0.3546,0.3566,220168.55
2026-06-05 10:00:00,1780653600000,0.3566,0.3588,0.3555,0.3586,373586.49
2026-06-05 10:15:00,1780654500000,0.3586,0.3586,0.3541,0.3544,350951.22
2026-06-05 10:30:00,1780655400000,0.3544,0.3557,0.3521,0.3544,247507.23
2026-06-05 10:45:00,1780656300000,0.3544,0.3544,0.3496,0.3518,278710.95
2026-06-05 11:00:00,1780657200000,0.3518,0.3518,0.3487,0.3502,513862.4
2026-06-05 11:15:00,1780658100000,0.3502,0.3537,0.349,0.3519,407567.37
2026-06-05 11:30:00,1780659000000,0.3519,0.3536,0.3501,0.3501,304874.77
2026-06-05 11:45:00,1780659900000,0.3501,0.3524,0.3488,0.3503,429795.54
2026-06-05 12:00:00,1780660800000,0.3503,0.3528,0.3468,0.3509,681781.12
2026-06-05 12:15:00,1780661700000,0.3509,0.355,0.3502,0.3513,677942.39
