Open_time,Open_time,Open,High,Low,Close,Volume
2026-01-31 16:00:00,1769875200000,0.2385,0.2395,0.2371,0.2384,2123639.5
2026-01-31 16:15:00,1769876100000,0.2384,0.2427,0.2367,0.2394,6052442.7
2026-01-31 16:30:00,1769877000000,0.2394,0.2398,0.2382,0.239,1402880.8
2026-01-31 16:45:00,1769877900000,0.239,0.2396,0.236,0.2372,2672702.9
2026-01-31 17:00:00,1769878800000,0.2372,0.2385,0.2218,0.2276,27498364.6
2026-01-31 17:15:00,1769879700000,0.2276,0.2301,0.2259,0.2276,6501635.9
2026-01-31 17:30:00,1769880600000,0.2276,0.229,0.2246,0.2264,2896125.9
2026-01-31 17:45:00,1769881500000,0.2264,0.2273,0.2238,0.2259,2822986.2
2026-01-31 18:00:00,1769882400000,0.2259,0.2273,0.2252,0.2261,2019796.3
2026-01-31 18:15:00,1769883300000,0.2261,0.2264,0.2233,0.2259,2680785.1
2026-01-31 18:30:00,1769884200000,0.2259,0.2263,0.2092,0.2207,22332433.1
2026-01-31 18:45:00,1769885100000,0.2207,0.2259,0.219,0.2236,12678879.0
2026-01-31 19:00:00,1769886000000,0.2236,0.2285,0.2233,0.2276,4798350.7
2026-01-31 19:15:00,1769886900000,0.2276,0.229,0.2258,0.227,1985246.9
2026-01-31 19:30:00,1769887800000,0.227,0.2274,0.2229,0.2235,2285747.7
2026-01-31 19:45:00,1769888700000,0.2235,0.2254,0.2231,0.2248,938882.3
2026-01-31 20:00:00,1769889600000,0.2248,0.2257,0.2236,0.2237,778140.2
2026-01-31 20:15:00,1769890500000,0.2237,0.2279,0.2234,0.2241,1195903.5
2026-01-31 20:30:00,1769891400000,0.2241,0.226,0.2232,0.226,743781.7
2026-01-31 20:45:00,1769892300000,0.226,0.2273,0.2251,0.2266,1001614.8
2026-01-31 21:00:00,1769893200000,0.2266,0.2287,0.2263,0.2267,1493837.8
2026-01-31 21:15:00,1769894100000,0.2267,0.2289,0.2259,0.2284,1551569.4
2026-01-31 21:30:00,1769895000000,0.2284,0.2305,0.2276,0.2301,1409311.6
2026-01-31 21:45:00,1769895900000,0.2301,0.2305,0.2293,0.2299,735347.9
2026-01-31 22:00:00,1769896800000,0.2299,0.2304,0.2284,0.2285,606852.1
2026-01-31 22:15:00,1769897700000,0.2285,0.229,0.2275,0.2288,297844.1
2026-01-31 22:30:00,1769898600000,0.2288,0.2292,0.2273,0.2282,435147.7
2026-01-31 22:45:00,1769899500000,0.2282,0.2294,0.2276,0.2292,163403.3
2026-01-31 23:00:00,1769900400000,0.2292,0.2302,0.229,0.2296,352037.3
2026-01-31 23:15:00,1769901300000,0.2296,0.2354,0.2296,0.234,2924896.0
2026-01-31 23:30:00,1769902200000,0.234,0.2347,0.233,0.2333,779890.2
2026-01-31 23:45:00,1769903100000,0.2333,0.2343,0.2323,0.2342,534484.9
2026-02-01 00:00:00,1769904000000,0.2342,0.2362,0.2338,0.2362,1614626.9
2026-02-01 00:15:00,1769904900000,0.2362,0.237,0.2356,0.2359,1214757.5
2026-02-01 00:30:00,1769905800000,0.2359,0.2365,0.2346,0.2359,647701.6
2026-02-01 00:45:00,1769906700000,0.2359,0.2362,0.2353,0.236,439456.1
2026-02-01 01:00:00,1769907600000,0.236,0.2362,0.2337,0.2346,877475.1
2026-02-01 01:15:00,1769908500000,0.2346,0.2354,0.233,0.2354,913587.5
2026-02-01 01:30:00,1769909400000,0.2354,0.2356,0.2348,0.2353,505645.2
2026-02-01 01:45:00,1769910300000,0.2353,0.2366,0.2352,0.2364,213215.0
2026-02-01 02:00:00,1769911200000,0.2364,0.2375,0.2359,0.2371,389081.4
2026-02-01 02:15:00,1769912100000,0.2371,0.2373,0.236,0.2365,309927.2
2026-02-01 02:30:00,1769913000000,0.2365,0.2382,0.2365,0.2377,625453.9
2026-02-01 02:45:00,1769913900000,0.2377,0.2388,0.2374,0.2377,902770.7
2026-02-01 03:00:00,1769914800000,0.2377,0.2381,0.2366,0.2379,264574.2
2026-02-01 03:15:00,1769915700000,0.2379,0.2382,0.2374,0.2381,160972.7
2026-02-01 03:30:00,1769916600000,0.2381,0.2381,0.237,0.2374,245486.3
2026-02-01 03:45:00,1769917500000,0.2374,0.2382,0.2374,0.2379,225181.4
2026-02-01 04:00:00,1769918400000,0.2379,0.2387,0.2375,0.2383,235842.2
2026-02-01 04:15:00,1769919300000,0.2383,0.2387,0.2375,0.2377,271703.6
2026-02-01 04:30:00,1769920200000,0.2377,0.2386,0.2373,0.2382,626106.3
2026-02-01 04:45:00,1769921100000,0.2382,0.2385,0.2374,0.2376,863256.8
2026-02-01 05:00:00,1769922000000,0.2376,0.2386,0.2372,0.238,879434.1
2026-02-01 05:15:00,1769922900000,0.238,0.239,0.2376,0.2388,392146.4
2026-02-01 05:30:00,1769923800000,0.2388,0.2388,0.2366,0.2366,409128.7
2026-02-01 05:45:00,1769924700000,0.2366,0.2375,0.2366,0.2373,182455.9
2026-02-01 06:00:00,1769925600000,0.2373,0.2388,0.2373,0.2386,204054.3
2026-02-01 06:15:00,1769926500000,0.2386,0.2399,0.2386,0.2391,502709.7
2026-02-01 06:30:00,1769927400000,0.2391,0.2398,0.2373,0.2385,835472.4
2026-02-01 06:45:00,1769928300000,0.2385,0.2388,0.238,0.2384,346063.3
2026-02-01 07:00:00,1769929200000,0.2384,0.2389,0.2376,0.2378,712401.0
2026-02-01 07:15:00,1769930100000,0.2378,0.2381,0.2372,0.2376,429053.6
2026-02-01 07:30:00,1769931000000,0.2376,0.2406,0.2372,0.2404,961573.8
2026-02-01 07:45:00,1769931900000,0.2404,0.2404,0.239,0.2391,539713.7
2026-02-01 08:00:00,1769932800000,0.2391,0.2396,0.2388,0.2388,402432.4
2026-02-01 08:15:00,1769933700000,0.2388,0.2391,0.238,0.2385,450241.7
2026-02-01 08:30:00,1769934600000,0.2385,0.2406,0.2384,0.2406,434815.7
2026-02-01 08:45:00,1769935500000,0.2406,0.2406,0.2389,0.239,265195.1
2026-02-01 09:00:00,1769936400000,0.239,0.2393,0.2383,0.2383,142714.0
2026-02-01 09:15:00,1769937300000,0.2383,0.2383,0.237,0.2372,430421.1
2026-02-01 09:30:00,1769938200000,0.2372,0.2385,0.237,0.2384,450442.9
2026-02-01 09:45:00,1769939100000,0.2384,0.2398,0.238,0.2392,525131.1
2026-02-01 10:00:00,1769940000000,0.2392,0.2402,0.2388,0.24,323231.4
2026-02-01 10:15:00,1769940900000,0.24,0.24,0.2382,0.2388,236891.3
2026-02-01 10:30:00,1769941800000,0.2388,0.2393,0.2349,0.2351,2190120.9
2026-02-01 10:45:00,1769942700000,0.2351,0.236,0.2343,0.2346,837501.5
2026-02-01 11:00:00,1769943600000,0.2346,0.2355,0.2346,0.2355,875840.9
2026-02-01 11:15:00,1769944500000,0.2355,0.2355,0.2342,0.2343,284472.0
2026-02-01 11:30:00,1769945400000,0.2343,0.2369,0.2342,0.2364,814058.1
2026-02-01 11:45:00,1769946300000,0.2364,0.2367,0.2353,0.2356,370322.2
2026-02-01 12:00:00,1769947200000,0.2356,0.2358,0.2342,0.2347,200392.3
2026-02-01 12:15:00,1769948100000,0.2347,0.2347,0.2328,0.2333,920185.2
2026-02-01 12:30:00,1769949000000,0.2333,0.2349,0.2333,0.2335,574958.9
2026-02-01 12:45:00,1769949900000,0.2335,0.2339,0.2333,0.2335,364069.5
2026-02-01 13:00:00,1769950800000,0.2335,0.2357,0.2334,0.2354,814161.6
2026-02-01 13:15:00,1769951700000,0.2354,0.2354,0.2346,0.2352,254972.0
2026-02-01 13:30:00,1769952600000,0.2352,0.2356,0.2337,0.2342,271141.1
2026-02-01 13:45:00,1769953500000,0.2342,0.2345,0.2318,0.2328,1039099.7
2026-02-01 14:00:00,1769954400000,0.2328,0.2334,0.2317,0.2319,570801.4
2026-02-01 14:15:00,1769955300000,0.2319,0.2321,0.2301,0.2305,1796592.2
2026-02-01 14:30:00,1769956200000,0.2305,0.2319,0.2283,0.2308,4056026.7
2026-02-01 14:45:00,1769957100000,0.2308,0.235,0.2307,0.2326,2376235.8
2026-02-01 15:00:00,1769958000000,0.2326,0.2326,0.2291,0.2294,793494.5
2026-02-01 15:15:00,1769958900000,0.2294,0.2295,0.2255,0.2257,2391221.9
2026-02-01 15:30:00,1769959800000,0.2257,0.2269,0.2238,0.2252,2863772.5
2026-02-01 15:45:00,1769960700000,0.2252,0.2288,0.2251,0.227,1459246.8
2026-02-01 16:00:00,1769961600000,0.227,0.2289,0.2256,0.228,1980728.5
2026-02-01 16:15:00,1769962500000,0.228,0.23,0.2246,0.2283,1574074.2
2026-02-01 16:30:00,1769963400000,0.2283,0.2288,0.2259,0.2264,788619.4
2026-02-01 16:45:00,1769964300000,0.2264,0.2282,0.2262,0.2273,773418.3
2026-02-01 17:00:00,1769965200000,0.2273,0.2287,0.227,0.2281,480521.2
2026-02-01 17:15:00,1769966100000,0.2281,0.2281,0.226,0.2272,516568.0
2026-02-01 17:30:00,1769967000000,0.2272,0.2276,0.2255,0.2267,992770.7
2026-02-01 17:45:00,1769967900000,0.2267,0.2282,0.2259,0.2282,343531.2
2026-02-01 18:00:00,1769968800000,0.2282,0.2328,0.2281,0.2325,2537422.5
2026-02-01 18:15:00,1769969700000,0.2325,0.2336,0.2306,0.2319,1818008.3
2026-02-01 18:30:00,1769970600000,0.2319,0.2319,0.2301,0.2301,502297.0
2026-02-01 18:45:00,1769971500000,0.2301,0.2305,0.2292,0.2302,665704.3
2026-02-01 19:00:00,1769972400000,0.2302,0.2309,0.2292,0.2293,577834.1
2026-02-01 19:15:00,1769973300000,0.2293,0.23,0.2283,0.2298,568670.8
2026-02-01 19:30:00,1769974200000,0.2298,0.2304,0.229,0.2292,307608.9
2026-02-01 19:45:00,1769975100000,0.2292,0.2292,0.2269,0.2284,1385668.6
2026-02-01 20:00:00,1769976000000,0.2284,0.2289,0.2274,0.2278,700721.5
2026-02-01 20:15:00,1769976900000,0.2278,0.2286,0.226,0.2261,792164.8
2026-02-01 20:30:00,1769977800000,0.2261,0.2315,0.2261,0.2304,1174140.4
2026-02-01 20:45:00,1769978700000,0.2304,0.2305,0.2287,0.229,508612.7
2026-02-01 21:00:00,1769979600000,0.229,0.2292,0.2268,0.2279,626196.6
2026-02-01 21:15:00,1769980500000,0.2279,0.2279,0.2267,0.2274,955041.4
2026-02-01 21:30:00,1769981400000,0.2274,0.2287,0.2267,0.2273,452041.8
2026-02-01 21:45:00,1769982300000,0.2273,0.2279,0.2258,0.227,1028629.9
2026-02-01 22:00:00,1769983200000,0.227,0.2312,0.2267,0.2304,1607197.3
2026-02-01 22:15:00,1769984100000,0.2304,0.2304,0.2271,0.2291,767694.4
2026-02-01 22:30:00,1769985000000,0.2291,0.2312,0.2291,0.2299,390515.9
2026-02-01 22:45:00,1769985900000,0.2299,0.2304,0.2289,0.2294,511356.0
2026-02-01 23:00:00,1769986800000,0.2294,0.2294,0.2214,0.2264,7007045.5
2026-02-01 23:15:00,1769987700000,0.2264,0.2288,0.2245,0.228,3416788.8
2026-02-01 23:30:00,1769988600000,0.228,0.2318,0.2271,0.2298,1602066.3
2026-02-01 23:45:00,1769989500000,0.2298,0.2298,0.2271,0.2276,1182383.0
2026-02-02 00:00:00,1769990400000,0.2276,0.2304,0.2254,0.2296,1375000.4
2026-02-02 00:15:00,1769991300000,0.2296,0.2324,0.2294,0.2319,946739.0
2026-02-02 00:30:00,1769992200000,0.2319,0.2333,0.2314,0.2325,518882.0
