Open_time,Open_time,Open,High,Low,Close,Volume
2026-04-30 16:00:00,1777564800000,0.2275,0.2287,0.2262,0.227,305812.0
2026-04-30 16:15:00,1777565700000,0.227,0.2274,0.2168,0.2234,2049976.0
2026-04-30 16:30:00,1777566600000,0.2234,0.2242,0.217,0.2194,2393801.0
2026-04-30 16:45:00,1777567500000,0.2194,0.2199,0.2167,0.2185,699048.0
2026-04-30 17:00:00,1777568400000,0.2185,0.2197,0.2145,0.2169,1307415.0
2026-04-30 17:15:00,1777569300000,0.2169,0.2209,0.215,0.2199,1658104.0
2026-04-30 17:30:00,1777570200000,0.2199,0.2204,0.2177,0.2196,476371.0
2026-04-30 17:45:00,1777571100000,0.2196,0.2228,0.2192,0.2219,533165.0
2026-04-30 18:00:00,1777572000000,0.2219,0.223,0.2206,0.2221,347868.0
2026-04-30 18:15:00,1777572900000,0.2221,0.2249,0.2212,0.2219,512064.0
2026-04-30 18:30:00,1777573800000,0.2219,0.2224,0.2197,0.2221,223578.0
2026-04-30 18:45:00,1777574700000,0.2221,0.2251,0.2216,0.2245,568744.0
2026-04-30 19:00:00,1777575600000,0.2245,0.2273,0.224,0.2268,420744.0
2026-04-30 19:15:00,1777576500000,0.2268,0.2293,0.2246,0.2293,483399.0
2026-04-30 19:30:00,1777577400000,0.2293,0.2305,0.2276,0.2287,500595.0
2026-04-30 19:45:00,1777578300000,0.2287,0.2305,0.2282,0.2292,342135.0
2026-04-30 20:00:00,1777579200000,0.2292,0.2335,0.2289,0.2321,597239.0
2026-04-30 20:15:00,1777580100000,0.2321,0.2339,0.2315,0.233,560785.0
2026-04-30 20:30:00,1777581000000,0.233,0.2346,0.2302,0.231,1253684.0
2026-04-30 20:45:00,1777581900000,0.231,0.2357,0.2306,0.2355,310964.0
2026-04-30 21:00:00,1777582800000,0.2355,0.2364,0.2335,0.2357,366709.0
2026-04-30 21:15:00,1777583700000,0.2357,0.2366,0.2327,0.2332,367329.0
2026-04-30 21:30:00,1777584600000,0.2332,0.2348,0.2312,0.2321,289756.0
2026-04-30 21:45:00,1777585500000,0.2321,0.2338,0.231,0.2314,118056.0
2026-04-30 22:00:00,1777586400000,0.2314,0.2325,0.2304,0.2306,266533.0
2026-04-30 22:15:00,1777587300000,0.2306,0.2325,0.2305,0.2323,162752.0
2026-04-30 22:30:00,1777588200000,0.2323,0.2328,0.231,0.2326,234830.0
2026-04-30 22:45:00,1777589100000,0.2326,0.2336,0.2312,0.2322,216812.0
2026-04-30 23:00:00,1777590000000,0.2322,0.2335,0.2305,0.2316,209468.0
2026-04-30 23:15:00,1777590900000,0.2316,0.2325,0.2301,0.2325,221830.0
2026-04-30 23:30:00,1777591800000,0.2325,0.2326,0.2308,0.2313,200290.0
2026-04-30 23:45:00,1777592700000,0.2313,0.2321,0.2308,0.2311,110251.0
2026-05-01 00:00:00,1777593600000,0.2311,0.2333,0.231,0.2331,139907.0
2026-05-01 00:15:00,1777594500000,0.2331,0.2352,0.2324,0.234,526574.0
2026-05-01 00:30:00,1777595400000,0.234,0.238,0.2336,0.2361,487928.0
2026-05-01 00:45:00,1777596300000,0.2361,0.2364,0.2346,0.2355,262377.0
2026-05-01 01:00:00,1777597200000,0.2355,0.2364,0.2338,0.2351,261454.0
2026-05-01 01:15:00,1777598100000,0.2351,0.2368,0.2334,0.2364,235353.0
2026-05-01 01:30:00,1777599000000,0.2364,0.2367,0.2355,0.2364,163083.0
2026-05-01 01:45:00,1777599900000,0.2364,0.2388,0.2364,0.2379,148791.0
2026-05-01 02:00:00,1777600800000,0.2379,0.2394,0.2369,0.2387,356931.0
2026-05-01 02:15:00,1777601700000,0.2387,0.2415,0.2381,0.2406,308219.0
2026-05-01 02:30:00,1777602600000,0.2406,0.2443,0.24,0.2422,574420.0
2026-05-01 02:45:00,1777603500000,0.2422,0.2437,0.2409,0.2413,374457.0
2026-05-01 03:00:00,1777604400000,0.2413,0.2452,0.2413,0.244,329855.0
2026-05-01 03:15:00,1777605300000,0.244,0.2462,0.2418,0.2418,423806.0
2026-05-01 03:30:00,1777606200000,0.2418,0.2423,0.2345,0.2363,1016762.0
2026-05-01 03:45:00,1777607100000,0.2363,0.2389,0.2358,0.2389,317685.0
2026-05-01 04:00:00,1777608000000,0.2389,0.2406,0.2382,0.2394,352407.0
2026-05-01 04:15:00,1777608900000,0.2394,0.2403,0.2369,0.2379,197321.0
2026-05-01 04:30:00,1777609800000,0.2379,0.2389,0.2364,0.2384,161293.0
2026-05-01 04:45:00,1777610700000,0.2384,0.2407,0.2382,0.2404,184990.0
2026-05-01 05:00:00,1777611600000,0.2404,0.2425,0.2404,0.2414,239602.0
2026-05-01 05:15:00,1777612500000,0.2414,0.2447,0.2414,0.2427,348516.0
