Open_time,Open_time,Open,High,Low,Close,Volume
2026-01-31 16:00:00,1769875200000,3.149,3.182,3.138,3.163,110757.49
2026-01-31 16:15:00,1769876100000,3.163,3.219,3.143,3.169,204323.8
2026-01-31 16:30:00,1769877000000,3.169,3.188,3.156,3.173,60659.19
2026-01-31 16:45:00,1769877900000,3.173,3.185,3.122,3.127,108505.3
2026-01-31 17:00:00,1769878800000,3.127,3.134,2.852,2.965,1053184.98
2026-01-31 17:15:00,1769879700000,2.965,3.006,2.949,2.979,188984.42
2026-01-31 17:30:00,1769880600000,2.979,3.017,2.952,2.985,94834.7
2026-01-31 17:45:00,1769881500000,2.985,3.002,2.952,2.974,77959.81
2026-01-31 18:00:00,1769882400000,2.974,2.992,2.936,2.95,103601.41
2026-01-31 18:15:00,1769883300000,2.95,2.965,2.924,2.96,81639.5
2026-01-31 18:30:00,1769884200000,2.96,2.962,2.72,2.902,651969.16
2026-01-31 18:45:00,1769885100000,2.902,2.971,2.875,2.932,379098.73
2026-01-31 19:00:00,1769886000000,2.932,2.997,2.919,2.993,170188.18
2026-01-31 19:15:00,1769886900000,2.993,3.026,2.987,3.012,107877.22
2026-01-31 19:30:00,1769887800000,3.012,3.016,2.958,2.97,68316.08
2026-01-31 19:45:00,1769888700000,2.97,3.007,2.965,2.994,56590.86
2026-01-31 20:00:00,1769889600000,2.994,3.01,2.972,2.975,50426.08
2026-01-31 20:15:00,1769890500000,2.975,3.011,2.958,2.959,44410.86
2026-01-31 20:30:00,1769891400000,2.959,2.971,2.934,2.971,40426.91
2026-01-31 20:45:00,1769892300000,2.971,2.978,2.952,2.971,24514.18
2026-01-31 21:00:00,1769893200000,2.971,2.995,2.962,2.964,36034.57
2026-01-31 21:15:00,1769894100000,2.964,3.006,2.96,3.001,55607.31
2026-01-31 21:30:00,1769895000000,3.001,3.059,2.989,3.047,67416.22
2026-01-31 21:45:00,1769895900000,3.047,3.056,3.029,3.034,19865.06
2026-01-31 22:00:00,1769896800000,3.034,3.057,3.021,3.029,37265.34
