Open_time,Open_time,Open,High,Low,Close,Volume
2026-02-28 16:00:00,1772294400000,1.2135,1.2139,1.2065,1.2104,21820.0
2026-02-28 16:15:00,1772295300000,1.2104,1.2141,1.2061,1.2137,10661.0
2026-02-28 16:30:00,1772296200000,1.2137,1.2219,1.2118,1.221,12694.0
2026-02-28 16:45:00,1772297100000,1.221,1.2214,1.2161,1.2211,21150.0
2026-02-28 17:00:00,1772298000000,1.2211,1.2212,1.2141,1.2155,24824.0
2026-02-28 17:15:00,1772298900000,1.2155,1.2186,1.2126,1.2174,21287.0
2026-02-28 17:30:00,1772299800000,1.2174,1.2207,1.2091,1.2118,37673.0
2026-02-28 17:45:00,1772300700000,1.2118,1.2269,1.209,1.2255,41899.0
2026-02-28 18:00:00,1772301600000,1.2255,1.2295,1.2231,1.2272,26946.0
2026-02-28 18:15:00,1772302500000,1.2272,1.2294,1.224,1.226,17596.0
2026-02-28 18:30:00,1772303400000,1.226,1.2467,1.226,1.2467,81312.0
2026-02-28 18:45:00,1772304300000,1.2467,1.2602,1.246,1.2517,49030.0
2026-02-28 19:00:00,1772305200000,1.2517,1.2531,1.2454,1.2484,25181.0
2026-02-28 19:15:00,1772306100000,1.2484,1.2577,1.2484,1.2565,47152.0
2026-02-28 19:30:00,1772307000000,1.2565,1.2853,1.2562,1.2708,202509.0
2026-02-28 19:45:00,1772307900000,1.2708,1.2741,1.2613,1.2659,30052.0
2026-02-28 20:00:00,1772308800000,1.2659,1.2703,1.2572,1.2686,44311.0
2026-02-28 20:15:00,1772309700000,1.2686,1.2718,1.2641,1.2691,62062.0
2026-02-28 20:30:00,1772310600000,1.2691,1.2739,1.2625,1.2698,50224.0
2026-02-28 20:45:00,1772311500000,1.2698,1.2803,1.2688,1.2792,62465.0
2026-02-28 21:00:00,1772312400000,1.2792,1.2809,1.2652,1.2683,78138.0
2026-02-28 21:15:00,1772313300000,1.2683,1.2704,1.2649,1.2653,26923.0
2026-02-28 21:30:00,1772314200000,1.2653,1.2731,1.2611,1.2674,64596.0
2026-02-28 21:45:00,1772315100000,1.2674,1.2703,1.2656,1.2681,14660.0
2026-02-28 22:00:00,1772316000000,1.2681,1.284,1.2679,1.2811,46408.0
2026-02-28 22:15:00,1772316900000,1.2811,1.2853,1.2793,1.2844,17558.0
2026-02-28 22:30:00,1772317800000,1.2844,1.2996,1.2822,1.2921,46078.0
2026-02-28 22:45:00,1772318700000,1.2921,1.296,1.2876,1.2916,8881.0
2026-02-28 23:00:00,1772319600000,1.2916,1.2929,1.2885,1.2892,26520.0
2026-02-28 23:15:00,1772320500000,1.2892,1.2925,1.2888,1.2904,17439.0
2026-02-28 23:30:00,1772321400000,1.2904,1.2959,1.2866,1.2945,40837.0
2026-02-28 23:45:00,1772322300000,1.2945,1.2995,1.2885,1.2889,21919.0
2026-03-01 00:00:00,1772323200000,1.2889,1.2945,1.2862,1.287,39065.0
2026-03-01 00:15:00,1772324100000,1.287,1.2925,1.2847,1.2861,25455.0
2026-03-01 00:30:00,1772325000000,1.2861,1.2867,1.2814,1.2863,16173.0
2026-03-01 00:45:00,1772325900000,1.2863,1.2911,1.2859,1.29,12724.0
2026-03-01 01:00:00,1772326800000,1.29,1.2948,1.2812,1.2863,53044.0
2026-03-01 01:15:00,1772327700000,1.2863,1.2915,1.2825,1.2905,24419.0
2026-03-01 01:30:00,1772328600000,1.2905,1.3095,1.2896,1.3062,48977.0
2026-03-01 01:45:00,1772329500000,1.3062,1.3494,1.3061,1.3446,357259.0
2026-03-01 02:00:00,1772330400000,1.3446,1.3923,1.3442,1.3786,349008.0
2026-03-01 02:15:00,1772331300000,1.3786,1.3795,1.345,1.3488,268412.0
2026-03-01 02:30:00,1772332200000,1.3488,1.3517,1.3382,1.3424,70898.0
2026-03-01 02:45:00,1772333100000,1.3424,1.3459,1.3304,1.3375,61465.0
2026-03-01 03:00:00,1772334000000,1.3375,1.3412,1.3325,1.3336,37028.0
2026-03-01 03:15:00,1772334900000,1.3336,1.334,1.3241,1.3295,39658.0
2026-03-01 03:30:00,1772335800000,1.3295,1.3322,1.3247,1.3303,28406.0
2026-03-01 03:45:00,1772336700000,1.3303,1.3317,1.3176,1.3244,59568.0
2026-03-01 04:00:00,1772337600000,1.3244,1.3273,1.3173,1.3187,23514.0
2026-03-01 04:15:00,1772338500000,1.3187,1.3229,1.309,1.3208,39292.0
2026-03-01 04:30:00,1772339400000,1.3208,1.3277,1.318,1.3212,30135.0
2026-03-01 04:45:00,1772340300000,1.3212,1.3299,1.3205,1.3288,69416.0
2026-03-01 05:00:00,1772341200000,1.3288,1.3369,1.3279,1.3289,46239.0
2026-03-01 05:15:00,1772342100000,1.3289,1.3406,1.3289,1.3367,16751.0
2026-03-01 05:30:00,1772343000000,1.3367,1.3382,1.329,1.3303,16841.0
2026-03-01 05:45:00,1772343900000,1.3303,1.3319,1.3261,1.328,12970.0
2026-03-01 06:00:00,1772344800000,1.328,1.328,1.3097,1.3164,39469.0
2026-03-01 06:15:00,1772345700000,1.3164,1.3198,1.3136,1.3148,26835.0
2026-03-01 06:30:00,1772346600000,1.3148,1.3184,1.3093,1.3143,23281.0
2026-03-01 06:45:00,1772347500000,1.3143,1.3205,1.3102,1.3143,11539.0
