Open_time,Open_time,Open,High,Low,Close,Volume
2026-04-30 16:00:00,1777564800000,0.3641,0.3642,0.3623,0.3631,66148.0
2026-04-30 16:15:00,1777565700000,0.3631,0.3636,0.3614,0.3625,62024.0
2026-04-30 16:30:00,1777566600000,0.3625,0.3627,0.3612,0.3619,13793.0
2026-04-30 16:45:00,1777567500000,0.3619,0.3627,0.3605,0.3613,33074.0
2026-04-30 17:00:00,1777568400000,0.3613,0.3624,0.3607,0.3615,184472.0
2026-04-30 17:15:00,1777569300000,0.3615,0.3617,0.3603,0.3617,35601.0
2026-04-30 17:30:00,1777570200000,0.3617,0.363,0.3573,0.3593,403368.0
2026-04-30 17:45:00,1777571100000,0.3593,0.3598,0.3579,0.3586,218689.0
2026-04-30 18:00:00,1777572000000,0.3586,0.3601,0.3574,0.3586,139419.0
2026-04-30 18:15:00,1777572900000,0.3586,0.3611,0.3584,0.3589,174670.0
2026-04-30 18:30:00,1777573800000,0.3589,0.3599,0.3584,0.3592,54559.0
2026-04-30 18:45:00,1777574700000,0.3592,0.3601,0.3588,0.359,25759.0
2026-04-30 19:00:00,1777575600000,0.359,0.3605,0.3577,0.36,222169.0
2026-04-30 19:15:00,1777576500000,0.36,0.3611,0.3594,0.3595,24823.0
2026-04-30 19:30:00,1777577400000,0.3595,0.3609,0.3591,0.3602,84089.0
2026-04-30 19:45:00,1777578300000,0.3602,0.3603,0.3586,0.3586,34503.0
2026-04-30 20:00:00,1777579200000,0.3586,0.3586,0.3574,0.358,114925.0
2026-04-30 20:15:00,1777580100000,0.358,0.3588,0.3576,0.3581,36193.0
2026-04-30 20:30:00,1777581000000,0.3581,0.3593,0.3575,0.359,57688.0
2026-04-30 20:45:00,1777581900000,0.359,0.3592,0.3582,0.3584,15998.0
2026-04-30 21:00:00,1777582800000,0.3584,0.359,0.3575,0.3586,146660.0
2026-04-30 21:15:00,1777583700000,0.3586,0.3587,0.3576,0.3576,25454.0
2026-04-30 21:30:00,1777584600000,0.3576,0.3586,0.3574,0.3577,37712.0
2026-04-30 21:45:00,1777585500000,0.3577,0.3577,0.3561,0.3565,46124.0
2026-04-30 22:00:00,1777586400000,0.3565,0.3571,0.3558,0.357,20198.0
2026-04-30 22:15:00,1777587300000,0.357,0.3572,0.3566,0.3569,14481.0
2026-04-30 22:30:00,1777588200000,0.3569,0.357,0.3549,0.3556,127074.0
2026-04-30 22:45:00,1777589100000,0.3556,0.3558,0.3548,0.3556,30658.0
2026-04-30 23:00:00,1777590000000,0.3556,0.3567,0.3546,0.3561,152985.0
2026-04-30 23:15:00,1777590900000,0.3561,0.3575,0.3561,0.3575,55280.0
2026-04-30 23:30:00,1777591800000,0.3575,0.3622,0.3573,0.36,285853.0
2026-04-30 23:45:00,1777592700000,0.36,0.3614,0.3599,0.3608,32821.0
2026-05-01 00:00:00,1777593600000,0.3608,0.3644,0.3608,0.364,103156.0
2026-05-01 00:15:00,1777594500000,0.364,0.3654,0.3632,0.3634,144149.0
2026-05-01 00:30:00,1777595400000,0.3634,0.3645,0.3628,0.3645,31736.0
2026-05-01 00:45:00,1777596300000,0.3645,0.3662,0.3635,0.3644,63144.0
2026-05-01 01:00:00,1777597200000,0.3644,0.366,0.3637,0.3646,70323.0
2026-05-01 01:15:00,1777598100000,0.3646,0.3653,0.364,0.3641,22488.0
2026-05-01 01:30:00,1777599000000,0.3641,0.3652,0.3637,0.3652,28613.0
2026-05-01 01:45:00,1777599900000,0.3652,0.369,0.3652,0.3682,252487.0
2026-05-01 02:00:00,1777600800000,0.3682,0.3688,0.367,0.3679,43918.0
2026-05-01 02:15:00,1777601700000,0.3679,0.369,0.3678,0.3684,114991.0
2026-05-01 02:30:00,1777602600000,0.3684,0.3687,0.3666,0.3677,19338.0
2026-05-01 02:45:00,1777603500000,0.3677,0.3696,0.3675,0.3684,36989.0
2026-05-01 03:00:00,1777604400000,0.3684,0.3704,0.3675,0.3702,49699.0
2026-05-01 03:15:00,1777605300000,0.3702,0.3762,0.3701,0.3741,368907.0
2026-05-01 03:30:00,1777606200000,0.3741,0.3769,0.3741,0.3762,100993.0
2026-05-01 03:45:00,1777607100000,0.3762,0.3768,0.3734,0.374,149901.0
2026-05-01 04:00:00,1777608000000,0.374,0.3751,0.3727,0.3741,141557.0
2026-05-01 04:15:00,1777608900000,0.3741,0.3752,0.3694,0.3708,252432.0
2026-05-01 04:30:00,1777609800000,0.3708,0.3722,0.3705,0.3721,59445.0
