Open_time,Open_time,Open,High,Low,Close,Volume
2026-06-04 11:15:00,1780571700000,1.713,1.727,1.71,1.721,94505.9
2026-06-04 11:30:00,1780572600000,1.721,1.733,1.716,1.72,87326.33
2026-06-04 11:45:00,1780573500000,1.72,1.747,1.72,1.746,119149.56
2026-06-04 12:00:00,1780574400000,1.746,1.751,1.736,1.741,76227.15
2026-06-04 12:15:00,1780575300000,1.741,1.768,1.734,1.767,104437.3
2026-06-04 12:30:00,1780576200000,1.767,1.785,1.766,1.777,85010.04
2026-06-04 12:45:00,1780577100000,1.777,1.79,1.773,1.787,64146.5
2026-06-04 13:00:00,1780578000000,1.787,1.794,1.771,1.773,78293.63
2026-06-04 13:15:00,1780578900000,1.773,1.777,1.75,1.759,198720.24
2026-06-04 13:30:00,1780579800000,1.759,1.781,1.757,1.771,106469.35
2026-06-04 13:45:00,1780580700000,1.771,1.777,1.761,1.776,93688.54
2026-06-04 14:00:00,1780581600000,1.776,1.782,1.764,1.779,74571.74
2026-06-04 14:15:00,1780582500000,1.779,1.785,1.766,1.773,104941.61
2026-06-04 14:30:00,1780583400000,1.773,1.774,1.76,1.761,70706.98
2026-06-04 14:45:00,1780584300000,1.761,1.769,1.754,1.767,63488.18
2026-06-04 15:00:00,1780585200000,1.767,1.781,1.759,1.774,64600.1
2026-06-04 15:15:00,1780586100000,1.774,1.774,1.755,1.766,64670.06
2026-06-04 15:30:00,1780587000000,1.766,1.769,1.76,1.764,45134.42
2026-06-04 15:45:00,1780587900000,1.764,1.767,1.747,1.752,117550.09
2026-06-04 16:00:00,1780588800000,1.752,1.755,1.735,1.746,64235.8
2026-06-04 16:15:00,1780589700000,1.746,1.752,1.74,1.742,15637.67
2026-06-04 16:30:00,1780590600000,1.742,1.749,1.736,1.745,33871.01
2026-06-04 16:45:00,1780591500000,1.745,1.753,1.744,1.748,30001.25
2026-06-04 17:00:00,1780592400000,1.748,1.756,1.744,1.753,20776.28
2026-06-04 17:15:00,1780593300000,1.753,1.753,1.729,1.731,36806.29
2026-06-04 17:30:00,1780594200000,1.731,1.737,1.723,1.726,29602.29
2026-06-04 17:45:00,1780595100000,1.726,1.743,1.721,1.734,59010.39
2026-06-04 18:00:00,1780596000000,1.734,1.738,1.715,1.716,64208.04
2026-06-04 18:15:00,1780596900000,1.716,1.733,1.716,1.732,47250.59
2026-06-04 18:30:00,1780597800000,1.732,1.738,1.726,1.73,23659.38
2026-06-04 18:45:00,1780598700000,1.73,1.736,1.724,1.73,33484.18
2026-06-04 19:00:00,1780599600000,1.73,1.739,1.721,1.726,22795.28
2026-06-04 19:15:00,1780600500000,1.726,1.737,1.724,1.734,41700.67
2026-06-04 19:30:00,1780601400000,1.734,1.735,1.719,1.72,25306.6
2026-06-04 19:45:00,1780602300000,1.72,1.722,1.706,1.714,81340.6
2026-06-04 20:00:00,1780603200000,1.714,1.719,1.696,1.716,177525.09
2026-06-04 20:15:00,1780604100000,1.716,1.719,1.707,1.712,109816.05
2026-06-04 20:30:00,1780605000000,1.712,1.72,1.71,1.711,30378.53
2026-06-04 20:45:00,1780605900000,1.711,1.715,1.704,1.71,44505.24
2026-06-04 21:00:00,1780606800000,1.71,1.72,1.706,1.717,54712.02
2026-06-04 21:15:00,1780607700000,1.717,1.718,1.692,1.695,54828.12
2026-06-04 21:30:00,1780608600000,1.695,1.698,1.644,1.665,346503.7
2026-06-04 21:45:00,1780609500000,1.665,1.67,1.652,1.657,84808.49
2026-06-04 22:00:00,1780610400000,1.657,1.665,1.633,1.637,108122.41
2026-06-04 22:15:00,1780611300000,1.637,1.659,1.637,1.656,69295.44
2026-06-04 22:30:00,1780612200000,1.656,1.665,1.649,1.66,63380.74
2026-06-04 22:45:00,1780613100000,1.66,1.674,1.653,1.671,56392.93
2026-06-04 23:00:00,1780614000000,1.671,1.678,1.661,1.661,41152.48
2026-06-04 23:15:00,1780614900000,1.661,1.661,1.636,1.651,52303.58
2026-06-04 23:30:00,1780615800000,1.651,1.663,1.65,1.662,22359.66
2026-06-04 23:45:00,1780616700000,1.662,1.668,1.657,1.661,24113.8
2026-06-05 00:00:00,1780617600000,1.661,1.664,1.653,1.657,25060.96
