Open_time,Open_time,Open,High,Low,Close,Volume
2026-04-30 16:00:00,1777564800000,2.385,2.391,2.379,2.391,37675.4
2026-04-30 16:15:00,1777565700000,2.391,2.392,2.38,2.383,80749.6
2026-04-30 16:30:00,1777566600000,2.383,2.389,2.381,2.386,59184.6
2026-04-30 16:45:00,1777567500000,2.386,2.388,2.38,2.38,33335.5
2026-04-30 17:00:00,1777568400000,2.38,2.387,2.378,2.38,28725.5
2026-04-30 17:15:00,1777569300000,2.38,2.38,2.376,2.378,44229.1
2026-04-30 17:30:00,1777570200000,2.378,2.383,2.374,2.376,43634.5
2026-04-30 17:45:00,1777571100000,2.376,2.383,2.375,2.38,39263.9
2026-04-30 18:00:00,1777572000000,2.38,2.385,2.375,2.377,163494.9
2026-04-30 18:15:00,1777572900000,2.377,2.384,2.371,2.371,42606.3
2026-04-30 18:30:00,1777573800000,2.371,2.381,2.368,2.38,63223.0
2026-04-30 18:45:00,1777574700000,2.38,2.381,2.376,2.376,31003.6
2026-04-30 19:00:00,1777575600000,2.376,2.382,2.376,2.38,28773.1
2026-04-30 19:15:00,1777576500000,2.38,2.381,2.377,2.379,32040.8
2026-04-30 19:30:00,1777577400000,2.379,2.384,2.378,2.383,22841.8
2026-04-30 19:45:00,1777578300000,2.383,2.383,2.378,2.381,19965.0
2026-04-30 20:00:00,1777579200000,2.381,2.383,2.377,2.381,8212.0
2026-04-30 20:15:00,1777580100000,2.381,2.382,2.37,2.373,31859.6
2026-04-30 20:30:00,1777581000000,2.373,2.378,2.372,2.377,30826.4
2026-04-30 20:45:00,1777581900000,2.377,2.378,2.374,2.375,25967.8
2026-04-30 21:00:00,1777582800000,2.375,2.381,2.375,2.381,27638.8
2026-04-30 21:15:00,1777583700000,2.381,2.382,2.372,2.374,21546.6
2026-04-30 21:30:00,1777584600000,2.374,2.381,2.374,2.376,29508.4
2026-04-30 21:45:00,1777585500000,2.376,2.376,2.372,2.374,24526.5
2026-04-30 22:00:00,1777586400000,2.374,2.376,2.371,2.372,21147.3
2026-04-30 22:15:00,1777587300000,2.372,2.384,2.371,2.384,82349.2
2026-04-30 22:30:00,1777588200000,2.384,2.386,2.376,2.38,57323.8
2026-04-30 22:45:00,1777589100000,2.38,2.384,2.377,2.382,75480.6
2026-04-30 23:00:00,1777590000000,2.382,2.385,2.377,2.379,13390.2
2026-04-30 23:15:00,1777590900000,2.379,2.381,2.378,2.378,7545.6
2026-04-30 23:30:00,1777591800000,2.378,2.384,2.377,2.384,23433.2
2026-04-30 23:45:00,1777592700000,2.384,2.388,2.379,2.38,26598.3
2026-05-01 00:00:00,1777593600000,2.38,2.391,2.38,2.388,81299.8
2026-05-01 00:15:00,1777594500000,2.388,2.391,2.385,2.389,46417.4
2026-05-01 00:30:00,1777595400000,2.389,2.393,2.386,2.39,38627.6
2026-05-01 00:45:00,1777596300000,2.39,2.392,2.383,2.387,41805.3
2026-05-01 01:00:00,1777597200000,2.387,2.398,2.387,2.395,52674.2
2026-05-01 01:15:00,1777598100000,2.395,2.399,2.39,2.391,26614.2
2026-05-01 01:30:00,1777599000000,2.391,2.393,2.387,2.391,18595.3
2026-05-01 01:45:00,1777599900000,2.391,2.394,2.386,2.387,27013.4
2026-05-01 02:00:00,1777600800000,2.387,2.392,2.383,2.39,30474.4
2026-05-01 02:15:00,1777601700000,2.39,2.39,2.38,2.383,20886.2
2026-05-01 02:30:00,1777602600000,2.383,2.39,2.382,2.388,30743.2
2026-05-01 02:45:00,1777603500000,2.388,2.392,2.383,2.384,64667.9
2026-05-01 03:00:00,1777604400000,2.384,2.389,2.381,2.389,19679.8
2026-05-01 03:15:00,1777605300000,2.389,2.403,2.389,2.395,74690.4
2026-05-01 03:30:00,1777606200000,2.395,2.404,2.393,2.394,110309.3
2026-05-01 03:45:00,1777607100000,2.394,2.398,2.392,2.394,57110.0
2026-05-01 04:00:00,1777608000000,2.394,2.4,2.392,2.398,53658.3
2026-05-01 04:15:00,1777608900000,2.398,2.399,2.384,2.387,47619.8
2026-05-01 04:30:00,1777609800000,2.387,2.388,2.382,2.384,52463.7
2026-05-01 04:45:00,1777610700000,2.384,2.385,2.38,2.382,23134.4
2026-05-01 05:00:00,1777611600000,2.382,2.387,2.378,2.386,34722.8
2026-05-01 05:15:00,1777612500000,2.386,2.386,2.378,2.38,50224.0
2026-05-01 05:30:00,1777613400000,2.38,2.381,2.374,2.375,28707.2
2026-05-01 05:45:00,1777614300000,2.375,2.377,2.372,2.373,45096.0
2026-05-01 06:00:00,1777615200000,2.373,2.377,2.372,2.376,31807.0
2026-05-01 06:15:00,1777616100000,2.376,2.379,2.373,2.373,70136.9
2026-05-01 06:30:00,1777617000000,2.373,2.373,2.351,2.361,649721.7
2026-05-01 06:45:00,1777617900000,2.361,2.362,2.356,2.361,85064.0
2026-05-01 07:00:00,1777618800000,2.361,2.366,2.358,2.363,71327.5
2026-05-01 07:15:00,1777619700000,2.363,2.364,2.356,2.359,136710.5
2026-05-01 07:30:00,1777620600000,2.359,2.364,2.358,2.361,82032.2
2026-05-01 07:45:00,1777621500000,2.361,2.365,2.359,2.362,55003.4
2026-05-01 08:00:00,1777622400000,2.362,2.362,2.355,2.357,46294.7
2026-05-01 08:15:00,1777623300000,2.357,2.366,2.354,2.364,52692.1
2026-05-01 08:30:00,1777624200000,2.364,2.367,2.362,2.365,78538.4
2026-05-01 08:45:00,1777625100000,2.365,2.371,2.363,2.369,40351.9
2026-05-01 09:00:00,1777626000000,2.369,2.37,2.365,2.366,43413.8
2026-05-01 09:15:00,1777626900000,2.366,2.367,2.359,2.364,30908.5
2026-05-01 09:30:00,1777627800000,2.364,2.364,2.358,2.362,23406.2
2026-05-01 09:45:00,1777628700000,2.362,2.362,2.35,2.357,135379.8
2026-05-01 10:00:00,1777629600000,2.357,2.358,2.238,2.337,4132839.2
2026-05-01 10:15:00,1777630500000,2.337,2.344,2.326,2.331,499852.0
2026-05-01 10:30:00,1777631400000,2.331,2.337,2.317,2.32,196037.9
2026-05-01 10:45:00,1777632300000,2.32,2.325,2.315,2.324,158290.7
2026-05-01 11:00:00,1777633200000,2.324,2.327,2.311,2.322,148480.2
2026-05-01 11:15:00,1777634100000,2.322,2.332,2.303,2.308,385978.0
2026-05-01 11:30:00,1777635000000,2.308,2.311,2.303,2.31,206878.6
2026-05-01 11:45:00,1777635900000,2.31,2.32,2.308,2.32,68924.0
2026-05-01 12:00:00,1777636800000,2.32,2.325,2.316,2.321,110299.0
2026-05-01 12:15:00,1777637700000,2.321,2.329,2.317,2.325,121562.9
2026-05-01 12:30:00,1777638600000,2.325,2.339,2.322,2.322,286600.2
2026-05-01 12:45:00,1777639500000,2.322,2.328,2.32,2.32,73479.0
2026-05-01 13:00:00,1777640400000,2.32,2.334,2.32,2.331,71514.6
2026-05-01 13:15:00,1777641300000,2.331,2.34,2.329,2.337,107455.2
2026-05-01 13:30:00,1777642200000,2.337,2.347,2.336,2.339,124725.8
2026-05-01 13:45:00,1777643100000,2.339,2.351,2.337,2.347,128398.5
2026-05-01 14:00:00,1777644000000,2.347,2.351,2.342,2.345,78323.2
2026-05-01 14:15:00,1777644900000,2.345,2.346,2.332,2.335,42853.5
2026-05-01 14:30:00,1777645800000,2.335,2.338,2.328,2.336,71485.5
2026-05-01 14:45:00,1777646700000,2.336,2.348,2.336,2.343,57736.5
2026-05-01 15:00:00,1777647600000,2.343,2.343,2.331,2.336,58716.5
2026-05-01 15:15:00,1777648500000,2.336,2.34,2.333,2.339,119981.7
2026-05-01 15:30:00,1777649400000,2.339,2.347,2.339,2.344,116983.1
2026-05-01 15:45:00,1777650300000,2.344,2.344,2.332,2.342,143098.3
2026-05-01 16:00:00,1777651200000,2.342,2.348,2.336,2.339,81087.8
2026-05-01 16:15:00,1777652100000,2.339,2.339,2.329,2.329,89311.0
2026-05-01 16:30:00,1777653000000,2.329,2.331,2.323,2.328,72122.2
2026-05-01 16:45:00,1777653900000,2.328,2.336,2.325,2.328,60636.8
2026-05-01 17:00:00,1777654800000,2.328,2.332,2.32,2.326,57234.6
