Open_time,Open_time,Open,High,Low,Close,Volume
2026-03-14 00:00:00,1773446400000,4.001,4.001,3.989,3.995,34464.6
2026-03-14 00:15:00,1773447300000,3.995,4.007,3.993,4.006,61977.7
2026-03-14 00:30:00,1773448200000,4.006,4.011,3.976,3.98,50783.9
2026-03-14 00:45:00,1773449100000,3.98,3.982,3.974,3.975,33555.5
2026-03-14 01:00:00,1773450000000,3.975,3.985,3.971,3.973,26663.7
2026-03-14 01:15:00,1773450900000,3.973,3.992,3.973,3.991,11935.2
2026-03-14 01:30:00,1773451800000,3.991,3.995,3.961,3.989,69115.3
2026-03-14 01:45:00,1773452700000,3.989,4.002,3.989,3.994,36286.5
2026-03-14 02:00:00,1773453600000,3.994,3.998,3.986,3.993,15929.4
2026-03-14 02:15:00,1773454500000,3.993,3.997,3.99,3.99,14671.3
2026-03-14 02:30:00,1773455400000,3.99,3.996,3.986,3.987,15615.0
2026-03-14 02:45:00,1773456300000,3.987,4.0,3.987,3.994,21062.9
2026-03-14 03:00:00,1773457200000,3.994,4.01,3.994,4.006,15985.0
2026-03-14 03:15:00,1773458100000,4.006,4.012,4.002,4.008,19822.9
2026-03-14 03:30:00,1773459000000,4.008,4.016,4.006,4.007,36907.9
2026-03-14 03:45:00,1773459900000,4.007,4.008,4.003,4.005,14353.6
2026-03-14 04:00:00,1773460800000,4.005,4.017,4.005,4.013,21019.3
2026-03-14 04:15:00,1773461700000,4.013,4.013,3.997,4.009,27296.9
2026-03-14 04:30:00,1773462600000,4.009,4.018,4.003,4.009,19561.4
2026-03-14 04:45:00,1773463500000,4.009,4.01,3.977,3.986,50502.7
2026-03-14 05:00:00,1773464400000,3.986,3.988,3.976,3.979,16938.9
2026-03-14 05:15:00,1773465300000,3.979,3.984,3.974,3.974,21794.4
2026-03-14 05:30:00,1773466200000,3.974,3.975,3.955,3.965,33317.0
2026-03-14 05:45:00,1773467100000,3.965,3.974,3.964,3.97,13290.6
2026-03-14 06:00:00,1773468000000,3.97,3.97,3.954,3.957,27883.9
2026-03-14 06:15:00,1773468900000,3.957,3.957,3.94,3.947,49403.1
2026-03-14 06:30:00,1773469800000,3.947,3.949,3.917,3.924,88260.7
2026-03-14 06:45:00,1773470700000,3.924,3.941,3.922,3.937,36008.5
2026-03-14 07:00:00,1773471600000,3.937,3.943,3.932,3.942,14389.3
2026-03-14 07:15:00,1773472500000,3.942,3.942,3.931,3.94,19742.1
2026-03-14 07:30:00,1773473400000,3.94,3.943,3.923,3.926,28577.1
2026-03-14 07:45:00,1773474300000,3.926,3.929,3.919,3.922,19321.9
2026-03-14 08:00:00,1773475200000,3.922,3.926,3.919,3.923,32936.6
2026-03-14 08:15:00,1773476100000,3.923,3.934,3.919,3.923,40899.8
2026-03-14 08:30:00,1773477000000,3.923,3.926,3.916,3.918,23250.9
