Open_time,Open_time,Open,High,Low,Close,Volume
2026-06-04 11:15:00,1780571700000,0.4881,0.4948,0.4835,0.4867,689435.31
2026-06-04 11:30:00,1780572600000,0.4867,0.4885,0.4736,0.4759,449304.19
2026-06-04 11:45:00,1780573500000,0.4759,0.4849,0.4749,0.4763,566864.39
2026-06-04 12:00:00,1780574400000,0.4763,0.4785,0.4645,0.4663,534429.59
2026-06-04 12:15:00,1780575300000,0.4663,0.47,0.4584,0.4682,432331.8
2026-06-04 12:30:00,1780576200000,0.4682,0.4859,0.4673,0.4838,531156.59
2026-06-04 12:45:00,1780577100000,0.4838,0.495,0.4813,0.4949,405986.15
2026-06-04 13:00:00,1780578000000,0.4949,0.4949,0.481,0.4832,559231.95
2026-06-04 13:15:00,1780578900000,0.4832,0.4943,0.4759,0.4898,653259.3
2026-06-04 13:30:00,1780579800000,0.4898,0.5156,0.4898,0.4953,779223.82
2026-06-04 13:45:00,1780580700000,0.4953,0.5015,0.4916,0.4986,370760.48
2026-06-04 14:00:00,1780581600000,0.4986,0.5142,0.4969,0.5121,792332.29
2026-06-04 14:15:00,1780582500000,0.5121,0.5251,0.5058,0.5189,578383.13
2026-06-04 14:30:00,1780583400000,0.5189,0.5248,0.5147,0.5233,394888.74
2026-06-04 14:45:00,1780584300000,0.5233,0.5478,0.5207,0.5438,875110.63
2026-06-04 15:00:00,1780585200000,0.5438,0.5802,0.5332,0.5702,2055368.26
2026-06-04 15:15:00,1780586100000,0.5702,0.5823,0.558,0.5781,1026885.24
2026-06-04 15:30:00,1780587000000,0.5781,0.594,0.5681,0.5908,1207328.85
2026-06-04 15:45:00,1780587900000,0.5908,0.6024,0.5842,0.5904,931506.29
2026-06-04 16:00:00,1780588800000,0.5904,0.6017,0.5783,0.5802,750035.8
2026-06-04 16:15:00,1780589700000,0.5802,0.6014,0.5798,0.5928,712283.39
2026-06-04 16:30:00,1780590600000,0.5928,0.6216,0.5903,0.6182,1137501.76
2026-06-04 16:45:00,1780591500000,0.6182,0.6241,0.609,0.6158,1046344.09
2026-06-04 17:00:00,1780592400000,0.6158,0.6318,0.6132,0.6253,1403799.56
2026-06-04 17:15:00,1780593300000,0.6253,0.6272,0.5882,0.594,1259203.11
2026-06-04 17:30:00,1780594200000,0.594,0.5969,0.5685,0.577,729963.62
2026-06-04 17:45:00,1780595100000,0.577,0.5811,0.5548,0.5607,1193373.41
2026-06-04 18:00:00,1780596000000,0.5607,0.5657,0.547,0.5542,682180.9
2026-06-04 18:15:00,1780596900000,0.5542,0.5787,0.5531,0.575,649813.7
2026-06-04 18:30:00,1780597800000,0.575,0.593,0.5689,0.582,809623.27
2026-06-04 18:45:00,1780598700000,0.582,0.5924,0.577,0.5779,694364.96
2026-06-04 19:00:00,1780599600000,0.5779,0.5855,0.5624,0.5679,642570.52
2026-06-04 19:15:00,1780600500000,0.5679,0.568,0.5485,0.549,1024895.62
2026-06-04 19:30:00,1780601400000,0.549,0.5649,0.5463,0.5569,463184.14
2026-06-04 19:45:00,1780602300000,0.5569,0.5619,0.5479,0.5514,587083.76
2026-06-04 20:00:00,1780603200000,0.5514,0.5565,0.5386,0.5438,560095.64
2026-06-04 20:15:00,1780604100000,0.5438,0.5491,0.5241,0.5298,1130853.49
2026-06-04 20:30:00,1780605000000,0.5298,0.5356,0.5274,0.5313,572852.12
2026-06-04 20:45:00,1780605900000,0.5313,0.5347,0.5214,0.5262,557530.05
2026-06-04 21:00:00,1780606800000,0.5262,0.5449,0.523,0.5421,948405.17
2026-06-04 21:15:00,1780607700000,0.5421,0.5426,0.5228,0.5262,387410.72
2026-06-04 21:30:00,1780608600000,0.5262,0.5289,0.5103,0.5259,373461.21
2026-06-04 21:45:00,1780609500000,0.5259,0.527,0.5119,0.5119,472824.81
2026-06-04 22:00:00,1780610400000,0.5119,0.5243,0.5116,0.5209,172281.14
2026-06-04 22:15:00,1780611300000,0.5209,0.5241,0.5126,0.5129,511738.06
2026-06-04 22:30:00,1780612200000,0.5129,0.5329,0.509,0.5294,751157.69
2026-06-04 22:45:00,1780613100000,0.5294,0.5371,0.526,0.5347,304587.55
2026-06-04 23:00:00,1780614000000,0.5347,0.536,0.5234,0.5334,486905.28
2026-06-04 23:15:00,1780614900000,0.5334,0.5413,0.5227,0.5387,752794.73
2026-06-04 23:30:00,1780615800000,0.5387,0.5462,0.5368,0.5421,537617.1
2026-06-04 23:45:00,1780616700000,0.5421,0.5448,0.532,0.5374,629668.82
2026-06-05 00:00:00,1780617600000,0.5374,0.5374,0.5238,0.5287,392352.3
2026-06-05 00:15:00,1780618500000,0.5287,0.5455,0.5278,0.5438,768351.42
2026-06-05 00:30:00,1780619400000,0.5438,0.5479,0.5311,0.5311,1078205.81
2026-06-05 00:45:00,1780620300000,0.5311,0.5353,0.5278,0.532,488431.69
2026-06-05 01:00:00,1780621200000,0.532,0.5438,0.527,0.5436,412602.49
2026-06-05 01:15:00,1780622100000,0.5436,0.5442,0.5294,0.5369,675361.22
2026-06-05 01:30:00,1780623000000,0.5369,0.5442,0.5369,0.5442,540266.07
2026-06-05 01:45:00,1780623900000,0.5442,0.5544,0.542,0.5541,543666.31
2026-06-05 02:00:00,1780624800000,0.5541,0.5563,0.5476,0.552,465838.92
2026-06-05 02:15:00,1780625700000,0.552,0.5541,0.5322,0.5392,584666.06
2026-06-05 02:30:00,1780626600000,0.5392,0.5476,0.5353,0.5386,534419.36
2026-06-05 02:45:00,1780627500000,0.5386,0.5395,0.478,0.4916,2242731.13
2026-06-05 03:00:00,1780628400000,0.4916,0.494,0.4716,0.482,1968057.19
2026-06-05 03:15:00,1780629300000,0.482,0.5142,0.482,0.508,1165877.76
2026-06-05 03:30:00,1780630200000,0.508,0.5124,0.4863,0.4924,589923.32
2026-06-05 03:45:00,1780631100000,0.4924,0.4984,0.489,0.492,556993.75
2026-06-05 04:00:00,1780632000000,0.492,0.5034,0.488,0.4982,635196.37
2026-06-05 04:15:00,1780632900000,0.4982,0.508,0.494,0.5039,488902.1
2026-06-05 04:30:00,1780633800000,0.5039,0.5059,0.4961,0.4977,703526.84
2026-06-05 04:45:00,1780634700000,0.4977,0.5109,0.497,0.5097,418326.79
2026-06-05 05:00:00,1780635600000,0.5097,0.5187,0.506,0.5155,351244.29
2026-06-05 05:15:00,1780636500000,0.5155,0.5225,0.5088,0.5207,1113353.65
2026-06-05 05:30:00,1780637400000,0.5207,0.5207,0.5049,0.5091,850696.75
2026-06-05 05:45:00,1780638300000,0.5091,0.517,0.5062,0.5065,689429.89
2026-06-05 06:00:00,1780639200000,0.5065,0.5113,0.495,0.5031,1178030.33
2026-06-05 06:15:00,1780640100000,0.5031,0.5167,0.4878,0.5102,1418584.35
2026-06-05 06:30:00,1780641000000,0.5102,0.5255,0.5014,0.5236,858503.49
2026-06-05 06:45:00,1780641900000,0.5236,0.5286,0.5131,0.5264,630360.0
2026-06-05 07:00:00,1780642800000,0.5264,0.5268,0.5095,0.516,250673.1
2026-06-05 07:15:00,1780643700000,0.516,0.5372,0.514,0.5347,441791.45
2026-06-05 07:30:00,1780644600000,0.5347,0.5647,0.5335,0.5576,1405403.01
2026-06-05 07:45:00,1780645500000,0.5576,0.5667,0.5381,0.5403,579264.18
2026-06-05 08:00:00,1780646400000,0.5403,0.5463,0.5275,0.5327,285372.95
2026-06-05 08:15:00,1780647300000,0.5327,0.5398,0.5274,0.5391,514100.1
2026-06-05 08:30:00,1780648200000,0.5391,0.5431,0.5311,0.5333,1425636.91
2026-06-05 08:45:00,1780649100000,0.5333,0.5374,0.5236,0.5307,1491492.68
2026-06-05 09:00:00,1780650000000,0.5307,0.5455,0.5307,0.5419,449216.25
2026-06-05 09:15:00,1780650900000,0.5419,0.552,0.5368,0.5507,1138923.66
2026-06-05 09:30:00,1780651800000,0.5507,0.5548,0.5425,0.5537,1375475.91
2026-06-05 09:45:00,1780652700000,0.5537,0.5627,0.5516,0.5585,771857.56
2026-06-05 10:00:00,1780653600000,0.5585,0.5745,0.5563,0.563,961631.1
2026-06-05 10:15:00,1780654500000,0.563,0.5632,0.5462,0.5493,430686.35
2026-06-05 10:30:00,1780655400000,0.5493,0.5529,0.5426,0.5486,441879.27
2026-06-05 10:45:00,1780656300000,0.5486,0.5526,0.5434,0.5486,1370082.78
2026-06-05 11:00:00,1780657200000,0.5486,0.5489,0.5251,0.5302,1240702.16
2026-06-05 11:15:00,1780658100000,0.5302,0.5447,0.5301,0.5403,403277.37
2026-06-05 11:30:00,1780659000000,0.5403,0.5434,0.5298,0.53,613714.61
2026-06-05 11:45:00,1780659900000,0.53,0.5344,0.5275,0.5299,1196268.87
2026-06-05 12:00:00,1780660800000,0.5299,0.5388,0.524,0.5325,1518419.55
2026-06-05 12:15:00,1780661700000,0.5325,0.5374,0.5135,0.5135,1288930.29
2026-06-05 12:30:00,1780662600000,0.5135,0.5321,0.511,0.5298,638398.67
2026-06-05 12:45:00,1780663500000,0.5298,0.5349,0.5236,0.5278,1607958.76
2026-06-05 13:00:00,1780664400000,0.5278,0.5369,0.5264,0.5296,1406741.53
2026-06-05 13:15:00,1780665300000,0.5296,0.5362,0.5214,0.5282,1218287.53
2026-06-05 13:30:00,1780666200000,0.5282,0.5344,0.5245,0.5271,944469.32
2026-06-05 13:45:00,1780667100000,0.5271,0.5315,0.5213,0.5215,1100052.22
2026-06-05 14:00:00,1780668000000,0.5215,0.552,0.5215,0.5348,395279.26
2026-06-05 14:15:00,1780668900000,0.5348,0.5475,0.534,0.5447,296392.09
2026-06-05 14:30:00,1780669800000,0.5447,0.5454,0.5281,0.5329,1058779.11
2026-06-05 14:45:00,1780670700000,0.5329,0.535,0.4942,0.4997,1471130.31
